0:0:0 | [CMD] HastasyzBaba(16) => /sarkilar
0:4:33 | DarkFlow(15): lvl atladýk
0:4:37 | DarkFlow(15): 46 olduk
0:4:38 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
0:4:38 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
0:4:39 | [CMD] sezzer(8) => /elsalla
0:4:40 | DarkFlow(15): :d
0:4:41 | [CMD] sezzer(8) => /elsalla
0:4:44 | GravLaunch(6): level atladýk
0:4:46 | [CMD] DarkFlow(15) => /meslek
0:4:46 | VIPTRUCKS(7) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
0:4:47 | GravLaunch(6): 29 olduk
0:4:48 | [CMD] FurkanBey(17) => /bonus
0:4:49 | {FFCC00}DarkFlow(15) {FFFFFF}Kamyoncu olarak spawn oldu.
0:4:49 | [CMD] GravLaunch(6) => /work
0:4:50 | [CMD] eren1616(13) => /myskin 249
0:4:50 | [CMD] FurkanBey(17) => /work
0:4:51 | DarkFlow(15): h.o
0:4:55 | GravLaunch(6): Eyw
0:5:5 | GravLaunch(6): þu görevi yapam da
0:5:8 | GravLaunch(6): cs gaçam ben
0:5:14 | [CMD] HastasyzBaba(16) => /work
0:5:15 | [CMD] sezzer(8) => /dus
0:5:20 | [CMD] CcCAtakan1907(14) => /oturkalk
0:5:24 | [LOCAL]CcCAtakan1907(14): neydi la
0:5:24 | [CMD] CcCAtakan1907(14) => /l neydi la
0:5:24 | [CMD] DarkFlow(15) => /gobus
0:5:26 | [CMD] eren1616(13) => /fly
0:5:29 | [LOCAL]sezzer(8): duskalk
0:5:29 | [CMD] sezzer(8) => /l duskalk
0:5:31 | [CMD] CcCAtakan1907(14) => /duskalk
0:5:33 | [CMD] DarkFlow(15) => /adminol
0:5:35 | DarkFlow(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:37 | GravLaunch(6): ßß
0:5:39 | [CMD] eren1616(13) => /god
0:5:39 | [LOCAL]sezzer(8): offf melike bunu yapsa ahsdghasdf
0:5:39 | [CMD] sezzer(8) => /l offf melike bunu yapsa ahsdghasdf
0:5:41 | [CMD] eren1616(13) => /god
0:5:45 | [LOCAL]CcCAtakan1907(14): o benim
0:5:45 | [CMD] CcCAtakan1907(14) => /l o benim
0:5:51 | [LOCAL]sezzer(8): yunanlý bunu yapsa
0:5:51 | [CMD] sezzer(8) => /l yunanlý bunu yapsa
0:5:54 | [CMD] CcCAtakan1907(14) => /myskin 87
0:5:56 | VIPTRUCKS(7) oyuna girdi [IP: 92.45.79.244]
0:5:57 | [CMD] CcCAtakan1907(14) => /duskalk
0:5:58 | [LOCAL]sezzer(8): oyyyy
0:5:58 | [CMD] sezzer(8) => /l oyyyy
0:6:6 | [CMD] eren1616(13) => /r enes
0:6:9 | 
0:6:13 | [CMD] CcCAtakan1907(14) => /R o dj
0:6:14 | [CMD] FurkanBey(17) => /vtamir 
0:6:19 | [CMD] huso608(11) => /a /d 
0:6:20 | [CMD] eren1616(13) => /r doðruya la
0:6:21 | [CMD] GravLaunch(6) => /adminol
0:6:22 | [CMD] GravLaunch(6) => /adminol
0:6:23 | GravLaunch(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:23 | [CMD] Konyali42(9) => /sac
0:6:24 | CcCAtakan1907(14): ßß
0:6:25 | [LOCAL]sezzer(8): gurbetçi bavulu gibi göt var lan
0:6:25 | [CMD] sezzer(8) => /l gurbetçi bavulu gibi göt var lan
0:6:27 | [CMD] eren1616(13) => /d enes
0:6:28 | {FFCC00}VIPTRUCKS(7) Otobus Soforu olarak spawn oldu.
0:6:29 | [LOCAL]CcCAtakan1907(14): :
0:6:29 | [CMD] CcCAtakan1907(14) => /l :
0:6:30 | [CMD] VIPTRUCKS(7) => /d ?
0:6:32 | [LOCAL]CcCAtakan1907(14): :D
0:6:32 | [CMD] CcCAtakan1907(14) => /l :D
0:6:39 | [CMD] CcCAtakan1907(14) => /animkapat
0:6:42 | [CMD] eren1616(13) => /d çift hesapmý kullanýyorsun
0:6:42 | [KAMYONCU] Freezer3543, Shoddy LTD'den Diver Chemicals'e Tibbi Atik tasidi. Kazanc: 32348$, 1 Skor ve 5 EXP Sure: 244 Saniye
0:6:46 | [CMD] eren1616(13) => /aka vip
0:6:49 | sezzer(8): ben bi relog
0:6:49 | [CMD] huso608(11) => /a degil o
0:6:52 | [CMD] CcCAtakan1907(14) => /myskin 124
0:6:53 | sezzer(8): geliyom konyal
0:6:54 | Konyali42(9): knk
0:6:54 | [CMD] huso608(11) => /a bana sor 
0:6:55 | sezzer(8): i
0:6:59 | sezzer(8): he
0:6:59 | Konyali42(9): ben cikiyorum
0:7:2 | sezzer(8): haydaa
0:7:6 | Konyali42(9): :D
0:7:7 | [CMD] eren1616(13) => /a tamam abi
0:7:7 | [CMD] VIPTRUCKS(7) => /d hyr net kafeden girdim önce
0:7:9 | Freezer3543(10): Basarým geldi yehhaa
0:7:10 | [CMD] FurkanBey(17) => /vtamir 
0:7:11 | [CMD] huso608(11) => /a yazdým ya admin sayfasýna bakmadýnmý
0:7:11 | sezzer(8): neyse iyi geceler knk
0:7:11 | [CMD] Konyali42(9) => /skapat
0:7:13 | [CMD] eren1616(13) => /d ok
0:7:14 | sezzer(8): bende relog atam
0:7:18 | Konyali42(9): tmm bb
0:7:19 | sezzer(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:20 | [CMD] huso608(11) => /a bu banlandý ya 
0:7:21 | [CMD] Konyali42(9) => /adminol
0:7:24 | Freezer3543(10): ßß
0:7:26 | FurkanBey(17): bb
0:7:27 | Konyali42(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:27 | CcCAtakan1907(14): ßß
0:7:28 | [KAMYONCU] HastasyzBaba, Easter Bay Chemical'den Fleischberg Brewery'e Su tasidi. Kazanc: 6028$, 2 Skor ve 5 EXP Sure: 53 Saniye
0:7:29 | ronaldo561(6) oyuna girdi [IP: 190.203.43.240]
0:7:36 | FurkanBey(17): beyler sýnavlar bitti yat yat :D 
0:7:37 | HastasyzBaba(16): s
0:7:37 | [CMD] eren1616(13) => /a hee hatýrladým abi k.b
0:7:43 | [CMD] huso608(11) => /a acmýs baska hesaplar o yuzden res atmayýnca kalýyor
0:7:49 | CcCAtakan1907(14): türkçeden 85 aldým zekiyim
0:7:54 | 
0:7:58 | VIPTRUCKS(7): atakan
0:8:0 | VIPTRUCKS(7): 1553 müydü
0:8:1 | CcCAtakan1907(14): efm
0:8:4 | CcCAtakan1907(14): evt
0:8:6 | eren1616(13): 21 zekilik göstergesimi ?
0:8:7 | FurkanBey(17): edebiyattan 50 aldým kurtuldum :D 
0:8:7 | (BANKA) HastasyzBaba(16) 1903 nolu banka hesabina 100000$ yatirdi.
0:8:11 | sezzer(8) oyuna girdi [IP: 88.237.52.158]
0:8:11 | Freezer3543(10): Ýngilizceden 89 Edebiyattan 46 aldým :D
0:8:12 | [CMD] VIPTRUCKS(7) => /pm 14 þarký ismi ne knk
0:8:13 | [CMD] HastasyzBaba(16) => /work
0:8:16 | Freezer3543(10): A res pls
0:8:18 | [CMD] eren1616(13) => /asay Araçlar Spawnlanýyor Önemlerinizi Alýn 
0:8:19 | [CMD] CcCAtakan1907(14) => /pm 7 unuttum :D
0:8:19 | [CMD] eren1616(13) => /asay Araçlar Spawnlanýyor Önemlerinizi Alýn 
0:8:20 | 
0:8:22 | [CMD] Freezer3543(10) => /rescue
0:8:23 | [CMD] eren1616(13) => /respawncars 
0:8:23 | [CMD] huso608(11) => /asay Araç Res Geliyor !!! 
0:8:23 | {FFCC00}sezzer(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:25 | [CMD] huso608(11) => /cantazele
0:8:26 | [CMD] sezzer(8) => /sa 
0:8:28 | Freezer3543(10): Eyw
0:8:28 | [CMD] CcCAtakan1907(14) => /ad
0:8:30 | [CMD] FurkanBey(17) => /as
0:8:30 | [CMD] eren1616(13) => /cleanupcars
0:8:30 | [CMD] CcCAtakan1907(14) => /as
0:8:31 | [CMD] VIPTRUCKS(7) => /as
0:8:31 | VIPTRUCKS(7): þarký bittimi
0:8:32 | [CMD] CcCAtakan1907(14) => /goto 8
0:8:39 | ronaldo561(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:40 | [CMD] sezzer(8) => /pm 14 ee napalým knk
0:8:42 | [CMD] VIPTRUCKS(7) => /dtemizle
0:8:43 | CagatayBro(6) oyuna girdi [IP: 178.233.46.143]
0:8:45 | FurkanBey(17): beðenme tuþu olsa keþke :D 
0:8:52 | 
0:8:53 | [CMD] CcCAtakan1907(14) => /pm 8 bilmem biraz zmn geçsin konvoy
0:8:54 | {FFCC00}CagatayBro(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:56 | [CMD] CagatayBro(6) => /sa
0:8:58 | FurkanBey(17): výptrucks sen admindin sanki 
0:8:58 | [CMD] HastasyzBaba(16) => /as
0:8:59 | [CMD] CcCAtakan1907(14) => /as
0:8:59 | [CMD] huso608(11) => /as
0:9:0 | [CMD] FurkanBey(17) => /vtamir 
0:9:2 | [CMD] sezzer(8) => /pm 14 tmm knk
0:9:2 | [CMD] CagatayBro(6) => /rescue
0:9:5 | VIPTRUCKS(7): :D
0:9:6 | [CMD] CcCAtakan1907(14) => /pm 8 gezek infle þimdi
0:9:8 | [CMD] sezzer(8) => /pm 14 ben baþlýyom týra
0:9:9 | FurkanBey(17): doðrumu 
0:9:10 | CagatayBro(6): Konvoy nerede
0:9:10 | VIPTRUCKS(7): rehberdim
0:9:13 | [CMD] sezzer(8) => /pm 14 tmm gezek
0:9:13 | [CMD] Freezer3543(10) => /pm 8 Yukarý bak arkana :D
0:9:14 | FurkanBey(17): heeð 
0:9:17 | [CMD] VIPTRUCKS(7) => /d þarký bittimi
0:9:25 | [CMD] CagatayBro(6) => /convoy
0:9:26 | [CMD] FurkanBey(17) => /myskin 299 
0:9:27 | [KAMYONCU] huso608, Veardant Port'den Konya Askeri Sevkiyat Bolgesi'e Silah tasidi. Kazanc: 322434$, 1 Skor ve 5 EXP Sure: 529 Saniye
0:9:27 | [CMD] CagatayBro(6) => /kemer
0:9:30 | [CMD] FurkanBey(17) => /kemer
0:9:31 | [CMD] FurkanBey(17) => /akilitle
0:9:32 | [CMD] CagatayBro(6) => /convoy
0:9:35 | VIPTRUCKS(7):  þarký bittimi
0:9:36 | [CMD] huso608(11) => /a istek var mý 
0:9:38 | [CMD] sezzer(8) => /araba
0:9:39 | FurkanBey(17): bitti
0:9:39 | [LOCAL]CcCAtakan1907(14): yarýn buraya gelcem
0:9:39 | [CMD] CcCAtakan1907(14) => /l yarýn buraya gelcem
0:9:41 | [CMD] huso608(11) => /d istek var mý 
0:9:43 | [CMD] CagatayBro(6) => /akilitle
0:9:46 | [CMD] VIPTRUCKS(7) => /d var 
0:9:47 | [LOCAL]CcCAtakan1907(14): arta alýrlarsa
0:9:47 | [CMD] CcCAtakan1907(14) => /l arta alýrlarsa
0:9:48 | [LOCAL]sezzer(8): bzk da mýsýn
0:9:48 | [CMD] sezzer(8) => /l bzk da mýsýn
0:9:51 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýnýz çalýnýyor.Ýyi oyunlar dileriz...
0:9:53 | CagatayBro(6): Harbour týr konvoyu
0:9:56 | [LOCAL]CcCAtakan1907(14): no psn
0:9:56 | [CMD] CcCAtakan1907(14) => /l no psn
0:10:0 | [CMD] VIPTRUCKS(7) => /rescue
0:10:2 | [CMD] huso608(11) => /d hýmm yoksa ac radyo
0:10:5 | [CMD] huso608(11) => /work
0:10:9 | CagatayBro(6): vardýr
0:10:9 | FurkanBey(17): cagatay
0:10:14 | CagatayBro(6): he
0:10:16 | VIPTRUCKS(7): djlerimizi terletelim .d
0:10:19 | ronaldo561(9) oyuna girdi [IP: 190.203.43.240]
0:10:21 | FurkanBey(17): bekle bende gelcem þu bonusu yapam az kaldý 
0:10:23 | [CMD] eren1616(13) => /car nrg 0 2
0:10:28 | [CMD] VIPTRUCKS(7) => /araba
0:10:29 | CagatayBro(6): tamam bekliyom
0:10:33 | [CMD] eren1616(13) => /cleanupcars
0:10:36 | [CMD] eren1616(13) => /car nrg 0 2
0:10:39 | [LOCAL]Freezer3543(10): Reis yavas cigerimi soktun :D
0:10:39 | [CMD] Freezer3543(10) => /l Reis yavas cigerimi soktun :D
0:10:39 | VIPTRUCKS(7): beyler banshe kaç m di
0:10:40 | 
0:10:43 | [CMD] huso608(11) => /d sen diyorsun problem var bi de terletelim yazmýssýn
0:10:44 | FurkanBey(17): 60M
0:10:49 | eren1616(13): 60 olmasý lazým
0:10:52 | {FFCC00}ronaldo561(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:10:52 | [CMD] VIPTRUCKS(7) => /d trollüne yazdým hocam sjsjsj
0:11:9 | [CMD] CagatayBro(6) => /akilitle
0:11:17 | CagatayBro(6): reis ben tek baþýma yapýyým o zaman
0:11:20 | [CMD] huso608(11) => /d acmýyorsun diye sikayet ederlerse sorun yasarsýn yetkililer trol olayý sýnýrlý
0:11:20 | [CMD] VIPTRUCKS(7) => /d sac yapmadýkca lag olmuyor
0:11:21 | CagatayBro(6): hýzlýca
0:11:25 | CagatayBro(6): kapatýyým konvoyu
0:11:27 | [CMD] CagatayBro(6) => /convoyiptal
0:11:28 | [CMD] VIPTRUCKS(7) => /d yok açarým :t/asay Mesleðinizin baþlangýç noktalarýna ýþýnlanmak için /rescue komutunu kullanabilirsiniz.
0:11:29 | [CMD] CagatayBro(6) => /work
0:11:31 | FurkanBey(17): bekle bitiyor
0:11:34 | [CMD] VIPTRUCKS(7) => /d yok açarým :t/asay Mesleðinizin baþlangýç noktala/d pardon
0:11:34 | [CMD] huso608(11) => /work
0:11:37 | [CMD] sezzer(8) => /modifiye
0:11:38 | CagatayBro(6): az mý kaldý
0:11:40 | FurkanBey(17): aynn 
0:11:42 | [CMD] ronaldo561(9) => /work
0:11:42 | [CMD] CcCAtakan1907(14) => /kemer
0:11:43 | [CMD] CagatayBro(6) => /convoy
0:11:43 | [CMD] VIPTRUCKS(7) => /d rehber bindi kalmýþ onlarý silim
0:11:54 | [CMD] FurkanBey(17) => /getdorse
0:12:14 | VIPTRUCKS(7): lag
0:12:21 | [CMD] VIPTRUCKS(7) => /pm 14 knka þarký bittimi
0:12:22 | FurkanBey(17): bitti 
0:12:40 | [CMD] CagatayBro(6) => /sac
0:12:43 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr. 
0:12:44 | FurkanBey(17): geliyorum harbura 
0:12:45 | [KAMYONCU] FurkanBey, LS Refinery'den Dilimore Gas Station'e Dizel tasidi. Kazanc: 68502$, 2 Skor ve 5 EXP Sure: 166 Saniye
0:12:47 | [ANTIHACK] Þüpheli VIPTRUCKS(7) => Airbreak-hack
0:12:47 | [CMD] CagatayBro(6) => /sarki 20
0:12:50 | [CMD] CagatayBro(6) => /isteksarki 20
0:12:51 | [CMD] FurkanBey(17) => /rescue
0:12:57 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
0:13:0 | [LOCAL]Freezer3543(10): Eyw
0:13:0 | [CMD] Freezer3543(10) => /l Eyw
0:13:5 | [CMD] CcCAtakan1907(14) => /tamir
0:13:6 | [LOCAL]sezzer(8): aha tren
0:13:6 | [CMD] sezzer(8) => /l aha tren
0:13:9 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr. 
0:13:9 | [CMD] FurkanBey(17) => /convoy
0:13:10 | [LOCAL]CcCAtakan1907(14): :D
0:13:10 | [CMD] CcCAtakan1907(14) => /l :D
0:13:14 | VIPTRUCKS(7): pardon :D
0:13:19 | [CMD] FurkanBey(17) => /kemer
0:13:20 | [CMD] sezzer(8) => /kemer
0:13:22 | [CMD] huso608(11) => /cc
0:13:26 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýnýz çalýnýyor.Ýyi oyunlar dileriz...
0:13:32 | sezzer(8): asdasdasd
0:13:33 | [CMD] FurkanBey(17) => /tiryazi 35 ÝZMÝR 35
0:13:35 | VIPTRUCKS(7):  /tamir
0:13:41 | [CMD] VIPTRUCKS(7) => /ASAY fORUM ADRESÝMÝZ WWW.TRUCKSAMP.COM/FORUM
0:13:44 | CcCAtakan1907(14): para bitti aþk bitti herkes evine hadi
0:13:48 | CcCAtakan1907(14): :D
0:13:48 | [CMD] ronaldo561(9) => /tamir
0:13:57 | sezzer(8): sakso yoksa para da yok
0:13:58 | [CMD] huso608(11) => /d yazýsmayý duzelt 
0:13:59 | ronaldo561(9): gracias
0:14:1 | [ANTIHACK] Þüpheli VIPTRUCKS(7) => Airbreak-hack
0:14:14 | CcCAtakan1907(14): aba
0:14:15 | [CMD] VIPTRUCKS(7) => /d hocam onu ben yazmadým baþ harfler hariç diðer herþey küçük bende
0:14:18 | [CMD] VIPTRUCKS(7) => /d bug var
0:14:18 | [CMD] CagatayBro(6) => /work
0:14:19 | CcCAtakan1907(14): tren götürdü seni
0:14:22 | sezzer(8): olm tren aldý götürdü beni jhasgdjgha
0:14:23 | [CMD] CcCAtakan1907(14) => /goto 8
0:14:28 | [CMD] huso608(11) => /d bug olmaz sw reslendi
0:14:28 | Freezer3543(10): :D
0:14:29 | [CMD] FurkanBey(17) => /vtamir 
0:14:34 | [CMD] Freezer3543(10) => /rescue
0:14:37 | [CMD] FurkanBey(17) => /c baþlat 
0:14:39 | [CMD] sezzer(8) => /tamir
0:14:43 | {FFCC00}CcCAtakan1907(14) {FFFFFF}Kamyoncu olarak spawn oldu.
