0:0:1 | nik0tin(9): kenidiniz bulmanýz grekiyor 
0:5:6 | [CMD] West(12) => /araba
0:5:10 | nik0tin(9): adý ney 
0:5:12 | [CMD] Brokoli(7) => /work
0:5:22 | nik0tin(9): müziðin 
0:5:33 | nik0tin(9): brokoli
0:5:36 | Jodor(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:39 | Brokoli(7): retron
0:5:47 | Brokoli(7): ekip arabasý
0:5:56 | [CMD] nik0tin(9) => /sac 
0:6:0 | [CMD] Brokoli(7) => /sac
0:6:11 | [LOCAL]Konyali42(11): eyv
0:6:11 | [CMD] Konyali42(11) => /l eyv
0:6:17 | nik0tin(9): normalde istek almýyoruz 
0:6:18 | [LOCAL]Konyali42(11): benden bugünlük bukadar
0:6:18 | [CMD] Konyali42(11) => /l benden bugünlük bukadar
0:6:23 | [LOCAL]nik0tin(9): tam 5000 :D 
0:6:23 | [CMD] nik0tin(9) => /l tam 5000 :D 
0:6:24 | Brokoli(7): saol
0:6:25 | [LOCAL]nik0tin(9): öd 
0:6:25 | [CMD] nik0tin(9) => /l öd 
0:6:30 | [LOCAL]Konyali42(11): iste bundan di :D
0:6:30 | [CMD] Konyali42(11) => /l iste bundan di :D
0:6:30 | [CMD] nik0tin(9) => /gc .s
0:6:37 | [CMD] Konyali42(11) => /gc ses ses kontrol
0:6:42 | [CMD] nik0tin(9) => /myskin 124 
0:6:42 | [CMD] Konyali42(11) => /gc ss ses :D
0:6:49 | [CMD] Konyali42(11) => /gc naaber:D
0:6:55 | [CMD] nik0tin(9) => /gc iyidir 
0:7:4 | [CMD] Konyali42(11) => /gc helesükür :D
0:7:27 | (BANKA) Konyali42(11) 1447 nolu banka hesabina 4000000$ yatirdi.
0:7:32 | [CMD] nik0tin(9) => /gc :D 
0:7:34 | [CMD] Konyali42(11) => /adminol
0:7:37 | Konyali42(11): hadi bb
0:7:39 | Brokoli(7): bb
0:7:40 | nik0tin(9): ßß
0:7:43 | [CMD] Brokoli(7) => /gobus
0:7:43 | West(12): bb
0:7:45 | Konyali42(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:51 | [CMD] Brokoli(7) => /icerigir
0:7:56 | [CMD] Brokoli(7) => /isyerimenu
0:8:21 | Brokoli(7): ben görevimi yaptým gidiyorum hadi eyw
0:8:28 | nik0tin(9): ßy
0:8:36 | Brokoli(7): size kolay gelsin
0:8:41 | nik0tin(9): eyv 
0:8:43 | Brokoli(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:58 | [CMD] nik0tin(9) => /dtemizle 
0:9:15 | [CMD] nik0tin(9) => /asay Araç Res Geliyor ...    
0:9:15 | [CMD] nik0tin(9) => /asay Araç Res Geliyor ...    
0:9:23 | [CMD] nik0tin(9) => /respawncars 
0:9:24 | [CMD] nik0tin(9) => /cantazele 
0:9:28 | [CMD] nik0tin(9) => /adminol 
0:9:40 | [CMD] nik0tin(9) => /spec 12 
0:9:52 | West(12): güle güle
0:9:59 | nik0tin(9): ßy
0:10:14 | DarkFlow(6) oyuna girdi [IP: 85.97.215.26]
0:10:22 | nik0tin(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:10:33 | 
0:10:37 | {FFCC00}DarkFlow(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:10:52 | [CMD] DarkFlow(6) => /kemer
0:11:12 | [CMD] DarkFlow(6) => /sirketdorse
0:12:2 | sezzer(7) oyuna girdi [IP: 85.104.96.238]
0:12:16 | 
0:12:22 | {FFCC00}sezzer(7) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:12:25 | [CMD] sezzer(7) => /sa
0:12:31 | [CMD] DarkFlow(6) => /as
0:12:40 | [CMD] sezzer(7) => /pm 6 knk g.o ban yemiþin
0:12:50 | [CMD] West(12) => /as
0:12:52 | [CMD] DarkFlow(6) => /pm 7 eyw saðol 
0:13:4 | [CMD] sezzer(7) => /pm 6 ama dedim sana çok belli ediyon diye ajksdjaghds
0:13:19 | [CMD] DarkFlow(6) => /pm 7 neyi o sýra lag vardý 
0:13:43 | [CMD] sezzer(7) => /pm 6 olm hüseyin bile söyledi kontrollü hýz hilesi kullandýný
0:13:52 | [CMD] sezzer(7) => /pm 6 bize bari lag mag deme knk :D
0:14:9 | [CMD] DarkFlow(6) => /pm 7 ne kontrollusu týr 125 basýyo 
0:14:21 | [CMD] sezzer(7) => /pm 6 lan çabuk hýzlanýyodun iþte onu diyorum
0:14:27 | [CMD] sezzer(7) => /pm 6 nos modu
0:14:46 | [CMD] DarkFlow(6) => /pm 7 nos yok bende 
0:14:58 | [CMD] sezzer(7) => /pm 6 adam hala inkar ediyor yav
0:15:12 | [CMD] sezzer(7) => /pm 6 olm ben de kullandým hile 2 gün yedim ama hiç kývýrmadým yani tamam olmuþsa olmuþ
0:15:19 | [CMD] sezzer(7) => /pm 6 niye çekiniyosun
0:15:27 | [CMD] DarkFlow(6) => /pm 7 kanýt varmý ss
0:15:41 | [CMD] sezzer(7) => /pm 6 yok sa neden ban yedin knk
0:15:46 | [CMD] sezzer(7) => /pm 6 anlatýr mýsýn
0:15:50 | [CMD] DarkFlow(6) => /pm 7 evo attý
0:15:57 | [CMD] sezzer(7) => /pm 6 neden
0:16:4 | [CMD] DarkFlow(6) => /pm 7 bilmem
0:16:14 | [CMD] sezzer(7) => /pm 6 yapma bunu knk jhasgdjghda
0:16:34 | [CMD] DarkFlow(6) => /pm 7 harbourdan çýkýyoduk bayýrdan aþagý iniyodum hatta huso da vardý konvoyda 
0:16:48 | [CMD] sezzer(7) => /pm 6 tamam kanka anladým ben seni 
0:16:49 | [CMD] DarkFlow(6) => /pm 7 aniden ban attý evo 
0:17:15 | [CMD] DarkFlow(6) => /work
0:17:31 | [CMD] DarkFlow(6) => /pm 7 ss varsa atýsn bakalým 
0:17:36 | [CMD] DarkFlow(6) => /asiriyuk
0:17:59 | [CMD] sezzer(7) => /pm 6 ss olamaz çünkü iyi biliyorum o modlarý nos versende nos görüntüsü görünmüyo kimsede
0:18:5 | [CMD] sezzer(7) => /pm 6 sadece sen görüyosun
0:18:11 | [CMD] sezzer(7) => /pm 6 ama anlamýþ evo
0:18:25 | [CMD] DarkFlow(6) => /pm 7 nos modu yok bende diyorum 
0:18:32 | [CMD] sezzer(7) => /pm 6 tmm knk yok
0:19:0 | [CMD] sezzer(7) => /meslek
0:19:2 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:19:8 | [CMD] sezzer(7) => /rescue
0:19:36 | [CMD] DarkFlow(6) => /pm 7 sana gelince sen zaten belliydi çokaþýrý hýzlýydýn 
0:19:58 | [CMD] sezzer(7) => /pm 6 hýzlýmýydým olm 125 basýyo :D
0:20:24 | [CMD] DarkFlow(6) => /pm 7 sana yetiþemiyodum 
0:20:39 | huso608(8) oyuna girdi [IP: 178.245.233.61]
0:20:57 | [CMD] sezzer(7) => /pm 6 o senin sürüþünle alakalý
0:21:0 | [CMD] DarkFlow(6) => /pm 7 sürekli konvoylarda 1 ci gidiyodun hatýrlarsan 
0:21:13 | 
0:21:15 | [CMD] sezzer(7) => /pm 6 ee hala çýkýyorum ne var bunda ?
0:21:18 | huso608(8) Oduncu olarak spawn oldu.
0:21:22 | [CMD] huso608(8) => /admgiris
0:21:24 | tavsanpaladin55(9) oyuna girdi [IP: 88.240.200.38]
0:21:30 | [CMD] huso608(8) => /sa
0:21:36 | [CMD] West(12) => /as
0:21:37 | [CMD] DarkFlow(6) => /as
0:21:37 | 
0:21:41 | {FFCC00}tavsanpaladin55(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:21:45 | [CMD] DarkFlow(6) => /goreviptal
0:21:48 | [CMD] DarkFlow(6) => /karakol
0:21:50 | sezzer(7): aha tavþaným geldi
0:21:52 | [CMD] DarkFlow(6) => /cezaode
0:21:54 | [CMD] tavsanpaladin55(9) => /sa
0:21:55 | [CMD] West(12) => /rescue
0:21:56 | [CMD] DarkFlow(6) => /rescue
0:21:57 | [CMD] sezzer(7) => /as
0:22:4 | [CMD] West(12) => /araba
0:22:5 | sezzer(7): knk harbour gel
0:22:8 | [CMD] sezzer(7) => /rescue
0:22:8 | [CMD] tavsanpaladin55(9) => /rescue
0:22:17 | [CMD] West(12) => /araba
0:22:25 | [CMD] DarkFlow(6) => /kemer
0:22:25 | [CMD] huso608(8) => /work
0:22:28 | [CMD] DarkFlow(6) => /motor
0:22:33 | [CMD] huso608(8) => /spec 12
0:22:38 | [CMD] tavsanpaladin55(9) => /modifiye
0:22:43 | [CMD] sezzer(7) => /convoy
0:22:50 | sezzer(7): gir aþkým
0:22:51 | DarkFlow(6): huso d res
0:22:59 | [CMD] tavsanpaladin55(9) => /convoy
0:23:4 | [CMD] sezzer(7) => /c knk
0:23:7 | [CMD] tavsanpaladin55(9) => /c ey
0:23:15 | [CMD] sezzer(7) => /c önce bi mezarlýða çekelim
0:23:16 | [CMD] tavsanpaladin55(9) => /c pinge bak aq
0:23:18 | [CMD] huso608(8) => /dtemizle
0:23:22 | [CMD] sezzer(7) => /c sonra devam ederiz
0:23:23 | [CMD] tavsanpaladin55(9) => /c sonra
0:23:23 | [CMD] huso608(8) => /specoff
0:23:23 | huso608(8) Oduncu olarak spawn oldu.
0:23:31 | [CMD] tavsanpaladin55(9) => /c not yet
0:23:37 | [CMD] DarkFlow(6) => /work
0:23:42 | [CMD] tavsanpaladin55(9) => /c amk bi youtubedan dinliyelim dedim
0:23:44 | [CMD] tavsanpaladin55(9) => /c pinge bak amk
0:23:49 | DarkFlow(6): arac res
0:23:52 | [CMD] sezzer(7) => /c kapa kapa
0:23:57 | [CMD] tavsanpaladin55(9) => /c lan dur
0:23:58 | [CMD] tavsanpaladin55(9) => /c knk sonra
0:24:2 | [CMD] DarkFlow(6) => /asiriyuk
0:24:3 | [CMD] sezzer(7) => /c neden olm
0:24:4 | [CMD] DarkFlow(6) => /asiriyuk
0:24:9 | [CMD] tavsanpaladin55(9) => /c saat daha 12 bucuk bile deðil
0:24:19 | [CMD] sezzer(7) => /c tmm 
0:24:33 | huso608(8): Arac Res Geliyor!!! 
0:24:37 | huso608(8): Arac Res Geliyor!!! 
0:24:37 | [CMD] tavsanpaladin55(9) => /c adam butun gun beklemeis qeww
0:24:40 | huso608(8): Arac Res Geliyor!!! 
0:24:44 | [CMD] huso608(8) => /respawncars
0:24:45 | [CMD] sezzer(7) => /c ney la
0:24:48 | [CMD] huso608(8) => /cantazele
0:24:51 | [CMD] tavsanpaladin55(9) => /c sulamayý diyorum
0:24:54 | [CMD] tavsanpaladin55(9) => /c bunu beklemiþ
0:25:0 | [CMD] sezzer(7) => /c haa yok lan ajsdghasd
0:25:5 | [CMD] sezzer(7) => /work
0:25:10 | [CMD] tavsanpaladin55(9) => /c ben bunu hd mi açtým 1 dk aq
0:25:42 | [CMD] sezzer(7) => /asiriyuk
0:25:46 | tavsanpaladin55(9): lan 
0:25:47 | [CMD] huso608(8) => /work
0:25:52 | sezzer(7): olm o kadar dönülür mü
0:25:54 | tavsanpaladin55(9): ama daha yeni baþladým ya
0:26:18 | sezzer(7): huso
0:26:35 | huso608(8): buyrun
0:26:41 | sezzer(7): biþi sorcam knk sana
0:26:44 | TR_Berk_TR(10) oyuna girdi [IP: 178.241.133.172]
0:26:52 | 
0:26:59 | [CMD] huso608(8) => /bangor FT_Berk
0:27:12 | [CMD] huso608(8) => /bangor Berk_FT
0:27:15 | sezzer(7): dinliyo musun
0:27:21 | huso608(8): tabi ki
0:27:35 | sezzer(7): bizim burda bi kuaför var
0:27:40 | sezzer(7): 30 tl alýyo sadece saça
0:27:46 | sezzer(7): sence kazýk mý ?
0:28:3 | tavsanpaladin55(9): sadece saça olduðuna eminmisin
0:28:4 | tavsanpaladin55(9): knk
0:28:17 | sezzer(7): evet knk
0:28:22 | huso608(8): sizin oradaki berberlerin nasýl calýstýgý konusuyla benim alakam nedir bunu anlamadým
0:28:31 | [CMD] huso608(8) => /work
0:28:32 | DarkFlow(6): :D
0:28:35 | sezzer(7): senin alakan var demedim
0:28:39 | sezzer(7): fiyat sence kazýk mý
0:28:42 | DarkFlow(6): sezzer
0:28:45 | tavsanpaladin55(9): sen bilirsin diye demiþdir
0:28:51 | DarkFlow(6): berber promu
0:29:24 | {FFCC00}TR_Berk_TR(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:29:32 | [CMD] West(12) => /ramir
0:29:33 | [CMD] TR_Berk_TR(10) => /saa
0:29:34 | [CMD] TR_Berk_TR(10) => /sa
0:29:35 | [CMD] West(12) => /tamir
0:29:38 | [CMD] tavsanpaladin55(9) => /as
0:29:39 | [CMD] DarkFlow(6) => /as
0:29:43 | sezzer(7): hemi huso
0:29:43 | [CMD] West(12) => /as
0:29:46 | [CMD] TR_Berk_TR(10) => /arabaa
0:29:50 | [CMD] TR_Berk_TR(10) => /araba
0:29:53 | huso608(8): sw ile sorun olursa alayým sizin ozel yasamýnýz bizleri ilgilendirmiyor
0:30:1 | [CMD] sezzer(7) => /c jasghdjghasd
0:30:7 | sezzer(7): sen kaça kestiriyon peki
0:30:8 | tavsanpaladin55(9): anladýnmý sezer
0:30:17 | sezzer(7): seçý
0:30:20 | sezzer(7): saçý
0:30:34 | huso608(8): ayný soruna devam edicekmþsþn yoksa kurallara gecelim mi
0:30:40 | DarkFlow(6): kendi kesiyo o kestirmiyo
0:30:47 | [CMD] huso608(8) => /work
0:30:52 | sezzer(7): senin hayatýn sv den mi ibaret huso
0:31:15 | huso608(8): benim hayatým beni senin hayatýn seni ilgilendirir
0:31:15 | tavsanpaladin55(9): huso sw de özel hayat konuþmak yasak mý
0:31:27 | [CMD] TR_Berk_TR(10) => /araba
0:31:39 | huso608(8): yasak degilde soru bizlere yonelik olunca ilgilenmek durumundayým
0:31:42 | sezzer(7): geçen yarýþlara nasýl baþladýðýný falan anlatýken öyle demiyodun huso _
0:31:45 | [CMD] DarkFlow(6) => /pm 8 dikkat et kýþkýrtýyolar 
0:31:53 | [CMD] huso608(8) => /pm 6 aynen
0:32:10 | tavsanpaladin55(9): kime yönelik olucak tren botunamý soralým
0:32:21 | huso608(8): anlamak senin elinde reis istemiyorsan dinlemeyebilirdin
0:32:23 | [CMD] tavsanpaladin55(9) => /c cingeeneee abooo datoooo
0:32:34 | [CMD] sezzer(7) => /c çýldýrýyorum ajsgdjhgad
0:32:37 | [CMD] tavsanpaladin55(9) => /c :QWE:QWE:QW
0:32:38 | TR_Berk_TR(10) oyundan cIktI (Hata/Crash) (IP: 178.241.133.172)
0:32:40 | [CMD] West(12) => /cevir
0:32:48 | sezzer(7): peki huso  niye sinirleniyosun
0:32:53 | sezzer(7): basit biþey sorduk
0:32:56 | huso608(8): sinirlenmek mi o da kim 
0:32:58 | sezzer(7): soru senle bile alakalý deðildi
0:32:59 | huso608(8): t/work
0:33:6 | huso608(8): fail
0:33:6 | sezzer(7): sence fiyat kazýk mý dedim
0:33:9 | [CMD] huso608(8) => /cc
0:33:12 | [CMD] huso608(8) => /work
0:33:12 | sezzer(7): bu senle ilgili bi soru deðil
0:33:27 | [CMD] West(12) => /araba
0:33:30 | huso608(8): hýmm
0:33:37 | tavsanpaladin55(9): amerikan polislerine benziyor
0:33:38 | [CMD] West(12) => /araba
0:33:42 | sezzer(7): mesela kaç çocuðun var desem
0:33:46 | [CMD] West(12) => /araba
0:33:47 | sezzer(7): bu senle ilgili olur
0:33:53 | sezzer(7): ben fiyat kazýk mý sence diyorum
0:34:2 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 454 Saniye
0:34:15 | [CMD] West(12) => /araba
0:34:16 | [CMD] DarkFlow(6) => /pm 8 gel konvoy yapalým docksa 
0:34:31 | West(12): boþta kumarhane yok mu hiç ya
0:34:37 | huso608(8): ben sizin yasamýnýzý bilemem bu konuda sw ile ilgili mantýklý bi cumle bulamadýgým icin sizlere yanýtý kýsa kesiyorum
0:34:50 | sezzer(7): google çeviri
0:34:52 | tavsanpaladin55(9): west 2 3 gün önce arasaydýn bulurdun
0:34:52 | [CMD] huso608(8) => /pm 6 olabilir aslýnda
0:35:0 | [CMD] DarkFlow(6) => /pm 8 tmm bekliyom 
0:35:0 | [CMD] huso608(8) => /rescue
0:35:2 | West(12): millet kapmýþ belli
0:35:9 | [CMD] huso608(8) => /odunsat
0:35:12 | sezzer(7): sen soruyu anlamýyosun demekki huso
0:35:19 | sezzer(7): soru bizim hayatýmýzla da ilgili deðil
0:35:20 | huso608(8): @12 arastýrýrsan elbette bulabilirsin
0:35:32 | West(12): arýyorum da bulamadým bi türlü
0:35:44 | DarkFlow(6): lv ye bak bakalým 
0:35:50 | huso608(8): ben sizin sw ile ilgili probbleminize bakýyorum ozel yasamýnýz benimle alakasý nedir daha da sasýrmýs durumdayým
0:35:56 | West(12): ne kadar sýklýkla yeni yerler açýlýr
0:36:0 | sezzer(7): hala özel hayat diyo
0:36:5 | sezzer(7): babuþ dikkatli dinle bak
0:36:9 | DarkFlow(6): çok nadir açýlýr
0:36:10 | sezzer(7): soru sadece þu
0:36:11 | tavsanpaladin55(9): adamýn özel hayatla ilgili konuþtugu 1 þey yok
0:36:18 | TR_Berk_TR(10) oyuna girdi [IP: 178.241.133.172]
0:36:18 | huso608(8): dinlemek icin /pm me yazabilirsin
0:36:22 | sezzer(7): soru þu bak
0:36:25 | 
0:36:32 | West(12): duyuru filan oluyo mu açýlýnca
0:36:32 | sezzer(7): 30 tl saç kesimi için çok mu deðilmi sence
0:36:35 | {FFCC00}TR_Berk_TR(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:36:35 | sezzer(7): soru bu
0:36:39 | sezzer(7): özel hayat neresinde bunun
0:36:47 | tavsanpaladin55(9): west güncellemede falan 
0:36:50 | huso608(8): berber bu sw ile alakasý nedir
0:36:51 | tavsanpaladin55(9): yeni kumarhane açýyolar
0:36:56 | tavsanpaladin55(9): anca öyle dostum
0:36:56 | [CMD] huso608(8) => /meslek
0:37:1 | {FFCC00}huso608(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:37:1 | West(12): eyvallah kardeþ
0:37:4 | [CMD] huso608(8) => /goto 6
0:37:8 | [CMD] huso608(8) => /goto 6
0:37:10 | West(12): sýk online olabilsem alýcam da
0:37:17 | sezzer(7): serverle alakasý yok ben senin fikrini merak ettim
0:37:21 | [CMD] huso608(8) => /pm 6 reis nereye gittin
0:37:28 | [CMD] DarkFlow(6) => /pm 8 docks
0:37:33 | [CMD] huso608(8) => /goto 6
0:37:46 | [CMD] huso608(8) => /car roadtrain 3 3
0:37:46 | [CMD] DarkFlow(6) => /convoy
0:37:49 | [CMD] TR_Berk_TR(10) => /rescue
0:37:49 | [CMD] tavsanpaladin55(9) => /c konko sen bostoðono eminmisin ?
0:37:53 | [CMD] West(12) => /gobus
0:37:54 | [CMD] huso608(8) => /trailer
0:38:0 | [CMD] West(12) => /icerigir
0:38:1 | [CMD] sezzer(7) => /c ney la
0:38:4 | [CMD] West(12) => /isyerimenu
0:38:8 | [CMD] tavsanpaladin55(9) => /c q:WEQE yok biþi
0:38:10 | sezzer(7): hobaaa
0:38:10 | [CMD] West(12) => /isyerimenu
0:38:10 | TR_Berk_TR(10): beyler sanfiero ya gelin daða çýkak biskiletlerle
0:38:13 | TR_Berk_TR(10): beyler sanfiero ya gelin daða çýkak biskiletlerle
0:38:15 | tavsanpaladin55(9): olm dünden beri bana cýkýyor
0:38:15 | sezzer(7): glu glu glu
0:38:18 | [CMD] TR_Berk_TR(10) => /araba
0:38:19 | tavsanpaladin55(9): sw beni teselli flnmý ediyosun
0:38:19 | [CMD] huso608(8) => /convoy
0:38:26 | [CMD] DarkFlow(6) => /work
0:38:35 | TR_Berk_TR(10):  /rescue sanfiero gelin daðacýkcam benle gelen gelsin
0:38:37 | [CMD] tavsanpaladin55(9) => /c olm gelsene
0:38:39 | [CMD] tavsanpaladin55(9) => /c nerdesin sen
0:38:40 | [CMD] DarkFlow(6) => /asiriyuk
0:38:41 | sezzer(7): demekki huso bizimle muhabbet etmek istemiyo
0:38:43 | [CMD] DarkFlow(6) => /asiriyuk
0:38:45 | [CMD] huso608(8) => /asiriyuk
0:38:46 | tavsanpaladin55(9): olm sen
0:38:48 | [CMD] sezzer(7) => /c dock gidiyom
0:38:48 | tavsanpaladin55(9): gidiyonmu docka
0:38:52 | [CMD] sezzer(7) => /c evet
0:38:55 | sezzer(7): evet
0:38:56 | [CMD] tavsanpaladin55(9) => /c A:SDA:
0:38:57 | tavsanpaladin55(9): olm
0:38:58 | [CMD] DarkFlow(6) => /c almadýmý 
0:39:0 | tavsanpaladin55(9): ben seni bekliyorum 
0:39:3 | tavsanpaladin55(9): arkada sanýyom seni bne ya
0:39:4 | [CMD] huso608(8) => /c asýrý almadý
0:39:9 | [CMD] DarkFlow(6) => /c iptal edemmi
0:39:9 | sezzer(7): görevi vereli yýl oldu
0:39:11 | tavsanpaladin55(9): :ASD:AD:SA
0:39:13 | sezzer(7): uyanda balýða gidelim
0:39:16 | [CMD] huso608(8) => /c sorun yok devam
0:39:29 | [CMD] huso608(8) => /c bende vip var
0:39:29 | [CMD] DarkFlow(6) => /c lagvar gibi
0:39:36 | [CMD] DarkFlow(6) => /c biraz 
0:39:46 | [CMD] huso608(8) => /c výnn kullandýgým
0:39:57 | [CMD] huso608(8) => /c icin pek fazla algýlamýyorum
0:39:57 | tavsanpaladin55(9): evet
0:39:58 | [ANTIHACK] Þüpheli huso608(8) => Airbreak-hack
0:39:58 | tavsanpaladin55(9): gg
0:40:1 | sezzer(7): gg mi
0:40:4 | tavsanpaladin55(9): hee
0:40:6 | sezzer(7): fak
0:40:15 | [CMD] DarkFlow(6) => /c yok sunucuda 
0:40:17 | [CMD] huso608(8) => /kemer
0:40:17 | tavsanpaladin55(9): ilk defa yol yüklenmeyisinden düstüm
0:40:25 | [CMD] sezzer(7) => /c napalým
0:40:30 | [CMD] huso608(8) => /c aynen bazen bende olmuyor reis
0:40:31 | [CMD] tavsanpaladin55(9) => /c sen yap
0:40:37 | [CMD] tavsanpaladin55(9) => /c ben harbourda katýlýcam
0:40:46 | [CMD] sezzer(7) => /rescue
0:40:46 | [CMD] tavsanpaladin55(9) => /c ben cýkýyorum 
0:40:49 | [CMD] tavsanpaladin55(9) => /convoyayril
0:40:51 | [CMD] sezzer(7) => /c dur
0:40:52 | [CMD] tavsanpaladin55(9) => /rescue
0:40:55 | sezzer(7): knk sen kur o zaman konvoyu
0:41:1 | DarkFlow(6): arac res
0:41:3 | sezzer(7): bana 2 kere vermmez harbourdan alalým
0:41:3 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:41:6 | tavsanpaladin55(9): la niye geldin
0:41:7 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:41:12 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:41:13 | [CMD] huso608(8) => /respawncars
0:41:13 | [CMD] huso608(8) => /cantazele
0:41:24 | [CMD] sezzer(7) => /convoyiptal
0:41:28 | sezzer(7): sen kur knk
0:41:33 | [CMD] tavsanpaladin55(9) => /convoy
0:41:40 | [CMD] sezzer(7) => /convoy
0:41:46 | [CMD] huso608(8) => /c cay koydum buyur beraber olsun
0:41:48 | sezzer(7): en iyisi kel olmak varya
0:41:54 | sezzer(7): ne berber derdi var ne biþi
0:41:56 | [CMD] DarkFlow(6) => /c eyw yerde olsun 
