0:0:3 | [CMD] Jodor(16) => /vtamir
0:40:30 | {FFCC00}ronaldo561(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:40:59 | ronaldo561(6) oyundan cIktI (Hata/Crash) (IP: 190.203.43.240)
0:41:17 | ronaldo561(6) oyuna girdi [IP: 190.203.43.240]
0:41:32 | 
0:41:39 | {FFCC00}ronaldo561(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:42:1 | [CMD] ronaldo561(6) => /modifiye
0:42:19 | dusmus(7) oyuna girdi [IP: 178.243.38.229]
0:42:34 | [CMD] ronaldo561(6) => /modifiye
0:43:23 | [CMD] dusmus(7) => /work
0:43:36 | [CMD] dusmus(7) => /help
0:43:40 | [CMD] dusmus(7) => /yardim
0:43:57 | VIPTRUCKS(8) oyuna girdi [IP: 92.45.79.244]
0:44:17 | 
0:44:19 | ronaldo561(6): hola 
0:44:25 | [CMD] ronaldo561(6) => /work
0:44:26 | {FFCC00}VIPTRUCKS(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:44:28 | VIPTRUCKS(8): hi
0:44:43 | dusmus(7): bilader ben bi þey anlamadým :D
0:44:44 | ahmet55(9) oyuna girdi [IP: 88.231.92.250]
0:44:47 | VIPTRUCKS(8): :D
0:44:52 | dusmus(7): napýyoruz þimdi
0:45:1 | [CMD] VIPTRUCKS(8) => /asay /sorusor
0:45:4 | 
0:45:8 | 
0:45:10 | [CMD] ahmet55(9) => /sa
0:45:12 | [CMD] VIPTRUCKS(8) => /as
0:45:19 | [CMD] ahmet55(9) => /rescue
0:45:19 | VIPTRUCKS(8): dusmus
0:45:20 | [CMD] dusmus(7) => /sorusor
0:45:26 | VIPTRUCKS(8): sorusor komutunu kullanabilirsiniz
0:45:31 | dusmus(7): anladým baþkan
0:45:35 | [CMD] ahmet55(9) => /work
0:45:39 | [CMD] VIPTRUCKS(8) => /goto 7
0:45:45 | [CMD] VIPTRUCKS(8) => /goto 7
0:46:18 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30k para ve 5 skor alabilr.
0:46:22 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30k para ve 5 skor alabilir.
0:46:28 | [CMD] dusmus(7) => /kurallar
0:46:31 | [CMD] ahmet55(9) => /goreviplta
0:46:34 | [CMD] VIPTRUCKS(8) => /goto 7
0:46:35 | [CMD] ahmet55(9) => /goreviptal
0:46:42 | [CMD] ahmet55(9) => /meslek
0:46:49 | ahmet55(9): kargocu aranýr
0:46:52 | [LOCAL]VIPTRUCKS(8): buyrun yardým istediðiniz bir konuvarmý
0:46:52 | [CMD] VIPTRUCKS(8) => /l buyrun yardým istediðiniz bir konuvarmý
0:46:59 | [CMD] ronaldo561(6) => /goreviptal
0:47:5 | VIPTRUCKS(8): bekle gelem ahmet
0:47:7 | [CMD] VIPTRUCKS(8) => /meslek
0:47:9 | ahmet55(9): tm
0:47:11 | 
0:47:13 | dusmus(7): hocam þimdi ben burdan nasýl çýkacam
0:47:15 | [CMD] VIPTRUCKS(8) => /goto 9
0:47:23 | dusmus(7): araba bulamadým la
0:47:34 | [CMD] VIPTRUCKS(8) => /asay /rescue komutu ile mesleðinizin spawn noktasýna ulaþabilirsiniz.
0:47:41 | [CMD] dusmus(7) => /rescue
0:47:44 | VIPTRUCKS(8):  /rescue
0:47:46 | [CMD] dusmus(7) => /rescue
0:47:55 | [CMD] ahmet55(9) => /work
0:48:6 | dusmus(7): yaptým reyiz eyw
0:48:10 | ronaldo561(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:48:11 | VIPTRUCKS(8): rica ederim
0:48:14 | [CMD] ahmet55(9) => /tamir
0:48:25 | VIPTRUCKS(8): bu saate aktif olan rehber gibi rehber bee :D
0:48:47 | ronaldo561(6) oyuna girdi [IP: 190.203.43.240]
0:48:50 | ahmet55(9): :d
0:48:51 | VIPTRUCKS(8): yavaþþ :D
0:49:3 | 
0:49:8 | [CMD] dusmus(7) => /rescue
0:49:8 | [CMD] ahmet55(9) => /tamir
0:49:10 | {FFCC00}ronaldo561(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:49:30 | [CMD] ronaldo561(6) => /modifiye
0:50:11 | [CMD] ronaldo561(6) => /work
0:50:19 | [CMD] dusmus(7) => /kemer
0:50:27 | [CMD] dusmus(7) => /motor
0:50:36 | ahmet55(9): :D
0:50:40 | VIPTRUCKS(8): noldu
0:50:41 | VIPTRUCKS(8): :D
0:50:46 | ronaldo561(6): hola
0:50:48 | VIPTRUCKS(8): off lag
0:50:50 | VIPTRUCKS(8): hola
0:50:52 | ahmet55(9): acayip lag 
0:50:59 | ahmet55(9): neler gordum neler :D
0:51:4 | [CMD] VIPTRUCKS(8) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz. 
0:51:8 | [CMD] VIPTRUCKS(8) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum
0:51:11 | [CMD] VIPTRUCKS(8) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz.
0:51:12 | [CMD] VIPTRUCKS(8) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz.
0:51:18 | ahmet55(9): suya dustum felen 
0:51:20 | ahmet55(9): :D
0:51:28 | VIPTRUCKS(8) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
0:51:41 | [CMD] ahmet55(9) => /rescue
0:51:48 | [CMD] dusmus(7) => /yardim
0:51:53 | [CMD] dusmus(7) => /yardim
0:51:58 | [CMD] ahmet55(9) => /gobus
0:52:6 | [CMD] ahmet55(9) => /icerigir
0:52:7 | [CMD] dusmus(7) => /work
0:52:11 | [CMD] ahmet55(9) => /isyerimenu
0:52:18 | [CMD] ahmet55(9) => /rescue
0:52:26 | [CMD] ahmet55(9) => /gobus
0:52:32 | [CMD] ahmet55(9) => /icerigir
0:52:41 | [CMD] ahmet55(9) => /iþyerimenu
0:52:45 | VIPTRUCKS(8) oyuna girdi [IP: 92.45.79.244]
0:52:49 | [CMD] ahmet55(9) => /isyerimenu
0:52:51 | dusmus(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:52:56 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
0:52:58 | [CMD] ahmet55(9) => /rescue
0:53:2 | 
0:53:13 | 
0:53:15 | [CMD] VIPTRUCKS(8) => /sa
0:53:20 | [CMD] ahmet55(9) => /as
0:53:22 | [CMD] VIPTRUCKS(8) => /goto 9
0:53:25 | dusmus(7) oyuna girdi [IP: 178.243.38.229]
0:53:36 | [CMD] ahmet55(9) => /work
0:53:37 | [LOCAL]VIPTRUCKS(8): yaþ kaç
0:53:37 | [CMD] VIPTRUCKS(8) => /l yaþ kaç
0:53:38 | 
0:53:42 | [LOCAL]ahmet55(9): 18
0:53:42 | [CMD] ahmet55(9) => /l 18
0:53:47 | [LOCAL]VIPTRUCKS(8): ok .d
0:53:47 | [CMD] VIPTRUCKS(8) => /l ok .d
0:53:49 | [CMD] VIPTRUCKS(8) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz.
0:53:52 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
0:53:54 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler.
0:53:58 | {FFCC00}dusmus(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:54:7 | huso608(10) oyuna girdi [IP: 178.245.144.7]
0:54:12 | dusmus(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:54:15 | [LOCAL]ahmet55(9): senýn
0:54:15 | [CMD] ahmet55(9) => /l senýn
0:54:19 | [LOCAL]VIPTRUCKS(8): t/asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz. 
0:54:19 | [CMD] VIPTRUCKS(8) => /l t/asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz. 
0:54:20 | [CMD] ahmet55(9) => /kemer
0:54:27 | [LOCAL]VIPTRUCKS(8): 17 hazýranda 18 gýrýcem ýns
0:54:27 | [CMD] VIPTRUCKS(8) => /l 17 hazýranda 18 gýrýcem ýns
0:54:28 | 
0:54:34 | huso608(10) Oduncu olarak spawn oldu.
0:54:38 | [CMD] ahmet55(9) => /ins
0:54:40 | [CMD] huso608(10) => /ADMGÝRÝS
0:54:41 | [LOCAL]ahmet55(9): ins
0:54:41 | [CMD] ahmet55(9) => /l ins
0:54:42 | [CMD] VIPTRUCKS(8) => /as
0:54:46 | VIPTRUCKS(8): hg
0:54:47 | [CMD] ahmet55(9) => /as
0:54:48 | [CMD] huso608(10) => /admgiris
0:54:59 | [CMD] huso608(10) => /SA
0:55:2 | [CMD] ahmet55(9) => /tamir
0:55:4 | [CMD] VIPTRUCKS(8) => /as
0:55:6 | VIPTRUCKS(8): hg
0:55:17 | [CMD] huso608(10) => /duyuru hosbuldum nasilsiniz
0:55:21 | VIPTRUCKS(8): bu saate aktif olan yetkili gibi yetkili bee
0:55:28 | [CMD] huso608(10) => /work
0:55:38 | DarkFlow(7) oyuna girdi [IP: 85.97.215.63]
0:55:39 | huso608(10): erken gelecektim internet te net yoktu
0:55:43 | VIPTRUCKS(8): :D
0:55:46 | VIPTRUCKS(8): t/asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler.
0:55:50 | 
0:55:54 | VIPTRUCKS(8): lag
0:55:55 | {FFCC00}DarkFlow(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:55:56 | [CMD] VIPTRUCKS(8) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz. 
0:55:57 | huso608(10): 8 den beridir interneti bekliyorum
0:55:59 | [CMD] DarkFlow(7) => /saat 0
0:56:7 | [CMD] DarkFlow(7) => /srespawncars
0:56:12 | [CMD] DarkFlow(7) => /sa
0:56:14 | huso608(10): dunden beridir yok
0:56:14 | VIPTRUCKS(8): 5 tane buzlu link içtim hasta oldum hatýrlamýþýndýr reis beni
0:56:15 | [CMD] huso608(10) => /as
0:56:16 | [CMD] VIPTRUCKS(8) => /as
0:56:18 | [CMD] ahmet55(9) => /as
0:56:28 | [CMD] DarkFlow(7) => /kemer
0:56:29 | [CMD] huso608(10) => /cantazele
0:56:39 | [CMD] DarkFlow(7) => /sirketdorse
0:56:39 | [CMD] huso608(10) => /atamir
0:56:40 | [CMD] VIPTRUCKS(8) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz.
0:56:41 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler.
0:56:43 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
0:56:47 | [CMD] DarkFlow(7) => /sirketdorse
0:56:51 | [CMD] DarkFlow(7) => /sirketdorse
0:56:57 | [CMD] DarkFlow(7) => /sirketdorse
0:57:4 | [CMD] DarkFlow(7) => /sirketdorse
0:57:7 | VIPTRUCKS(8): hola
0:57:12 | [CMD] DarkFlow(7) => /sirketdorse
0:57:16 | [CMD] DarkFlow(7) => /sirketdorse
0:57:19 | [CMD] huso608(10) => /work
0:57:21 | ronaldo561(6): hola
0:57:28 | [KAMYONCU] ronaldo561, Quarry'den LS Construction Site'e Kaya tasidi. Kazanc: 10523$, 2 Skor ve 5 EXP Sure: 178 Saniye
0:57:29 | ahmet55(9): hola
0:57:30 | [CMD] huso608(10) => /spec 8
0:57:33 | [CMD] VIPTRUCKS(8) => /r reis ingilizce swnin ip neydi
0:57:39 | [CMD] ronaldo561(6) => /work
0:57:51 | [CMD] huso608(10) => /r kapandý o
0:57:52 | [CMD] ahmet55(9) => /work
0:57:57 | [CMD] VIPTRUCKS(8) => /r ok
0:58:11 | [CMD] huso608(10) => /r trucksamp.coma girmiyonmu sen
0:58:32 | [CMD] VIPTRUCKS(8) => /r valla enson girdiðimde roleplay açýlcak falan yazýyodu .d
0:58:38 | [CMD] VIPTRUCKS(8) => /r nezamandýr girmiyom
0:58:56 | [CMD] huso608(10) => /spec 6
0:58:58 | [CMD] DarkFlow(7) => /pm 10 iþin yoksa gel konvoya 
0:59:11 | [CMD] VIPTRUCKS(8) => /pm 9 reis ben pcyi açýk býraksam sen kassan olurmu ? :D
0:59:28 | [CMD] huso608(10) => /pm 7 izlemedeyim baba seni tek basýna birakiyorum kusuruma bakmayasýn
0:59:33 | [CMD] huso608(10) => /specoff
0:59:33 | huso608(10) Oduncu olarak spawn oldu.
0:59:35 | [CMD] ahmet55(9) => /pm 8 olur aktýf olana kadar kasarým
0:59:36 | [CMD] huso608(10) => /work
0:59:37 | [CMD] VIPTRUCKS(8) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum
0:59:43 | [CMD] ahmet55(9) => /pm 8 cýkarým ama ben
0:59:44 | [CMD] DarkFlow(7) => /pm 10 hmm tmm baba 
0:59:47 | [CMD] VIPTRUCKS(8) => /pm 9 ne zamana kadar burdasýn
1:0:7 | [CMD] ahmet55(9) => /pm 8 1 saat burdayým
1:0:18 | [CMD] VIPTRUCKS(8) => /pm 9 ok 
1:0:40 | ahmet55(9): :D
1:0:47 | VIPTRUCKS(8): :D aðaca çýktým  ?? :D
1:0:56 | [CMD] DarkFlow(7) => /work
1:1:0 | [CMD] huso608(10) => /cantazele
1:1:3 | [CMD] VIPTRUCKS(8) => /admins
1:1:10 | VIPTRUCKS(8): huseyýn abý
1:1:15 | huso608(10): evet
1:1:17 | VIPTRUCKS(8): a4 olmuþsun hayýrlý olsun
1:1:24 | [CMD] DarkFlow(7) => /asiriyuk
1:1:27 | [CMD] DarkFlow(7) => /admins
1:1:29 | huso608(10): tesekkur ederým sagolun
1:1:35 | [CMD] huso608(10) => /work
1:1:38 | VIPTRUCKS(8): ah bizi bi r2 yapmadýlar :D
1:1:39 | DarkFlow(7): hayýrlý olsun baba
1:1:51 | huso608(10): tesekkur ederým baba
1:2:9 | [CMD] ahmet55(9) => /work
1:2:14 | VIPTRUCKS(8): huseyýn abý kaca kadar burdasýn ?
1:2:24 | huso608(10): sabaha kadar
1:2:30 | [CMD] huso608(10) => /musait
1:2:32 | VIPTRUCKS(8) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:2:48 | [CMD] ahmet55(9) => /work
1:3:14 | [CMD] ahmet55(9) => /goreviptal
1:3:19 | [CMD] ahmet55(9) => /meslek
1:3:22 | [CMD] huso608(10) => /work
1:3:37 | {FFCC00}ahmet55(9) Otobus Soforu olarak spawn oldu.
1:3:47 | [CMD] ahmet55(9) => /rescue
1:3:53 | [KAMYONCU] ronaldo561, EasterBoard Farm'den SF Food'e Bugday tasidi. Kazanc: 10825$, 2 Skor ve 5 EXP Sure: 137 Saniye
1:3:54 | [CMD] ahmet55(9) => /rescue
1:3:57 | [CMD] ronaldo561(6) => /work
1:4:18 | [CMD] ahmet55(9) => /work
1:4:46 | VIPTRUCKS(8) oyuna girdi [IP: 92.45.79.244]
1:5:5 | [CMD] huso608(10) => /work
1:5:12 | 
1:5:27 | 
1:5:31 | VIPTRUCKS(8): hay netime
1:5:45 | [CMD] VIPTRUCKS(8) => /goto 10
1:5:59 | [CMD] VIPTRUCKS(8) => /sa
1:6:4 | [CMD] DarkFlow(7) => /as
1:6:5 | [CMD] huso608(10) => /as
1:6:20 | [CMD] VIPTRUCKS(8) => /basarimlar
1:6:42 | [LOCAL]VIPTRUCKS(8): abi
1:6:42 | [CMD] VIPTRUCKS(8) => /l abi
1:6:47 | [CMD] huso608(10) => /work
1:6:48 | [LOCAL]VIPTRUCKS(8): pizzacý baþarýmý buglumu ?
1:6:48 | [CMD] VIPTRUCKS(8) => /l pizzacý baþarýmý buglumu ?
1:6:55 | [LOCAL]huso608(10): evet
1:6:55 | [CMD] huso608(10) => /l evet
1:7:5 | [CMD] VIPTRUCKS(8) => /meslek
1:7:17 | {FFCC00}VIPTRUCKS(8) {FFFFFF}Polis olarak spawn oldu.
1:8:23 | ronaldo561(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:8:27 | VIPTRUCKS(8): :D
1:9:4 | [CMD] VIPTRUCKS(8) => /araba
1:9:4 | [OTOBUSCU] ahmet55, San Fierro Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 876 Saniye
1:9:13 | VIPTRUCKS(8): lag
1:9:20 | [CMD] ahmet55(9) => /meslek
1:9:24 | {FFCC00}ahmet55(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
1:9:32 | [CMD] ahmet55(9) => /rescue
1:10:13 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
1:10:14 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler.
1:10:14 | [CMD] VIPTRUCKS(8) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz.
1:11:29 | [CMD] VIPTRUCKS(8) => /r huseyin abi
1:11:35 | [CMD] VIPTRUCKS(8) => /r nerdesin bide kaç yýldýzýn var .d
1:11:58 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 505 Saniye
1:11:59 | [CMD] huso608(10) => /r sanki bilmiyorsun
1:12:4 | [CMD] huso608(10) => /work
1:12:10 | DarkFlow(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:12:20 | [CMD] VIPTRUCKS(8) => /r :D kaç yýldýzýn var
1:12:31 | [CMD] huso608(10) => /r 12
1:12:47 | [CMD] huso608(10) => /r get 8
1:12:52 | [CMD] huso608(10) => /cc
1:13:8 | [CMD] VIPTRUCKS(8) => /r o ne komutu abi
1:13:10 | [CMD] huso608(10) => /dtemizle
1:13:17 | [CMD] huso608(10) => /r goto ol dicektim
1:13:23 | [CMD] VIPTRUCKS(8) => /r yasak deilmi
1:13:34 | [CMD] huso608(10) => /r ben cagýrdýmmý gel sen
1:13:39 | [CMD] VIPTRUCKS(8) => /r ok
1:13:51 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
1:13:57 | [CMD] huso608(10) => /work
1:13:59 | [CMD] VIPTRUCKS(8) => /meslek
1:14:3 | [LOCAL]huso608(10): sagol baskan
1:14:3 | [CMD] huso608(10) => /l sagol baskan
1:14:10 | [LOCAL]ahmet55(9): onemlý degýl 
1:14:10 | [CMD] ahmet55(9) => /l onemlý degýl 
1:14:17 | VIPTRUCKS(8) Mafya olarak spawn oldu.
1:14:20 | [CMD] VIPTRUCKS(8) => /stats
1:14:41 | VIPTRUCKS(8): arac res pls
1:14:44 | [CMD] huso608(10) => /asay Arac Res Geliyor!!! 
1:14:44 | [CMD] VIPTRUCKS(8) => /work
1:14:49 | [CMD] huso608(10) => /asay Arac Res Geliyor!!! 
