0:0:0 | [CMD] HeRquL(14) => /work
0:1:4 | VictorVance(29) oyuna girdi [IP: 88.231.50.30]
0:1:4 | [CMD] Apocalypto(10) => /arac
0:1:4 | [LOCAL]ToRYaT(22): sa
0:1:4 | [CMD] ToRYaT(22) => /l sa
0:1:4 | [CMD] ekmeksevenyiyen(31) => /vipol
0:1:6 | [CMD] Apocalypto(10) => /yardim
0:1:7 | [CMD] ekmeksevenyiyen(31) => /vipol
0:1:8 | imDegoo(24) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:1:8 | [CMD] HeRquL(14) => /adminsd
0:1:9 | [CMD] ekmeksevenyiyen(31) => /vipol
0:1:10 | [CMD] HeRquL(14) => /admins
0:1:10 | TIRCI(16): flodlama 
0:1:16 | [CMD] nik0tin(28) => /uyar 31 Spam 
0:1:17 | ASLANBEY(23): uyarý atýn
0:1:17 | [CMD] huso608(17) => /uyar 31 Chat Ýsgali yapma
0:1:24 | TIRCI(16): chat clean 
0:1:25 | Yigit_Dely(18): .d
0:1:25 | [CMD] ToRYaT(22) => /work
0:1:26 | 
0:1:29 | [CMD] HeRquL(14) => / pcc
0:1:31 | Yigit_Dely(18):  /pcc
0:1:31 | {FFCC00}VictorVance(29) {FFFFFF}Kamyoncu olarak spawn oldu.
0:1:31 | aliturkak(24) oyuna girdi [IP: 176.88.6.200]
0:1:32 | HeRquL(14):  /pcc
0:1:36 | huso608(17):   /dcc ile silebilsiniz
0:1:36 | [LOCAL]ToRYaT(22): in
0:1:36 | [CMD] ToRYaT(22) => /l in
0:1:37 | [CMD] CagatayBro(7) => /cezaode
0:1:39 | 
0:1:40 | [CMD] TDSDoctor(27) => /dcc
0:1:42 | {FFCC00}aliturkak(24) {FFFFFF}Kamyoncu olarak spawn oldu.
0:1:42 | [CMD] TDSDoctor(27) => /pcc
0:1:42 | [CMD] ekmeksevenyiyen(31) => /pcc
0:1:43 | huso608(17):   /pcc ile silebilsiniz
0:1:43 | [KAMYONCU] BOZKURT545, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 336111$, 1 Skor ve 5 EXP Sure: 529 Saniye
0:1:44 | [CMD] nik0tin(28) => /rescue 
0:1:47 | [OTOBUSCU] buyukustadbitti, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 343 Saniye
0:1:49 | Freezer3543(11): Admin reis
0:1:52 | HeRquL(14): ?
0:1:53 | huso608(17): buyrun
0:1:53 | [CMD] xqHost(26) => /vipneon
0:1:54 | nik0tin(28): evet
0:1:54 | [CMD] cCc.Bayram.cCC(9) => /c kaçak geçekmi
0:1:56 | [CMD] aliturkak(24) => /sa
0:1:56 | [CMD] buyukustadbitti(6) => /pcc
0:1:58 | [LOCAL]ToRYaT(22): insene
0:1:58 | [CMD] ToRYaT(22) => /l insene
0:1:58 | [CMD] huso608(17) => /as
0:1:58 | Yigit_Dely(18): p nerde d nerde d ye nasýl bastýn :D
0:1:59 | [CMD] nik0tin(28) => /as 
0:1:59 | [CMD] CagatayBro(7) => /akilitle
0:2:0 | [CMD] xqHost(26) => /vipneon
0:2:1 | [CMD] CagatayBro(7) => /kemer
0:2:2 | [CMD] buyukustadbitti(6) => /ppc
0:2:3 | [CMD] xqHost(26) => /vipneon
0:2:4 | Apocalypto(10): araci nasil baslatiyoz
0:2:6 | [CMD] buyukustadbitti(6) => /pcc
0:2:8 | [CMD] VictorVance(29) => /WORK
0:2:8 | [CMD] CagatayBro(7) => /work
0:2:8 | huso608(17):   /pcc 
0:2:10 | Freezer3543(11): Ben afk komutunu yazdým yaklasýk yarým saat kadar kalýcam afk durumda uyarý atmayýn olur mu
0:2:11 | nik0tin(28): N
0:2:11 | huso608(17):   /work
0:2:12 | [CMD] Apocalypto(10) => /pcc
0:2:12 | [CMD] aliturkak(24) => /bonus
0:2:13 | [CMD] CagatayBro(7) => /goreviptal
0:2:13 | [CMD] CagatayBro(7) => /work
0:2:14 | [CMD] aliturkak(24) => /work
0:2:15 | [CMD] [AsLt]Cicek.Abbas.(25) => /kemer
0:2:15 | [CMD] buyukustadbitti(6) => /pcc
0:2:16 | [LOCAL]HeRquL(14): 2 senedir bu sv deyim ilk defa þimdi görüyom kaaç kgeçmeyi 
0:2:16 | [CMD] HeRquL(14) => /l 2 senedir bu sv deyim ilk defa þimdi görüyom kaaç kgeçmeyi 
0:2:16 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:2:17 | [CMD] CagatayBro(7) => /goreviptal
0:2:18 | [CMD] CagatayBro(7) => /work
0:2:21 | [CMD] ekmeksevenyiyen(31) => /rescue
0:2:22 | [CMD] CagatayBro(7) => /goreviptal
0:2:23 | [CMD] CagatayBro(7) => /work
0:2:24 | BOZKURT545(19): konvoy varmý 
0:2:26 | [CMD] nik0tin(28) => /work 
0:2:26 | [CMD] aliturkak(24) => /sirketdorse
0:2:26 | [LOCAL]cCc.Bayram.cCC(9): :D
0:2:26 | [CMD] cCc.Bayram.cCC(9) => /l :D
0:2:28 | [AsLt]Cicek.Abbas.(25): kemer ne iþe yarýyo
0:2:28 | buyukustadbitti(6): var
0:2:28 | huso608(17): musait bi yerde olursanýz býrsey yasanmaz
0:2:32 | [CMD] buyukustadbitti(6) => /convoy
0:2:35 | Freezer3543(11): Mafya mekaný
0:2:36 | [CMD] BOZKURT545(19) => /work
0:2:36 | TIRCI(16): can gýrmýyor
0:2:37 | huso608(17): canýnýzýn gitmesini onler
0:2:38 | [ANTIHACK] Þüpheli ToRYaT(22) => Airbreak-hack
0:2:40 | [CMD] aliturkak(24) => /bonus
0:2:41 | [CMD] DarkFlow(20) => /araba
0:2:42 | [CMD] aliturkak(24) => /work
0:2:42 | [CMD] ekmeksevenyiyen(31) => /convoy
0:2:43 | [CMD] huso608(17) => /spec 22
0:2:43 | [CMD] VictorVance(29) => /yardim
0:2:43 | [CMD] BOZKURT545(19) => /work
0:2:45 | [CMD] Apocalypto(10) => /work
0:2:47 | [CMD] [cCc]HulkHulk[cCc](8) => /asiriyuk
0:2:47 | [CMD] BOZKURT545(19) => /convoy
0:2:50 | [CMD] buyukustadbitti(6) => /kemer
0:2:51 | [CMD] cCc.Bayram.cCC(9) => /c arkana filan bak tren filan gelir
0:2:51 | [CMD] DarkFlow(20) => /kemer
0:2:51 | [CMD] BOZKURT545(19) => /work
0:2:52 | [CMD] nik0tin(28) => /a id 11 e iyi bakalým dorse ayaðýna görev bozuyo 
0:2:53 | [CMD] Freezer3543(11) => /geldim
0:2:53 | [CMD] aliturkak(24) => /sac
0:2:56 | [CMD] TIRCI(16) => /vtamir
0:3:0 | [CMD] buyukustadbitti(6) => /work
0:3:1 | BOZKURT545(19): konvoya gelin
0:3:4 | [CMD] Adem32(21) => /goraviptal
0:3:6 | ASLANBEY(23): bozkurt
0:3:8 | Freezer3543(11): Admin beni izler misin musait mi
0:3:9 | BOZKURT545(19): efendm
0:3:11 | [CMD] TIRCI(16) => /rescue
0:3:12 | TDSElektro(30) oyuna girdi [IP: 95.10.230.191]
0:3:13 | [CMD] Freezer3543(11) => /afk
0:3:13 | [CMD] huso608(17) => /spec 11
0:3:13 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:3:14 | [CMD] Adem32(21) => /goreviptal
0:3:19 | [CMD] Adem32(21) => /meslek
0:3:21 | 
0:3:24 | [CMD] TIRCI(16) => /rescue
0:3:24 | [CMD] Adem32(21) => /convoy
0:3:24 | ASLANBEY(23): 5 dk bekle bize katýlýrsýn docks geliyoz
0:3:24 | BOZKURT545(19): efendm
0:3:25 | Yigit_Dely(18): ali
0:3:26 | [CMD] nik0tin(28) => /kemer 
0:3:27 | [CMD] huso608(17) => /specoff
0:3:27 | huso608(17) Oduncu olarak spawn oldu.
0:3:27 | xqHost(26): he
0:3:27 | ASLANBEY(23): 5 dk bekle bize katýlýrsýn docks geliyoz
0:3:28 | aliturkak(24): ha
0:3:33 | [CMD] nik0tin(28) => /spec 11 
0:3:34 | TDSElektro(30) Yol Iscisi olarak spawn oldu.
0:3:35 | Yigit_Dely(18): ali :D
0:3:39 | Freezer3543(11): Admin beni izler misin musait mi
0:3:40 | [CMD] Adem32(21) => /meslek
0:3:41 | BOZKURT545(19): tmmdýr aslanbey
0:3:41 | xqHost(26): ben mi
0:3:41 | TIRCI(16): havaý fýsek sov 
0:3:43 | [CMD] TDSDoctor(27) => /work
0:3:46 | Adem32(21) Gemici olarak spawn oldu.
0:3:47 | BOZKURT545(19): harboura gitcm
0:3:48 | Yigit_Dely(18): hed
0:3:49 | [CMD] buyukustadbitti(6) => /tamir
0:3:51 | [CMD] BOZKURT545(19) => /kemer
0:3:54 | [CMD] Adem32(21) => /rescue
0:3:55 | [CMD] BOZKURT545(19) => /tamir
0:3:56 | nik0tin(28): izlediðimiz kiþileri izliyoruz demeyiz 
0:4:0 | ASLANBEY(23): docks geliyoz
0:4:0 | [ANTIHACK] Þüpheli nefariouss(12) => Airbreak-hack
0:4:1 | [CMD] TIRCI(16) => /vipbilgi
0:4:3 | [CMD] Apocalypto(10) => /navigasyon
0:4:5 | ASLANBEY(23): hingwaydayýz
0:4:5 | [CMD] ekmeksevenyiyen(31) => /tamir
0:4:6 | [CMD] HeRquL(14) => /atamir
0:4:7 | Freezer3543(11): He tm pardon iyi oyunlar
0:4:7 | [CMD] huso608(17) => /spec 12
0:4:7 | [CMD] cCc.Bayram.cCC(9) => /vtamir
0:4:7 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:4:12 | [CMD] TIRCI(16) => /hfyerlestir
0:4:15 | {FFCC00}nefariouss(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:4:15 | [CMD] Yigit_Dely(18) => /tamir
0:4:17 | BOZKURT545(19): tmm ordan harboura gideriz bekliyrm
0:4:18 | [CMD] TIRCI(16) => /hfyerlestir
0:4:19 | Yigit_Dely(18): ali knk
0:4:19 | Freezer3543(11): Ksura bakma n,k0tin reis
0:4:22 | ASLANBEY(23): tmm
0:4:24 | nik0tin(28): sorun mu var 
0:4:30 | [CMD] TIRCI(16) => /hfyerlestir
0:4:31 | nik0tin(28): yardýmcý olalým 
0:4:34 | xqHost(26): he
0:4:38 | Yigit_Dely(18): olm ya düþtüm
0:4:39 | [CMD] TIRCI(16) => /hfyerlestir
0:4:41 | [CMD] HeRquL(14) => /asay sf de otobus konvoy var 
0:4:42 | [CMD] HeRquL(14) => /asay sf de otobus konvoy var 
0:4:43 | Adem32(21): baþar yapkam içn kaç kes gorev yapcam
0:4:43 | xqHost(26): :ASD
0:4:44 | [CMD] xqHost(26) => /convoy
0:4:45 | [CMD] TIRCI(16) => /hfyerlestir
0:4:45 | ASLANBEY(23): :/
0:4:49 | [CMD] nik0tin(28) => /specoff 
0:4:49 | {FFCC00}nik0tin(28) {FFFFFF}Pilot olarak spawn oldu.
0:4:50 | Adem32(21): baþar yapkam içn kaç kes gorev yapcam
0:4:51 | [CMD] nik0tin(28) => /myskin 124 
0:4:52 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:4:53 | aliturkak(24): nikotin bey bana yardýmcý olur musunz
0:4:53 | huso608(17): @21 gelinceye kadar kas
0:4:54 | [CMD] TIRCI(16) => /hfyerlestir
0:4:56 | Yigit_Dely(18): ama  saglamým :D
0:4:58 | [CMD] HeRquL(14) => /dtemizle
0:5:0 | huso608(17): @24 problem nedir
0:5:2 | [CMD] nik0tin(28) => /work 
0:5:2 | xqHost(26): :D
0:5:2 | ASLANBEY(23): :d
0:5:4 | cCc.Bayram.cCC(9): sf otobüs konvoyu var /convoy herqul
0:5:5 | [KAMYONCU] GSLIMERT, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 477768$, 1 Skor ve 5 EXP Sure: 485 Saniye
0:5:6 | Yigit_Dely(18): da yol nerde lan :D
0:5:9 | aliturkak(24): huso sen dur niko gelsn yav
0:5:11 | [CMD] TIRCI(16) => /hfyerlestir
0:5:12 | [CMD] Adem32(21) => /modifiye
0:5:12 | aliturkak(24): bi ona söyliym
0:5:19 | Yigit_Dely(18): niko
0:5:22 | nik0tin(28): evet 
0:5:24 | [CMD] xqHost(26) => /tamir
0:5:26 | GSLIMERT(13): harbour yapanlar nerdesiniz
0:5:27 | Yigit_Dely(18): Highwaya goturuversene :D
0:5:29 | huso608(17): farketmez musait olarak hepimiz bakarýz
0:5:30 | [CMD] TIRCI(16) => /vipbilgi
0:5:34 | ASLANBEY(23): docks
0:5:36 | nik0tin(28): kimi 
0:5:38 | aliturkak(24): biliyorum aga da ben nikotini alayým
0:5:38 | BOZKURT545(19): geliyorm þmdi ben
0:5:39 | Yigit_Dely(18): ben þ :D
0:5:39 | [CMD] TIRCI(16) => /hfbaslat
0:5:40 | [CMD] HeRquL(14) => /wrok
0:5:41 | cCc.Bayram.cCC(9): sf otobüs konvoyu var /convoy herqul
0:5:42 | [CMD] ekmeksevenyiyen(31) => /CEVÝR
0:5:42 | cCc.Bayram.cCC(9): sf otobüs konvoyu var /convoy herqul
0:5:42 | [CMD] HeRquL(14) => /work
0:5:44 | [CMD] CagatayBro(7) => /wrok
0:5:45 | [CMD] CagatayBro(7) => /work
0:5:46 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:5:48 | [CMD] ToRYaT(22) => /meslek
0:5:48 | nik0tin(28): geliyorum 
0:5:51 | [CMD] Adem32(21) => /convoy
0:5:51 | [CMD] GSLIMERT(13) => /convoy
0:5:53 | [CMD] ekmeksevenyiyen(31) => /cevir
0:5:54 | {FFCC00}ToRYaT(22) {FFFFFF}Kamyoncu olarak spawn oldu.
0:5:56 | [CMD] Yigit_Dely(18) => /c ulan :d
0:5:59 | BOZKURT545(19): kaç para veriyor
0:5:59 | [CMD] ToRYaT(22) => /convoy
0:6:0 | [CMD] GSLIMERT(13) => /work
0:6:1 | [CMD] Adem32(21) => /meslek
0:6:5 | {FFCC00}Adem32(21) Otobus Soforu olarak spawn oldu.
0:6:5 | HeRquL(14): sana kaç lazým
0:6:6 | [CMD] Yigit_Dely(18) => /c ulan 5k yým yol gosterdiyom adama :D
0:6:9 | [CMD] [AsLt]Cicek.Abbas.(25) => /c noldu
0:6:11 | [CMD] aliturkak(24) => /admins
0:6:12 | [CMD] nik0tin(28) => /goto 
0:6:12 | [CMD] Adem32(21) => /rescue
0:6:13 | [CMD] TIRCI(16) => /araba
0:6:14 | [CMD] CagatayBro(7) => /sac
0:6:17 | [CMD] nik0tin(28) => /goto 18 
0:6:21 | HeRquL(14): @6 kasýtlý hasar vemre
0:6:22 | HastasyzBaba(32) oyuna girdi [IP: 212.252.71.88]
0:6:22 | [CMD] Adem32(21) => /convot
0:6:23 | [CMD] nik0tin(28) => /araba
0:6:24 | [CMD] ASLANBEY(23) => /c gelemiyon mu tek
0:6:25 | [CMD] Adem32(21) => /convoy
0:6:25 | [CMD] HeRquL(14) => /atamir
0:6:26 | VictorVance(29) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:32 | 
0:6:33 | [CMD] huso608(17) => /spec 6
0:6:33 | [CMD] Yigit_Dely(18) => /c bilmedigim bir yere düþtüm :D
0:6:34 | Apocalypto(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:34 | [CMD] buyukustadbitti(6) => /convoyat ekmeksevenyiyen
0:6:34 | [CMD] ekmeksevenyiyen(31) => /goreviptal
0:6:35 | {FFCC00}HastasyzBaba(32) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:35 | [CMD] HeRquL(14) => /asay sf de otobus konvoy var gel
0:6:37 | [CMD] DarkFlow(20) => /tamir
0:6:38 | cCc.Bayram.cCC(9): sf otobüs konvoyu var /convoy herqul
0:6:39 | BOZKURT545(19): aslanbey nerdesiniz
0:6:41 | cCc.Bayram.cCC(9): sf otobüs konvoyu var /convoy herqul
0:6:43 | ASLANBEY(23): geliyoz
0:6:44 | [CMD] ekmeksevenyiyen(31) => /rescue
0:6:46 | DeStRoYCuK(10) oyuna girdi [IP: 176.88.38.235]
0:6:48 | [CMD] Adem32(21) => /moifiye
0:6:48 | [ANTIHACK] Þüpheli ToRYaT(22) => Airbreak-hack
0:6:49 | [CMD] [AsLt]Cicek.Abbas.(25) => /c noldu
0:6:50 | [CMD] HastasyzBaba(32) => /convoy
0:6:51 | BOZKURT545(19): bekliyorum
0:6:52 | [CMD] ekmeksevenyiyen(31) => /rescue
0:6:52 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:6:53 | Yigit_Dely(18): yolda
0:6:54 | [CMD] huso608(17) => /spec 22
0:6:56 | [CMD] DarkFlow(20) => /pmoff
0:6:56 | [CMD] GSLIMERT(13) => /asiriyuk
0:6:57 | [CMD] Adem32(21) => /modifiye
0:6:58 | BOZKURT545(19): efdnm
0:7:7 | [CMD] HeRquL(14) => /a @22 hack adam önümde týr indirid aq
0:7:7 | [CMD] HastasyzBaba(32) => /convoyayril
0:7:11 | [CMD] ekmeksevenyiyen(31) => /rescue
0:7:13 | [CMD] HastasyzBaba(32) => /tamir
0:7:14 | 
0:7:19 | [CMD] HeRquL(14) => /a ss var ama sürerkene
0:7:21 | [CMD] [cCc]HulkHulk[cCc](8) => /cevir
0:7:23 | [CMD] HastasyzBaba(32) => /work
0:7:23 | [CMD] [AsLt]Cicek.Abbas.(25) => /c yigit nerdesýn sen
0:7:25 | [CMD] HeRquL(14) => /cantazele
0:7:30 | [CMD] HeRquL(14) => /work
0:7:30 | Yigit_Dely(18): yol
0:7:30 | [CMD] TIRCI(16) => /kemer
0:7:31 | [CMD] cCc.Bayram.cCC(9) => /vipneon
0:7:32 | {FFCC00}DeStRoYCuK(10) Otobus Soforu olarak spawn oldu.
0:7:35 | [CMD] ToRYaT(22) => /meslek
0:7:36 | [CMD] HeRquL(14) => /convoyat 22
0:7:36 | [ANTIHACK] Þüpheli nefariouss(12) => Airbreak-hack
0:7:38 | [CMD] HeRquL(14) => /work
0:7:38 | [CMD] cCc.Bayram.cCC(9) => /hava 1
0:7:39 | [CMD] TIRCI(16) => /vipneon
0:7:39 | BOZKURT545(19): yiðit ne yolu 
0:7:39 | [CMD] [AsLt]Cicek.Abbas.(25) => /c longwaydamýsýn su an
0:7:41 | [CMD] cCc.Bayram.cCC(9) => /zaman 1
0:7:41 | {FFCC00}ToRYaT(22) Otobus Soforu olarak spawn oldu.
0:7:44 | [CMD] cCc.Bayram.cCC(9) => /saayt 1
0:7:45 | DeStRoYCuK(10): sa
0:7:45 | Yigit_Dely(18): niko
0:7:45 | [CMD] huso608(17) => /spec 22
0:7:45 | [CMD] GSpor1991(15) => /modifiye
0:7:46 | [CMD] cCc.Bayram.cCC(9) => /saat 1
0:7:49 | Yigit_Dely(18): yw
0:7:51 | [CMD] TIRCI(16) => /as
0:7:52 | TIRCI(16): hg
0:7:54 | [CMD] CagatayBro(7) => /work
0:7:56 | [CMD] huso608(17) => /spec 22
0:7:57 | (BANKA) BOZKURT545(19) 1785 nolu banka hesabina 1000000$ yatirdi.
0:8:0 | amiral(29) oyuna girdi [IP: 176.218.124.119]
0:8:1 | [CMD] ASLANBEY(23) => /c çiçek abbas docks gel
0:8:3 | [CMD] [AsLt]Cicek.Abbas.(25) => /c býrakýcagýn yeri biliyosundur insallah
0:8:6 | [CMD] ekmeksevenyiyen(31) => /convoy
0:8:7 | DeStRoYCuK(10): eyw hb
0:8:7 | [CMD] GSLIMERT(13) => /getdorse
0:8:12 | Yigit_Dely(18): niko
0:8:13 | 
0:8:14 | [CMD] DeStRoYCuK(10) => /kemer
0:8:15 | [CMD] GSLIMERT(13) => /getdorse
0:8:16 | [CMD] CagatayBro(7) => /goreviptal
0:8:16 | Yigit_Dely(18): gerisi bende :)
0:8:17 | [CMD] CagatayBro(7) => /work
0:8:18 | [CMD] buyukustadbitti(6) => /work
0:8:18 | [CMD] TIRCI(16) => /vipneon
0:8:21 | [CMD] CagatayBro(7) => /goreviptal
0:8:22 | [CMD] CagatayBro(7) => /wrok
0:8:23 | {FFCC00}amiral(29) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:23 | [CMD] CagatayBro(7) => /work
0:8:38 | nik0tin(28): devriye atýyorum ters gelen var mý diye 
0:8:38 | [CMD] TIRCI(16) => /vipbilgi
0:8:39 | Yigit_Dely(18): ali
0:8:47 | [CMD] [cCc]HulkHulk[cCc](8) => /tamir
0:8:54 | xqHost(26): he
0:8:58 | [CMD] DarkFlow(20) => /tamir
0:8:58 | [CMD] DeStRoYCuK(10) => /skapat
0:8:59 | Yigit_Dely(18): Nabýyon
0:9:2 | [CMD] TDSElektro(30) => /work
0:9:2 | xqHost(26): oyun
0:9:3 | [CMD] BOZKURT545(19) => /pm 23 daha varmý reis
0:9:4 | [CMD] [AsLt]Cicek.Abbas.(25) => /c býrakýcagýn yeri biliyosundur insallah
0:9:7 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:9:8 | [ANTIHACK] Þüpheli ToRYaT(22) => Airbreak-hack
0:9:10 | xqHost(26): telde
0:9:14 | [CMD] ASLANBEY(23) => /pm 19 yok
0:9:18 | [CMD] TDSElektro(30) => /tamir
0:9:20 | [CMD] Yigit_Dely(18) => /c skoruma bak
0:9:20 | [CMD] HeRquL(14) => /a 22 banla bende ss var 1 tane
0:9:25 | [CMD] ToRYaT(22) => /meslek
0:9:26 | [CMD] huso608(17) => /ban22 2 0 Hile Yasak Baskan
0:9:29 | DeStRoYCuK(10): fps mod varmý ?
0:9:30 | [CMD] ToRYaT(22) => /meslek
0:9:31 | [BAN] huso608(17) ToRYaT(22)'i 2 gün 0 saat banladý. Sebep: Hile Yasak Baskan
0:9:31 | [CMD] huso608(17) => /ban 22 2 0 Hile Yasak Baskan
0:9:31 | ToRYaT(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:9:31 | huso608(17) Oduncu olarak spawn oldu.
0:9:32 | HeRquL(14): var
0:9:34 | nik0tin(28):  /fps 
0:9:34 | Yigit_Dely(18):  /fps :D
0:9:36 | HeRquL(14):  /fps
0:9:36 | [LOCAL]cCc.Bayram.cCC(9): takip et bedava geçek
0:9:36 | [CMD] cCc.Bayram.cCC(9) => /l takip et bedava geçek
0:9:36 | [CMD] [AsLt]Cicek.Abbas.(25) => /pm 19 convoy gel
0:9:40 | [CMD] TDSDoctor(27) => /fps
0:9:40 | Yigit_Dely(18): ama kullanma :d
0:9:43 | [CMD] GSLIMERT(13) => /fps
0:9:43 | [CMD] nik0tin(28) => /dtemizle 
0:9:43 | DeStRoYCuK(10): saolun
0:9:44 | [CMD] TDSDoctor(27) => /fps
0:9:45 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:9:46 | Yigit_Dely(18): kendin indir daha iyi :D
0:9:47 | [CMD] huso608(17) => /spec 10
0:9:48 | [CMD] HastasyzBaba(32) => /fps
0:9:49 | [CMD] DeStRoYCuK(10) => /kurallar
0:9:50 | [CMD] GSLIMERT(13) => /fps
0:9:52 | [CMD] BOZKURT545(19) => /pm 23 aslanbey geliyor dur
0:9:53 | [CMD] HastasyzBaba(32) => /fps
0:9:53 | [CMD] DeStRoYCuK(10) => /kurallar
0:9:55 | [CMD] [AsLt]Cicek.Abbas.(25) => /convoy
0:9:58 | [LOCAL]cCc.Bayram.cCC(9): takip et bedava geçek
0:9:58 | [CMD] cCc.Bayram.cCC(9) => /l takip et bedava geçek
0:9:58 | [CMD] DeStRoYCuK(10) => /fps
0:10:1 | [CMD] huso608(17) => /spec 2
0:10:1 | [CMD] BOZKURT545(19) => /convoyayril
0:10:3 | [CMD] BOZKURT545(19) => /convoy
0:10:4 | Yigit_Dely(18): ali
0:10:5 | [CMD] huso608(17) => /spec 27
0:10:6 | Yigit_Dely(18): sýkýlýom
0:10:7 | [AsLt]Cicek.Abbas.(25): bozkurt
0:10:7 | [CMD] CagatayBro(7) => /rankatla
0:10:9 | [CMD] nefariouss(12) => /icerigir
0:10:10 | [CMD] CagatayBro(7) => /ranklar
0:10:10 | [LOCAL]ASLANBEY(23): bi yiðit görev vers,n
0:10:10 | [CMD] ASLANBEY(23) => /l bi yiðit görev vers,n
0:10:11 | [CMD] HeRquL(14) => /a huso grup bak
0:10:11 | [CMD] amiral(29) => /work
0:10:12 | [AsLt]Cicek.Abbas.(25): convoyu kapat bizimkine gel
0:10:12 | BOZKURT545(19): efendm
0:10:13 | [CMD] [cCc]HulkHulk[cCc](8) => /icerigir
0:10:17 | [CMD] CagatayBro(7) => /work
0:10:18 | [AsLt]Cicek.Abbas.(25): aslanbeyin kurduguna
0:10:20 | [CMD] huso608(17) => /a ne oldu
