0:0:0 | sezzer(6): 120 mi
0:9:13 | [CMD] Yamuk(11) => /work
0:9:14 | [CMD] TR_Berk_TR(0) => /kemer
0:9:16 | [CMD] TR_Berk_TR(0) => /kemer
0:9:19 | Brokoli(14): mutem gitti
0:9:32 | sezzer(6): kapat tekerlekleri
0:9:34 | sezzer(6): eren
0:9:43 | eren1616(7): 3 saat sürüyo kapatmak
0:9:47 | sezzer(6): o çok hýzlý lan yetiþilmiyo
0:9:52 | eren1616(7): A:SDA:
0:9:53 | sezzer(6): kaç basýyo
0:10:19 | [CMD] swisskobay301(8) => /convoy
0:10:25 | [CMD] swisskobay301(8) => /meslek
0:10:31 | sezzer(6): kaç basýyon la eren :D
0:10:42 | [CMD] eren1616(7) => /atamir
0:10:46 | [CMD] KamyoncuNecmi(19) => /work
0:10:58 | [CMD] TR_Berk_TR(0) => /tamir
0:11:0 | {FFCC00}swisskobay301(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:1 | [CMD] Brokoli(14) => /c atýyo
0:11:4 | [CMD] Brokoli(14) => /c atýyo
0:11:8 | [CMD] swisskobay301(8) => /basarimlar
0:11:9 | eren1616(7): 237 :D
0:11:12 | [CMD] Brokoli(14) => /c pilotlukta
0:11:18 | [CMD] Brokoli(14) => /c attý benis
0:11:20 | [CMD] Axefi(12) => /araba
0:11:21 | [CMD] swisskobay301(8) => /rescue
0:11:22 | [CMD] KamyoncuNecmi(19) => /goreviptal
0:11:38 | [CMD] Brokoli(14) => /c bursa
0:11:39 | [CMD] swisskobay301(8) => /pm 17 görev yapýyomusun
0:11:48 | sezzer(6): knk
0:11:48 | [CMD] DarkFlow(17) => /pm 8 evet 
0:11:55 | [CMD] swisskobay301(8) => /pm 17 istersen konvoy yapalým
0:11:55 | sezzer(6): ben þimdi birinin kafasýna atsam bunu
0:11:58 | [CMD] swisskobay301(8) => /pm 17 sözüm vardý
0:11:59 | sezzer(6): beni ahýra atar mýsýn
0:12:2 | [CMD] DarkFlow(17) => /pm 8 harbourda gel 
0:12:6 | eren1616(7): kesinlikle evet
0:12:12 | [CMD] swisskobay301(8) => /pm 17 tm 
0:12:13 | sezzer(6): o zaman atýyorum
0:12:16 | Kefo(9) oyuna girdi [IP: 85.108.152.233]
0:12:20 | Axefi(12): eren þu ahýr nasýl biyer benide atsana
0:12:20 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 265426$, 1 Skor ve 5 EXP Sure: 486 Saniye
0:12:23 | eren1616(7): hapse ataroö sonra ahýra
0:12:23 | [CMD] KamyoncuNecmi(19) => /rescue
0:12:30 | [CMD] DarkFlow(17) => /pm 8 kur konvoy 
0:12:31 | [CMD] eren1616(7) => /cleanupcars
0:12:35 | {FFCC00}sezzer(6) {FFFFFF}Pilot olarak spawn oldu.
0:12:36 | [CMD] eren1616(7) => /gc inþ höcktür
0:12:36 | [CMD] swisskobay301(8) => /convoykur
0:12:38 | {FFCC00}Kefo(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:38 | [CMD] swisskobay301(8) => /konvoykur
0:12:41 | [CMD] swisskobay301(8) => /convoy
0:12:42 | sezzer(6): attým knk
0:12:42 | Axefi(12): merak ettim ahýr ne
0:12:43 | [CMD] eren1616(7) => /spec 9
0:12:47 | [CMD] TR_Berk_TR(0) => /tamir
0:12:48 | KamyoncuNecmi(19): git git
0:12:50 | KamyoncuNecmi(19): güzel biþey
0:12:52 | KamyoncuNecmi(19): xdd
0:13:0 | sezzer(6): darkflow a attým
0:13:1 | [CMD] DarkFlow(17) => /convoy
0:13:2 | sezzer(6): hadi ahýrla beni
0:13:3 | [CMD] Brokoli(14) => /tamir
0:13:7 | Axefi(12): atmýyolar ki istiyomda ahýra gitmek :D
0:13:7 | Brokoli(14): ben yatcam
0:13:9 | [CMD] Kefo(9) => /rescue
0:13:11 | [CMD] Brokoli(14) => /c bb
0:13:17 | [CMD] Yamuk(11) => /work
0:13:18 | [CMD] Brokoli(14) => /convoy/c dur
0:13:19 | [CMD] Brokoli(14) => /convoy/c dur
0:13:19 | [CMD] Brokoli(14) => /convoy/c dur
0:13:20 | sezzer(6): axefi suç iþlicen knk ahýr için
0:13:25 | sezzer(6): yada kötü espri yapcan
0:13:26 | [CMD] Brokoli(14) => /convoyayril
0:13:28 | Brokoli(14): bb
0:13:31 | [CMD] DarkFlow(17) => /kemer
0:13:33 | Brokoli(14): ben gidiyom
0:13:35 | Brokoli(14): bb
0:13:36 | [CMD] swisskobay301(8) => /c baþlatýyorum
0:13:37 | [CMD] swisskobay301(8) => /modifiye
0:13:38 | Axefi(12): adamýn biri varýþ ikinci dönem düzeltmiþ
0:13:39 | Brokoli(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:13:40 | [CMD] DarkFlow(17) => /c ok
0:13:41 | Axefi(12): gibimi yani
0:13:42 | [CMD] swisskobay301(8) => /work
0:13:47 | [CMD] TR_Berk_TR(0) => /meslek
0:13:49 | [CMD] DarkFlow(17) => /tamir
0:13:49 | [CMD] Yamuk(11) => /convoyiptal
0:13:50 | sezzer(6): bak þöyle
0:13:51 | 
0:13:52 | [CMD] Yamuk(11) => /meslek
0:13:54 | sezzer(6): axefi cem seni sordu
0:13:55 | 
0:13:56 | [CMD] DarkFlow(17) => /asiriyuk
0:13:58 | [CMD] DarkFlow(17) => /asiriyuk
0:14:1 | Axefi(12): hangi cem
0:14:5 | sezzer(6): televizyon
0:14:6 | [CMD] swisskobay301(8) => /asiriyuk
0:14:17 | Axefi(12): :((
0:14:20 | [CMD] Kefo(9) => /kemer
0:14:22 | [CMD] TR_Berk_TR(0) => /kemer
0:14:23 | [CMD] Yamuk(11) => /convoy
0:14:23 | [CMD] KamyoncuNecmi(19) => /kemer
0:14:23 | sezzer(6): eren atýcan mý bu sene :ÇD
0:14:24 | [CMD] TR_Berk_TR(0) => /kemer
0:14:29 | [CMD] KamyoncuNecmi(19) => /convoy
0:14:30 | [CMD] Yamuk(11) => /rescue
0:14:34 | Axefi(12): eren öldü sanýrým
0:14:37 | [CMD] eren1616(7) => /spec 6
0:14:38 | [CMD] Kefo(9) => /CONVOY
0:14:41 | eren1616(7): dirildi galiba
0:14:48 | [CMD] DarkFlow(17) => /srespawncars
0:14:49 | sezzer(6): e hadi ahýrla beniii
0:14:54 | [CMD] DarkFlow(17) => /sirket
0:15:3 | [CMD] TR_Berk_TR(0) => /work
0:15:14 | Axefi(12): eren dün noldu biliyonmu sen
0:15:18 | eren1616(7): adama 52 metre yaklaþýrsan 31 gün banlarým
0:15:34 | eren1616(7): bayrama kadarda ahýra atarým
0:15:41 | [CMD] KamyoncuNecmi(19) => /work
0:15:45 | Axefi(12): :D
0:15:48 | eren1616(7): ebn evoya benzemem A:ÇDS:SA
0:15:58 | Axefi(12): eren dün noldu biliyonmu akþam
0:16:6 | eren1616(7): noldu akþam ?
0:16:19 | Axefi(12): bilmem nolmuþ akþam ?
0:16:28 | {FFCC00}sezzer(6) {FFFFFF}Pilot olarak spawn oldu.
0:16:28 | eren1616(7): bende sana soruyom
0:16:34 | eren1616(7): sezer kullancaðýn uçaðý
0:16:41 | [CMD] eren1616(7) => /spec sezzer
0:16:45 | sezzer(6): lan ahýra atman için daha napmam lazým :D
0:16:54 | [CMD] sezzer(6) => /rescue
0:16:55 | Axefi(12): uçaðýmda yokki kafana atsam eren
0:16:55 | eren1616(7): þimdi illa ahýrmý istiyon ?
0:17:3 | [CMD] eren1616(7) => /spec sezzer
0:17:4 | sezzer(6): evet
0:17:6 | Axefi(12): bende görmek istiyom þu ahýrý neymiþ
0:17:7 | [CMD] eren1616(7) => /specoff
0:17:7 | {FFCC00}eren1616(7) {FFFFFF}Pilot olarak spawn oldu.
0:17:9 | eren1616(7): þaitsiniz
0:17:13 | [CMD] eren1616(7) => /rescue
0:17:14 | Axefi(12): benide at promosyon olarak :D
0:17:15 | [CMD] TR_Berk_TR(0) => /pm 11 kerpeten amcýklý
0:17:19 | eren1616(7): tamam kombo
0:17:31 | Axefi(12): atlarýn yanýnamý atýyonuz ne bu ahýr
0:17:34 | Kefo(9): !work
0:17:34 | sezzer(6): ss al bunu
0:17:36 | [CMD] Kefo(9) => /work
0:17:46 | [CMD] KamyoncuNecmi(19) => /work
0:17:49 | [CMD] KamyoncuNecmi(19) => /goreviptal
0:17:50 | [CMD] KamyoncuNecmi(19) => /work
0:17:52 | eren1616(7): ss e gerek yok f8 tuþu yok çünkü
0:17:56 | sezzer(6): asdjhagdjhgasd
0:18:1 | [CMD] KamyoncuNecmi(19) => /convoy work
0:18:2 | [CMD] eren1616(7) => /rescue
0:18:11 | [CMD] KamyoncuNecmi(19) => /goreviptal
0:18:12 | eren1616(7): dur uçakla inecek ahýra
0:18:13 | [CMD] swisskobay301(8) => /c beleþ geçiyoruz ayýp olmuyo demi
0:18:13 | [CMD] KamyoncuNecmi(19) => /convoy
0:18:20 | [CMD] DarkFlow(17) => /c sýkýntý yok 
0:18:21 | [CMD] KamyoncuNecmi(19) => /convoy ayril
0:18:21 | Axefi(12): benimde p tuþu yok
0:18:22 | eren1616(7): þimdi ahýr isteyen arkadaþlar kimdi _
0:18:25 | sezzer(6): ben
0:18:27 | Axefi(12): bn
0:18:30 | [CMD] eren1616(7) => /palen
0:18:30 | KamyoncuNecmi(19): konvoy görevi nasýl baþlatýcam
0:18:31 | [CMD] eren1616(7) => /plane
0:18:44 | [CMD] sezzer(6) => /rescue
0:18:45 | eren1616(7): çekiyom
0:18:49 | sezzer(6): çeeðk
0:18:51 | Axefi(12): terbiyesiz
0:18:59 | eren1616(7): sen tam ahýrlýsýn
0:18:59 | [CMD] KamyoncuNecmi(19) => /work
0:19:4 | [CMD] eren1616(7) => /get 12
0:19:9 | Axefi(12): :D
0:19:9 | eren1616(7): binmeyen ölür
0:19:11 | [CMD] sezzer(6) => /dans 4
0:19:15 | [CMD] eren1616(7) => /slap 12
0:19:19 | eren1616 Axefi'i öldürdü. Oldurme Sekli: 50
0:19:22 | Axefi(12): jhahahha
0:19:23 | eren1616(7): öldü binmedi
0:19:24 | {FFCC00}Axefi(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:19:28 | [CMD] eren1616(7) => /get 12
0:19:31 | Axefi(12): harbiden öldüm
0:19:39 | [CMD] Yamuk(11) => /stats
0:19:50 | [LOCAL]sezzer(6): az sonra yarra yicez axefi
0:19:50 | [CMD] sezzer(6) => /l az sonra yarra yicez axefi
0:19:51 | [CMD] TR_Berk_TR(0) => /stats
0:19:54 | [CMD] Yamuk(11) => /stats
0:19:55 | [LOCAL]sezzer(6): gerçekten yicez ama :D
0:19:55 | [CMD] sezzer(6) => /l gerçekten yicez ama :D
0:20:0 | Axefi(12): ben sigara dumanýnýn altýnda yana yana en sonunda kül olduuum
0:20:3 | [LOCAL]eren1616(7): tecrübeli sezer
0:20:3 | [CMD] eren1616(7) => /l tecrübeli sezer
0:20:9 | [LOCAL]Axefi(12): ne ki merak ettim iyice :D
0:20:9 | [CMD] Axefi(12) => /l ne ki merak ettim iyice :D
0:20:9 | [LOCAL]eren1616(7): biliyo
0:20:9 | [CMD] eren1616(7) => /l biliyo
