0:0:0 | [CMD] TIRCI(23) => /basarimlar
0:14:22 | [CMD] DarkFlow(18) => /rescue
0:14:22 | {FFCC00}Jodor(0) {FFFFFF}Kamyoncu olarak spawn oldu.
0:14:26 | [CMD] Jodor(0) => /sa
0:14:28 | [CMD] huso608(8) => /as
0:14:29 | [CMD] DarkFlow(18) => /as
0:14:30 | [CMD] Jodor(0) => /admins 
0:14:31 | [CMD] Asi_Kaptan(20) => /as
0:14:32 | [CMD] dostluk(19) => /convoy
0:14:36 | [CMD] Jodor(0) => /sirket
0:14:38 | [CMD] huso608(8) => /duyuru gerektiginde dansa gitmek ister
0:14:38 | Qxilver(7): ben çýkýom ya
0:14:40 | Qxilver(7): ömjö
0:14:46 | [CMD] Jodor(0) => /sirket
0:14:47 | [CMD] DarkFlow(18) => /kemer
0:14:52 | XhackerS(9) oyuna girdi [IP: 89.147.227.105]
0:14:53 | [SirketCHT] DarkFlow(18): ! docka gel
0:15:5 | [CMD] Asi_Kaptan(20) => /convoyayril
0:15:6 | [SirketCHT] Jodor(0): ! asi sana iyi ki 1m dedik kasýyorsun ha :)
0:15:8 | Qxilver(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:15:9 | [CMD] huso608(8) => /duyuru sen ne istiyorsun baskan
0:15:9 | [CMD] Jodor(0) => /rrescue
0:15:13 | [CMD] Jodor(0) => /rescue
0:15:13 | [CMD] Asi_Kaptan(20) => /wpork
0:15:16 | [SirketCHT] DarkFlow(18): ! :D
0:15:17 | [CMD] Jodor(0) => /convoy
0:15:18 | [SirketCHT] Asi_Kaptan(20): ! oyle haci ;)
0:15:25 | [CMD] huso608(8) => /work
0:15:26 | {FFCC00}XhackerS(9) Otobus Soforu olarak spawn oldu.
0:15:27 | [SirketCHT] Jodor(0): ! kas kas
0:15:42 | [SirketCHT] Asi_Kaptan(20): ! bizim kraldanda 1 kes D:
0:15:43 | [CMD] huso608(8) => /duyuru tek derdimiz dostlugumuz baki kalsýn yeter
0:15:50 | [CMD] Jodor(0) => /sirket
0:15:56 | [CMD] Asi_Kaptan(20) => /work
0:16:0 | [SirketCHT] Jodor(0): ! kasmazsa sen de keserim
0:16:9 | [CMD] DarkFlow(18) => /pm 8 reis gelcenmi 
0:16:10 | [CMD] huso608(8) => /spec 9
0:16:18 | [CMD] huso608(8) => /pm 18 nerdesiniz
0:16:18 | [SirketCHT] Asi_Kaptan(20): ! bana niye diyorsun onu peki ;)
0:16:25 | [SirketCHT] Jodor(0): ! kefil sensin çünkü
0:16:25 | [CMD] DarkFlow(18) => /pm 8 dýock
0:16:31 | [SirketCHT] Jodor(0): ! :)
0:16:31 | XhackerS(9): arabayi nasil calisdirim
0:16:39 | huso608(8): n bas veya /motor
0:16:39 | [SirketCHT] Asi_Kaptan(20): ! kefil oldugumu hatýrlamýyorum ama ;)
0:16:42 | dostluk(19): oyunda balýkesir nerde
0:16:42 | Asi_Kaptan(20):   /motor
0:16:46 | [CMD] huso608(8) => /pm
0:16:49 | [SirketCHT] Jodor(0): ! al diye ýsrar ettin
0:16:51 | [SirketCHT] DarkFlow(18): ! huso geliyo baþlamayýn
0:16:53 | XhackerS(9): Selamun Aleykum bu arada :D
0:16:54 | huso608(8): balýkesir yok neresi dogru yaz
0:16:56 | [CMD] huso608(8) => /as
0:17:1 | [CMD] DarkFlow(18) => /as
0:17:1 | [CMD] huso608(8) => /specoff
0:17:1 | huso608(8) Oduncu olarak spawn oldu.
0:17:4 | [SirketCHT] Jodor(0): ! convoy baþkaný sensin darko
0:17:6 | [CMD] Jodor(0) => /as
0:17:8 | Jodor(0): gelsin
0:17:10 | [CMD] huso608(8) => /pm 18 baskan maalesef
0:17:12 | [CMD] DarkFlow(18) => /convoy
0:17:19 | [CMD] DarkFlow(18) => /pm 8 noldu 
0:17:24 | tavsanpaladin55(7) oyuna girdi [IP: 88.244.117.180]
0:17:30 | [CMD] huso608(8) => /pm 18 baksana adamlar nereye gideceklerini
0:17:31 | [CMD] DarkFlow(18) => /pm 8 hilecimi ayýklýcan :D
0:17:37 | [SirketCHT] Asi_Kaptan(20): ! ben alalým mý dedim alalým kefil benim demedim ;)
0:17:45 | [CMD] DarkFlow(18) => /pm 8 hackeri izle 
0:17:51 | [SirketCHT] Jodor(0): ! tamam tamam almam
0:17:51 | 
0:17:51 | [CMD] huso608(8) => /duyuru hile mi var yoksa vizz
0:17:54 | dostluk(19): tugýs
0:18:0 | huso608(8): ls de baskan
0:18:2 | 
0:18:4 | [SirketCHT] Jodor(0): ! þirket batsýn istiyorsun
0:18:9 | [CMD] huso608(8) => /spec 9
0:18:10 | XhackerS(9): yeniyim ben anlamadimm bisey
0:18:11 | [CMD] Jodor(0) => /sirket
0:18:18 | [SirketCHT] Asi_Kaptan(20): ! batmaz bea ;)
0:18:19 | [SirketCHT] tavsanpaladin55(7): ! iyi geceler beyler
0:18:20 | huso608(8): @9  /kurallar
0:18:26 | [SirketCHT] Jodor(0): ! iyi geceler bro
0:18:27 | [SirketCHT] DarkFlow(18): ! eyw
0:18:31 | [SirketCHT] Jodor(0): ! harboura gel
0:18:31 | huso608(8): @9 /yardim
0:18:32 | [CMD] XhackerS(9) => /kurallar
0:18:33 | [SirketCHT] Jodor(0): ! pardon
0:18:36 | [SirketCHT] Jodor(0): ! docks
0:18:40 | [CMD] dostluk(19) => /kemer
0:18:47 | [SirketCHT] tavsanpaladin55(7): ! banamý diyosun
0:18:48 | [SirketCHT] Jodor(0): ! kargocusun ya
0:18:54 | [CMD] Asi_Kaptan(20) => /convoy
0:18:56 | [SirketCHT] DarkFlow(18): ! :D
0:18:58 | [SirketCHT] tavsanpaladin55(7): ! az kargocu olayým ya :D
0:19:5 | [CMD] tavsanpaladin55(7) => /work
0:19:11 | [SirketCHT] Jodor(0): ! þirket karlý deðil kapatacam
0:19:20 | [SirketCHT] DarkFlow(18): ! ayn
0:19:20 | [SirketCHT] Jodor(0): ! iflas verecem bankaya
0:19:23 | [CMD] XhackerS(9) => /yardim
0:19:29 | [SirketCHT] Jodor(0): ! maaþta alamayacaksýnýz :/
0:19:35 | [SirketCHT] DarkFlow(18): ! :D
0:19:39 | [SirketCHT] Asi_Kaptan(20): ! devret bana sende ;)
0:19:42 | [SirketCHT] tavsanpaladin55(7): ! canýn saðolsun reis
0:19:48 | [SirketCHT] Jodor(0): ! þaka yapýyorum
0:19:53 | [SirketCHT] Jodor(0): ! devam devam
0:20:2 | [SirketCHT] Asi_Kaptan(20): ! :D 
0:20:2 | [SirketCHT] Jodor(0): ! asi kaptan ile paladdin olduðu sürece batmam ben
0:20:12 | [CMD] XhackerS(9) => /work
0:20:12 | [SirketCHT] tavsanpaladin55(7): ! :DD adamsýn
0:20:21 | [CMD] tavsanpaladin55(7) => /modifiye
0:20:42 | [CMD] huso608(8) => /spec 19
0:20:45 | [SirketCHT] Asi_Kaptan(20): ! dockda beklerim ben ;)
0:20:50 | [CMD] Jodor(0) => /pm 18 8m prim attým konyalýya. þirketten çýkarsa vururum onu 
0:21:4 | huso608(8): soldan
0:21:10 | huso608(8): @19 
0:21:12 | [CMD] DarkFlow(18) => /pm 0 hmm guveniyonmu ona ? 
0:21:24 | [CMD] Jodor(0) => /pm 18 güveniyorum tabii 
0:21:26 | Asi_Kaptan(20): huso localdan konus gorsun ;)
0:21:40 | huso608(8): hýmm degisik bi tarz begendim onu
0:21:49 | [CMD] DarkFlow(18) => /pm 0 inþ sakatlýk çýkmaz  D:
0:21:49 | [CMD] Jodor(0) => /kemer
0:21:51 | Asi_Kaptan(20): biz gormeyiz o zaman ;)
0:22:0 | Asi_Kaptan(20): o gorur
0:22:7 | [CMD] Jodor(0) => /pm 18 çýkmaz çýkmaz. vefaker görünüyor. üçkaðýtçý deðil 
0:22:12 | [CMD] huso608(8) => /pm 19 sol
0:22:19 | [CMD] Jodor(0) => /pm 18 asi kaptan üçkaðýtçý mesela. 
0:22:20 | [CMD] DarkFlow(18) => /pm 0 ins 
0:22:29 | [CMD] DarkFlow(18) => /pm 0 evet 
0:22:31 | [CMD] Jodor(0) => /pm 18 onlara öyle davranacan :D 
0:22:37 | [CMD] huso608(8) => /pm 19 sol yolu bitir onunde
0:22:39 | [CMD] Jodor(0) => /c baþla
0:22:43 | [CMD] DarkFlow(18) => /work
0:22:45 | Jodor(0): convoya gelen var mý
0:22:50 | Jodor(0): longway docksa
0:22:52 | huso608(8): bence pm daha iyi geldi 
0:22:56 | [CMD] DarkFlow(18) => /asiriyuk
0:23:0 | Jodor(0): o deðilde týrcýlýk yapmayacaktým
0:23:3 | Asi_Kaptan(20): local daha rahat
0:23:3 | [CMD] Jodor(0) => /asiriyuk
0:23:20 | XhackerS(9): goreviptal
0:23:20 | Asi_Kaptan(20): hay ben bu kasayý
0:23:22 | [CMD] tavsanpaladin55(7) => /work
0:23:34 | huso608(8): ama 3 cu kisi duyuyor o zaman bizi yakýnýýmda olan
0:23:40 | [CMD] XhackerS(9) => /goreviptal
0:23:46 | Asi_Kaptan(20): adam tek degil mi ?
0:23:50 | [CMD] DarkFlow(18) => /convoy
0:24:2 | huso608(8): bazen hackler oluyor ya o anlamda dedim
0:24:16 | XhackerS(9): kendimi nasil oldurub yeniden baslaya bilirim
0:24:22 | huso608(8):   /meslek
0:24:25 | Jodor(0):  /meslek yaz
0:24:26 | Asi_Kaptan(20): tek kisi oldugunda kullan onu zaten ;
0:24:35 | [CMD] XhackerS(9) => /meslek
0:24:38 | Jodor(0): yýldýzýn varsa /karakol /cezaode yap
0:24:50 | [CMD] huso608(8) => /spec 9
0:24:56 | Jodor(0): hiçbiri yoksa da git suda kendini öldür binadan atla uçaðý patlat
0:25:8 | Jodor(0): týrýmýn altýna gir
0:25:14 | [LOCAL]tavsanpaladin55(7): ç
0:25:14 | [CMD] tavsanpaladin55(7) => /l ç
0:25:15 | [CMD] huso608(8) => /pm 9 ters yuzmeyi nasýl ogrendin
0:25:17 | Jodor(0): :D
0:25:22 | DarkFlow(18): :D
0:25:26 | XhackerS(9): tmm bogacam suda kendimi :D
0:25:35 | dostluk(19): cezaode
0:25:38 | Asi_Kaptan(20):  /karakol git /cezaode yap
0:25:40 | Jodor(0): hackersýn sen ya
0:25:41 | {FFCC00}XhackerS(9) Otobus Soforu olarak spawn oldu.
0:25:45 | [LOCAL]tavsanpaladin55(7): .
0:25:45 | [CMD] tavsanpaladin55(7) => /l .
0:25:47 | Jodor(0): korktum senden
0:25:50 | huso608(8):   /karakol 
0:25:55 | [CMD] dostluk(19) => /cezaode
0:25:55 | huso608(8):   /cezaode
0:25:59 | [CMD] huso608(8) => /spec 9
0:25:59 | Jodor(0): huso baþkan hacker var
0:26:4 | XhackerS(9): jodor :S
0:26:4 | Jodor(0): hacker varsa hack var
0:26:8 | dostluk(19): aynen
0:26:14 | [LOCAL]tavsanpaladin55(7): ...
0:26:14 | [CMD] tavsanpaladin55(7) => /l ...
0:26:19 | huso608(8): beyler sakin olursa ilgileniriz
0:26:23 | Jodor(0): dostluk varsa arkadaþlýk dostluk birliktelik var
0:26:31 | XhackerS(9): birakin dalga kecmeyi oyununuzu oynayin :D
0:26:35 | Jodor(0): böyle nickler lazým
0:26:47 | Jodor(0): dostluk seni sevdim
0:26:51 | Jodor(0): para atayým sana
0:27:2 | Jodor(0) dostluk(19)'a 234567$ para gönderdi
0:27:2 | [CMD] Jodor(0) => /paragonder 19 234567
0:27:2 | huso608(8): yasa sen patron
0:27:19 | dostluk(19): sagol jador
0:27:26 | Jodor(0): rica iyi günlerde harca
0:27:29 | XhackerS(9): benim aranma seviyem var nasil siliyim aranma seviyesin'
0:27:31 | huso608(8): jodor baba bizi diskoya gotur
0:27:36 | huso608(8):   /karakol
0:27:41 | Jodor(0): gidelim baba
0:27:41 | huso608(8):   /cezaode
0:27:45 | [CMD] XhackerS(9) => /karakol
0:27:49 | dostluk(19): bende seni seviyorum
0:27:56 | bay.potiy(10) oyuna girdi [IP: 46.1.132.72]
0:28:4 | [CMD] XhackerS(9) => /cezaode
0:28:7 | 
0:28:10 | {FFCC00}bay.potiy(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:28:10 | huso608(8): beni sevmiyonmu yoksa@19  
0:28:28 | DarkFlow(18): apra at seni,d e sevsin
0:28:32 | DarkFlow(18): para 
0:28:34 | Asi_Kaptan(20): :D
0:28:36 | DarkFlow(18): :D
0:28:39 | huso608(8): keske olsa
0:28:48 | huso608(8): dagýta dagýta babada nakit sýkýntýsý var
0:28:50 | dostluk(19): senide seviyom huso
0:28:53 | Jodor(0): para deðil dostluk önemli bize
0:28:55 | [CMD] Asi_Kaptan(20) => /pm 8 gece kasalým senle huso baskan parayý 
0:28:55 | [CMD] bay.potiy(10) => /sirket
0:28:58 | huso608(8): ben de sana seviyom
0:29:20 | dostluk(19): aynen dosluk herþeyden daha önemli
0:29:21 | Asi_Kaptan(20): huso turkce katýlý dýkkatlý olun ;)
0:29:29 | huso608(8): ivit
0:29:55 | Asi_Kaptan(20): dock konvoycularý nerde kaldýnýz
0:30:2 | DarkFlow(18): suda
0:30:8 | [CMD] XhackerS(9) => /work
0:30:8 | Asi_Kaptan(20): gecmis olsun ;)
0:30:13 | DarkFlow(18): eyw
0:30:19 | [CMD] Jodor(0) => /vtamir
0:30:47 | Jodor(0): huso help
0:30:48 | Asi_Kaptan(20): tek devam o zaman ben
0:30:48 | huso608(8): @10 hos geldin kurban nassin
0:30:51 | [CMD] huso608(8) => /specoff
0:30:51 | huso608(8) Oduncu olarak spawn oldu.
0:30:54 | [CMD] huso608(8) => /goto 0
0:31:2 | [KAMYONCU] Asi_Kaptan, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 265426$, 1 Skor ve 5 EXP Sure: 617 Saniye
0:31:6 | [CMD] Asi_Kaptan(20) => /work
0:31:6 | Jodor(0): çýktým
0:31:8 | huso608(8): cýkmýssýn ya
0:31:12 | Jodor(0): saolasýn huso
0:31:16 | bay.potiy(10): @ 8 eyv moruk sen 
0:31:19 | Jodor(0): o arayý yeni gördüm
0:31:20 | [OTOBUSCU] dostluk, Tugis Otobus Duragi'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 9561$ ve 2 Skor Sure: 4366 Saniye
0:31:20 | huso608(8): rica baskan biswyde yapamadýk
0:31:30 | Jodor(0): geliþin yetti
0:31:33 | [CMD] Asi_Kaptan(20) => /asýrýyuk
0:31:33 | huso608(8): @10 neler yapýsýn
0:31:37 | [CMD] Asi_Kaptan(20) => /asýrýyuk
0:31:42 | [CMD] Asi_Kaptan(20) => /asiriyuk
0:31:49 | [CMD] huso608(8) => /rescue
0:31:50 | bay.potiy(10): >8 geziniyomöyle boþ boþ sen 
0:32:2 | huso608(8): sen de banlana banlana bi hal oldun ha
0:32:3 | [SirketCHT] Jodor(0): ! geziniyor musun
0:32:3 | dostluk(19): jodor hadi diskoya gidem
0:32:6 | [SirketCHT] Jodor(0): ! git çalýþ
0:32:8 | [SirketCHT] DarkFlow(18): ! :D
0:32:20 | [SirketCHT] bay.potiy(10): ! çýkýcam birazdan baþkn 
0:32:21 | dostluk(19): sende gel huso
0:32:22 | [SirketCHT] Jodor(0): ! bugün maaþýný almýþsýn keyfin yerinde tabii
0:32:31 | huso608(8): ben gidersem mekan saglam kalmaz
0:32:35 | [SirketCHT] Jodor(0): ! þaka yapýyorum takýl kendine
0:32:39 | huso608(8): cok fena icerim
0:32:41 | [CMD] XhackerS(9) => /gorevikapat
0:32:43 | huso608(8): dagýtýrým sonra
0:32:47 | [CMD] huso608(8) => /work
0:32:52 | [SirketCHT] bay.potiy(10): ! ayýpsýn abþkan bizim nefin net hallolsa girip kascazda onda sýkýntý var
0:32:57 | Asi_Kaptan(20): dark icinden gecmez týrýn he :D
0:32:59 | Jodor(0): daðýlan sen olursun huso baþkan az iç
0:33:3 | [CMD] XhackerS(9) => /meslek
0:33:5 | Asi_Kaptan(20): biz cok denedik
0:33:8 | DarkFlow(18): dalmýsým k.b
0:33:10 | [SirketCHT] Jodor(0): ! alla alla
0:33:15 | dostluk(19): bosver gel ya biþey olmas biz seni kollarýz
0:33:24 | huso608(8): o zaman gidelim 
0:33:27 | {FFCC00}XhackerS(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:33:43 | [CMD] huso608(8) => /duyuru jodor baba diskoya gotur gencleri
0:33:45 | bay.potiy(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:33:51 | Jodor(0): görev bitsin gidelim
0:33:59 | [CMD] XhackerS(9) => /work
0:33:59 | dostluk(19): huso gel beni al
0:34:11 | huso608(8): adres ver geleyim
0:34:15 | [CMD] huso608(8) => /spec 19
0:34:21 | [CMD] huso608(8) => /specoff
0:34:22 | huso608(8) Oduncu olarak spawn oldu.
0:34:35 | huso608(8): otobusun hali nedir oyle carsamba pazarý gibi olmus
0:34:37 | [CMD] DarkFlow(18) => /sirket
0:34:41 | [CMD] huso608(8) => /work
0:34:55 | huso608(8): vurulmadik bi yeri kalmamýs
0:35:15 | [CMD] Jodor(0) => /vtamir
0:35:16 | [CMD] DarkFlow(18) => /motor
0:35:19 | [CMD] Jodor(0) => /vbenzin
0:35:22 | dostluk(19): los ile baþlýyodu
0:35:26 | Asi_Kaptan(20): Allahdan Icýnden Saglam Cýkmýs ;)
0:35:28 | dostluk(19): aynen
0:35:38 | [CMD] dostluk(19) => /tamir
0:35:38 | huso608(8): lv desin sen su an
0:35:44 | [CMD] huso608(8) => /spec 19
0:35:55 | Asi_Kaptan(20):  Huso Baskan Tamir Caksana Hayrýna ;)
0:36:14 | dostluk(19): evet
0:36:22 | huso608(8): tamir mi o da kim benim bilfigim /tamir var 
0:36:25 | [CMD] huso608(8) => /work
0:36:29 | Asi_Kaptan(20):  :D
0:36:32 | [CMD] huso608(8) => /specoff
0:36:32 | huso608(8) Oduncu olarak spawn oldu.
0:36:38 | XhackerS(9): su telefonu actim kapatamadim ya nasil kapatim
0:36:43 | DarkFlow(18): esc bas
0:36:47 | huso608(8): Esc yap
0:36:54 | [CMD] huso608(8) => /work
0:37:14 | [CMD] DarkFlow(18) => /motor
0:37:15 | [CMD] Jodor(0) => /meslek
0:37:17 | {FFCC00}Jodor(0) Otobus Soforu olarak spawn oldu.
0:37:20 | [CMD] dostluk(19) => /convoy
0:37:21 | [CMD] Jodor(0) => /rescue
0:37:25 | [CMD] DarkFlow(18) => /convoyiptal
0:37:32 | [CMD] XhackerS(9) => /meslek
0:37:33 | Jodor(0): herkes los santosa gelsin
0:37:34 | [CMD] DarkFlow(18) => /karakol
