0:0:3 | [CMD] ScrappeR(7) => /gobus
0:1:1 | [CMD] TEXAST5(8) => /musait 
0:1:3 | {FFCC00}prpreis12(15) {FFFFFF}Kamyoncu olarak spawn oldu.
0:1:4 | [CMD] TEXAST5(8) => /myskin 280 
0:1:7 | TEXAST5(8): tahmin edem 
0:1:10 | [CMD] huso608(13) => /work
0:1:10 | [eN]Overlord(10): id 15 cifyt hesa
0:1:10 | [CMD] ScrappeR(7) => /basarimlar
0:1:10 | [CMD] Strmor31(14) => /spawn
0:1:11 | TEXAST5(8): evo beni ahýrladý 
0:1:13 | [CMD] Fublary3003(12) => /gobus
0:1:13 | prpreis12(15): yardým
0:1:14 | TEXAST5(8): spawnladý 
0:1:14 | [CMD] HeRquL(6) => /a evo attým istek 
0:1:15 | EvoturK(16): moskova yaptý
0:1:16 | Moskova_Kurdu(11) oyundan cIktI (Hata/Crash) (IP: 212.252.70.80)
0:1:17 | TEXAST5(8): tekrar çekti 
0:1:18 | [CMD] ScrappeR(7) => /basarimlar
0:1:19 | [CMD] Fublary3003(12) => /gobus
0:1:19 | prpreis12(15): ya açýn
0:1:21 | EvoturK(16): texast5 afk dedi
0:1:21 | prpreis12(15): baný
0:1:23 | [LOCAL]Freezer3543(0): Sa
0:1:23 | [CMD] Freezer3543(0) => /l Sa
0:1:23 | EvoturK(16): ne yapmalý dedi
0:1:27 | EvoturK(16): sonra yapacaðýný yaptý
0:1:30 | EvoturK(16): terbiyesiz herif
0:1:30 | prpreis12(15): evo lütfen
0:1:32 | [LOCAL]Konyali42(18): as
0:1:32 | [CMD] Konyali42(18) => /l as
0:1:32 | EvoturK(16): ben hiç yapar mýyým
0:1:35 | [CMD] TEXAST5(8) => /plane 
0:1:36 | [CMD] EvoturK(16) => /setlevel 16 7
0:1:38 | prpreis12(15): affet
0:1:39 | [KICK] EvoturK(16), prpreis12(15)'i sunucudan attý. Sebep: heasbýnla gir
0:1:39 | [CMD] EvoturK(16) => /kick 15 heasbýnla gir
0:1:39 | prpreis12(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:1:42 | EvoturK(16): afsaf
0:1:42 | [CMD] ScrappeR(7) => /meslek
0:1:44 | huso608(13): :D
0:1:45 | [eN]Overlord(10): afsaf
0:1:46 | TEXAST5 HeRquL'i öldürdü. Oldurme Sekli: 51
0:1:47 | xqHost(11) oyuna girdi [IP: 176.33.167.164]
0:1:48 | EvoturK(16): biraz da buna trollük
0:1:49 | [LOCAL]Freezer3543(0): Sa
0:1:49 | [CMD] Freezer3543(0) => /l Sa
0:1:50 | [SirketCHT] Konyali42(18): ! .d
0:1:50 | {FFCC00}HeRquL(6) {FFFFFF}Pilot olarak spawn oldu.
0:1:51 | [CMD] HeRquL(6) => /god
0:1:53 | [CMD] TEXAST5(8) => /cleanupcars 
0:1:54 | [CMD] Freezer3543(0) => /tamir
0:1:54 | [CMD] HeRquL(6) => /goto evo
0:1:58 | [eN]Overlord(10): TrollerLord
0:1:59 | [CMD] TEXAST5(8) => /god 
0:1:59 | [CMD] TEXAST5(8) => /god 
0:2:2 | 
0:2:5 | [CMD] ScrappeR(7) => /meslek
0:2:5 | {FFCC00}xqHost(11) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:6 | [eN]Overlord(10): evo
0:2:7 | [CMD] xqHost(11) => /sa
0:2:9 | [CMD] [eN]Overlord(10) => /as
0:2:10 | [CMD] xqHost(11) => /gobus
0:2:11 | agareis150(15) oyuna girdi [IP: 78.190.160.226]
0:2:11 | EvoturK(16): evet
0:2:11 | [CMD] ASLANBEY(9) => /as
0:2:11 | agareis150(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:2:11 | [CMD] huso608(13) => /as
0:2:11 | [CMD] EvoturK(16) => /as
0:2:16 | [CMD] ScrappeR(7) => /as
0:2:16 | xqHost(11): fublary
0:2:18 | [CMD] TEXAST5(8) => /as 
0:2:19 | [CMD] Fublary3003(12) => /gobus?
0:2:21 | Fublary3003(12): ?
0:2:21 | ScrappeR(7): kargocu ortak olacak varmý
0:2:23 | xqHost(11): þirkete gel
0:2:24 | Freezer3543(0): La 
0:2:25 | [SirketCHT] Konyali42(18): ! :D
0:2:28 | Freezer3543(0): Aslanýn arabasý bu :D
0:2:30 | Freezer3543(0): Aslan cek
0:2:32 | ScrappeR(7): ne ödülü
0:2:32 | Freezer3543(0): Arabayý cek
0:2:35 | [CMD] ASLANBEY(9) => /araba
0:2:37 | HeRquL(6): jaho ile ezhel birbirine girmiþ twitter da
0:2:38 | xqHost(11): þirkete gel ceza kes fublary
0:2:38 | [SirketCHT] Konyali42(18): ! suya attim freezer i ;D
0:2:40 | [ANTIHACK] Þüpheli Freezer3543(0) => Airbreak-hack
0:2:43 | EvoturK(16): ea
0:2:43 | Fublary3003(12): bekle
0:2:45 | Freezer3543(0): Adamsýn 
0:2:47 | [CMD] huso608(13) => /spec 0
0:2:48 | yatrolno(15) oyuna girdi [IP: 78.190.160.226]
0:2:52 | [CMD] Freezer3543(0) => /tamir
0:2:53 | [KICK] TEXAST5(8), yatrolno(15)'i sunucudan attý. Sebep: banlýsýn 
0:2:53 | [CMD] TEXAST5(8) => /kick 15 banlýsýn 
0:2:53 | yatrolno(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:2:55 | [SirketCHT] ASLANBEY(9): !dikkatli sür
0:2:57 | [CMD] huso608(13) => /specoff
0:2:57 | huso608(13) Oduncu olarak spawn oldu.
0:3:0 | [CMD] TEXAST5(8) => /bangor agareis150
0:3:1 | [CMD] huso608(13) => /sac
0:3:3 | [SirketCHT] ASLANBEY(9): !görev engelleme
0:3:3 | [CMD] TEXAST5(8) => /A A:Daw 
0:3:9 | [CMD] huso608(13) => /work
0:3:9 | [CMD] TEXAST5(8) => /A ahýrdan kaçmak yasaktýr A:WDa 
0:3:10 | [eN]Overlord(10): evo
0:3:11 | [eN]Overlord(10): durun
0:3:12 | ScrappeR(7): kargocu ortak olacak varmý beyler
0:3:14 | [eN]Overlord(10): adam kayýt olsun öyle atýn
0:3:18 | [eN]Overlord(10): bari sunucuya user gelsin
0:3:22 | EvoturK(16): veritabanýna yük biniyor afa
0:3:23 | [eN]Overlord(10): user sayýsý artsýn yani asdkj
0:3:25 | TEXAST5(8): A:WDa 
0:3:25 | EvoturK(16): gereksiz
0:3:30 | xqHost(11): kardeþ 2dk ceza kesip gidicen neyi bekletiyosun
0:3:30 | [CMD] Freezer3543(0) => /tamir
0:3:31 | TEXAST5(8): veya ahýra atsýn 
0:3:35 | [CMD] ScrappeR(7) => /kemer
0:3:36 | [CMD] ScrappeR(7) => /modifiye
0:3:40 | [CMD] TEXAST5(8) => /plane 
0:3:42 | [CMD] huso608(13) => /spec 13
0:3:43 | [CMD] Freezer3543(0) => /tamir
0:3:46 | [CMD] huso608(13) => /spec 13
0:3:46 | [SirketCHT] Konyali42(18): ! :D
0:3:49 | [eN]Overlord(10): @14 caným
0:3:52 | [CMD] huso608(13) => /spec 12
0:3:52 | [eN]Overlord(10): hesabýnla gir
0:3:56 | [CMD] ScrappeR(7) => /work
0:3:57 | [CMD] [eN]Overlord(10) => /basarimlar
0:4:5 | [eN]Overlord(10): sunucuda 90 saatim olmuþ la
0:4:11 | [CMD] HeRquL(6) => /ogorev 10 
0:4:13 | [eN]Overlord(10): 3 ay önce net gitmeyeydi
0:4:15 | [CMD] Freezer3543(0) => /tamir
0:4:16 | [CMD] TEXAST5(8) => /cleanupcars 
0:4:17 | [eN]Overlord(10): kim bilir þimdi çeviktim
0:4:20 | [CMD] TEXAST5(8) => /aka 14 
0:4:21 | [CMD] huso608(13) => /specoff
0:4:21 | huso608(13) Oduncu olarak spawn oldu.
0:4:23 | [CMD] TEXAST5(8) => /plane 
0:4:27 | [CMD] Freezer3543(0) => /tamir
0:4:29 | [CMD] Freezer3543(0) => /tamir
0:4:31 | [SirketCHT] Konyali42(18): ! :Dd
0:4:38 | ndnevoabi(15) oyuna girdi [IP: 78.190.160.226]
0:4:43 | [CMD] TEXAST5(8) => /atamir 
0:4:43 | [SirketCHT] Freezer3543(0): ! zaa
0:4:47 | [CMD] huso608(13) => /work
0:4:48 | [KICK] TEXAST5(8), ndnevoabi(15)'i sunucudan attý. Sebep: banlýsýn 
0:4:48 | [CMD] TEXAST5(8) => /kick 15 banlýsýn 
0:4:48 | {FFCC00}ndnevoabi(15) {FFFFFF}Kamyoncu olarak spawn oldu.
0:4:48 | ndnevoabi(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:4:49 | [CMD] Fublary3003(12) => /rescue
0:4:55 | Fublary3003(12): xqhost
0:5:0 | Fublary3003(12): þirketeyim
0:5:0 | [SirketCHT] Freezer3543(0): ! zaa
0:5:1 | xqHost(11): gelme gelme ödedik cezayý
0:5:2 | Fublary3003(12): gel
0:5:4 | [CMD] xqHost(11) => /cezaode
0:5:4 | [CMD] Freezer3543(0) => /tamir
0:5:7 | [CMD] xqHost(11) => /cezaode
0:5:11 | EvoturK(16): asfaf
0:5:15 | [CMD] EvoturK(16) => /unban agareis150
0:5:16 | EvoturK(16): afaf
0:5:19 | [eN]Overlord(10): afad
0:5:19 | [CMD] EvoturK(16) => /setlevel 16 0
0:5:21 | xqHost(11): neyse sana kestirim :Dw
0:5:22 | [CMD] Konyali42(18) => /tamir
0:5:24 | [CMD] xqHost(11) => /sirket
0:5:26 | EvoturK(16): bugün iyi trolledik he
0:5:27 | [CMD] xqHost(11) => /rescue
0:5:31 | TEXAST5(8) Mafya olarak spawn oldu.
0:5:32 | [SirketCHT] Konyali42(18): ! sirtkettenat 12 :Dw
0:5:33 | [CMD] EvoturK(16) => /setskin 6 140
0:5:33 | [eN]Overlord(10): eline s.
0:5:35 | [CMD] EvoturK(16) => /saril
0:5:35 | [eN]Overlord(10): saðlýk
0:5:35 | [CMD] EvoturK(16) => /saril
0:5:36 | EvoturK(16): þþh
0:5:37 | [eN]Overlord(10): es
0:5:37 | [CMD] TEXAST5(8) => /goto 16 
0:5:40 | EvoturK(16): herqul afk
0:5:41 | [eN]Overlord(10): la vallwa
0:5:42 | [CMD] TEXAST5(8) => /myskin 280 
0:5:42 | [CMD] EvoturK(16) => /saril
0:5:44 | [CMD] EvoturK(16) => /saril
0:5:47 | [eN]Overlord(10): hehehheh
0:5:50 | [CMD] TEXAST5(8) => /adminol 
0:5:51 | TEXAST5(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:53 | xqHost(11): ßß
0:5:53 | EvoturK(16): öhm
0:5:53 | huso608(13): ßß
0:5:56 | [CMD] EvoturK(16) => /setscore 6 120
0:6:0 | [CMD] xqHost(11) => /meslek
0:6:1 | {FFCC00}xqHost(11) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:6:7 | [CMD] xqHost(11) => /gobus
0:6:10 | EvoturK(16): crash yiyecek galiba
0:6:14 | [eN]Overlord(10): parasýný 31 yap
0:6:18 | [CMD] EvoturK(16) => /setscore 6 120
0:6:19 | HeRquL(6): aa skorum
0:6:20 | [CMD] ScrappeR(7) => /rankla
0:6:21 | [CMD] huso608(13) => /dtemizle
0:6:22 | EvoturK(16): buga girmiþ pü
0:6:24 | [CMD] ScrappeR(7) => /ranklar
0:6:26 | [eN]Overlord(10): Flash TV
0:6:27 | [CMD] huso608(13) => /rescue
0:6:28 | EvoturK(16): la
0:6:31 | EvoturK(16): skorunu düþürmüþüm sadamýn asfa
0:6:33 | Konyali42(18): g.o. herqul
0:6:35 | HeRquL(6): evo flash tv oyunculuk bile daha iyi
0:6:39 | [CMD] Freezer3543(0) => /tamir
0:6:40 | EvoturK(16): bekle asfas
0:6:44 | [CMD] huso608(13) => /odunsat
0:6:47 | [eN]Overlord(10): kaç skoru vardý la
0:6:53 | Konyali42(18): 31k
0:6:57 | HeRquL(6): 12k ver yeter
0:7:0 | HeRquL(6): düz hesap
0:7:1 | [eN]Overlord(10): yuh
0:7:2 | [CMD] Fublary3003(12) => /Araba
0:7:5 | [CMD] huso608(13) => /work
0:7:7 | [eN]Overlord(10): tamam 3k varmý
0:7:10 | [CMD] huso608(13) => /work
0:7:10 | Freezer3543(0): @12 :D
0:7:17 | Fublary3003(12): :D
0:7:30 | [CMD] HeRquL(6) => /sigara2
0:7:52 | [CMD] Fublary3003(12) => /araba
0:7:53 | [eN]Overlord(10): overlok makinesi ayaðýnýza geldi ayaðýnýz kýrýldý h.o ücret 999m
0:7:57 | [CMD] EvoturK(16) => /setscore 6 12000
0:8:1 | [eN]Overlord(10): tedavi et!
0:8:3 | [CMD] EvoturK(16) => /setskin 6 120
0:8:4 | [CMD] Freezer3543(0) => /tamir
0:8:5 | EvoturK(16): afsaf
0:8:5 | HeRquL(6): eyv
0:8:8 | EvoturK(16): setskin yerine setscore yazmýþým asfa
0:8:10 | [eN]Overlord(10): lan o kadar skoru yoktu
0:8:23 | ScrappeR(7): kargocu ortak olacak varmý
0:8:25 | [eN]Overlord(10): e benimkinide düz hesap 4k yap o zaman
0:8:32 | huso608(13): @10 baskan bak kendiniz saka arasý nicklerinizi kullanyorsunuz sonra baskalarý soyleyince foruma konu acýyorsunuz
0:8:32 | [CMD] Strmor31(14) => /work
0:8:34 | HeRquL(6): log veya veritabaný bakýyor .DFa.d
0:8:35 | [CMD] Freezer3543(0) => /tamir
0:8:39 | huso608(13): dikkat edelim bolye durumlara
0:8:50 | huso608(13): dikkat edelim boyle durumlara
0:8:54 | [CMD] ScrappeR(7) => /work
0:8:54 | [CMD] huso608(13) => /work
0:8:58 | [eN]Overlord(10): yok yok
0:9:2 | agareis150(8) oyuna girdi [IP: 78.190.160.226]
0:9:11 | [eN]Overlord(10): amacým o edðil
0:9:12 | 
0:9:14 | huso608(13): ben soyleyeyeyim de sizlerin bi kosenizde bulunsun
0:9:15 | 
0:9:16 | [CMD] HeRquL(6) => /pcc
0:9:19 | [CMD] agareis150(8) => /oh þükür
0:9:22 | [CMD] agareis150(8) => /sa
0:9:25 | [CMD] Fublary3003(12) => /as
0:9:25 | [CMD] ScrappeR(7) => /as
0:9:25 | [CMD] Konyali42(18) => /as
0:9:25 | agareis150(8): þükür
0:9:33 | [CMD] EvoturK(16) => /as
0:9:33 | [CMD] huso608(13) => /as
0:9:33 | [eN]Overlord(10): @8 þükür namazý kýl
0:9:35 | [CMD] Fublary3003(12) => /meslek
0:9:38 | 
0:9:38 | agareis150(8): evo abi neden banladýn ki
0:9:44 | [CMD] Fublary3003(12) => /meslek
0:9:46 | EvoturK(16): ahýrdan kaçmak tehlikeli ve yasaktýr
0:9:47 | Fublary3003(12) Pizzaci olarak spawn oldu.
0:9:49 | [LOCAL]HeRquL(6): kalcak mý ona gore ss alcam
0:9:49 | [CMD] HeRquL(6) => /l kalcak mý ona gore ss alcam
0:9:53 | agareis150(8): tm be bas ahýrý
0:9:55 | [LOCAL]EvoturK(16): kaçtý skorun la
0:9:55 | [CMD] EvoturK(16) => /l kaçtý skorun la
0:9:59 | Konyali42(18): ula tam ben yaziyordum aynisini :Dw
0:9:59 | [eN]Overlord(10): doldur be ahýrcý
0:10:0 | [CMD] HeRquL(6) => /a 12k ya yakýn
0:10:6 | [CMD] EvoturK(16) => /setscore 6 12000
0:10:13 | [CMD] EvoturK(16) => /setscore 6 11900
0:10:17 | [CMD] EvoturK(16) => /setscore 6 11756
0:10:18 | agareis150(8): hadi evo baba bas ozmn ahýrý
0:10:21 | [LOCAL]EvoturK(16): heh iyi böyle :D
0:10:21 | [CMD] EvoturK(16) => /l heh iyi böyle :D
0:10:28 | [CMD] HeRquL(6) => /a aayn iyi bu .D eyv
0:10:29 | [LOCAL]Freezer3543(0): Önden kýrayým dedim :D
0:10:29 | [CMD] Freezer3543(0) => /l Önden kýrayým dedim :D
0:10:30 | [eN]Overlord(10): xq
0:10:32 | agareis150(8): istediðini yap
0:10:33 | [CMD] Freezer3543(0) => /tamir
0:10:37 | [eN]Overlord(10): harbpoour
0:10:40 | Fublary3003(12): gecengün saçýmý tararken mermim bitti
0:10:41 | agareis150(8): evo baba
0:10:42 | EvoturK(16): artýk onun keyfi kalmadý
0:10:43 | Fublary3003(12): .d
0:10:43 | [eN]Overlord(10): harb poolday
0:10:43 | [SirketCHT] ASLANBEY(9): !frezer arabayla takip edeceðine týr al görev yap ayný yol :D
0:10:45 | agareis150(8): evo baba
0:10:47 | [LOCAL]HeRquL(6): steam kabul eddrsinr 
0:10:47 | [CMD] HeRquL(6) => /l steam kabul eddrsinr 
0:10:48 | EvoturK(16): evet
0:10:49 | [CMD] huso608(13) => /work
0:10:54 | [eN]Overlord(10): harbourdayým ceza kesina
0:10:54 | agareis150(8): BAS OZMN AHIRI KAÇMIYCAM
0:10:55 | ScrappeR(7): kargocu ortak olacak varmý
0:10:55 | [SirketCHT] Freezer3543(0): ! Dogru la ama boswer :D
0:10:58 | agareis150(8): pardon
0:11:0 | EvoturK(16): artýk sana ahýr yasak
0:11:1 | [CMD] EvoturK(16) => /setlevel 16 7
0:11:4 | agareis150(8): ndn
0:11:4 | [CMD] EvoturK(16) => /uyar 8 caps off
0:11:6 | [eN]Overlord(10): ahýr cezasý
0:11:7 | Fublary3003(12): evo 
0:11:9 | EvoturK(16): alamyacam
0:11:16 | [CMD] EvoturK(16) => /unmute 16 .
0:11:16 | EvoturK(16): a
0:11:17 | EvoturK(16): a
0:11:18 | [eN]Overlord(10): kel baþa þimþek tarak
0:11:19 | agareis150(8): ya bas gitsin
0:11:21 | EvoturK(16): evet
0:11:22 | [CMD] huso608(13) => /spec 14
0:11:23 | [CMD] xqHost(11) => /meslek
0:11:25 | 
0:11:25 | EvoturK(16): sana ahýr yok bundan sonra
0:11:26 | agareis150(8): affettirem kendimi sana
0:11:27 | EvoturK(16): ahýr istersen banlarým
0:11:32 | xqHost(11): scrapper
0:11:35 | Freezer3543(0): Aga gecen fýrýnda patates yiyorduk ama fýrýn cok sýcaktý dýsarý cýktýk 
0:11:36 | EvoturK(16): a
0:11:37 | [eN]Overlord(10): evonun þefkatli ahýrlarý
0:11:38 | [CMD] huso608(13) => /a baskan ýd 14
0:11:38 | ScrappeR(7): efendim
0:11:40 | xqHost(11): gel
0:11:42 | agareis150(8): kaçmýycam ama sen bilirsin
0:11:45 | agareis150(8): tm 
0:11:46 | EvoturK(16): kaþýnma
0:11:49 | ScrappeR(7): ;
0:11:49 | [CMD] HeRquL(6) => /aka 14 
0:11:51 | [CMD] ScrappeR(7) => /work
0:11:51 | agareis150(8): özür
0:11:51 | [CMD] EvoturK(16) => /restart
0:11:53 | [CMD] EvoturK(16) => /restart 10
0:11:54 | ASLANBEY(9): frezer kötü espri ahýr sebebi
0:11:54 | Freezer3543(0): Aga gecen fýrýnda patates yiyorduk ama fýrýn cok sýcaktý dýsarý cýktýk 
0:11:55 | [CMD] EvoturK(16) => /bakim
0:11:55 | Fublary3003(12): evo sen patatesi tuzluyarakmý yiyon
0:11:57 | [CMD] EvoturK(16) => /sunucukilitle
0:12:0 | [eN]Overlord(10): EvoSev'de lösemi 
0:12:4 | EvoturK(16): tuzlumayarak yiyorum
0:12:6 | [SirketCHT] ASLANBEY(9): !konyalý hýzlo
0:12:8 | [CMD] Freezer3543(0) => /tamir
0:12:9 | [SirketCHT] ASLANBEY(9): !konyalý hýzlý
0:12:10 | [eN]Overlord(10): EvoSev'de lösemi hastalarý barýnýr.
0:12:10 | agareis150(8): öff
0:12:17 | Strmor31(14) Yol Iscisi olarak spawn oldu.
0:12:18 | EvoturK(16): bonus görev þeysine res geliyor
0:12:19 | [eN]Overlord(10): evo bakýma alma
0:12:20 | EvoturK(16): þeysi
0:12:21 | Fublary3003(12): ekþi deðil ozman benimki .d
0:12:22 | [CMD] EvoturK(16) => /setlevel 16 0
0:12:24 | [eN]Overlord(10): yapma ya
0:12:25 | [CMD] huso608(13) => /a baskan ýd 14
0:12:26 | EvoturK(16): görev almayýn
0:12:28 | ASLANBEY(9): id 10 yol aç
0:12:31 | [CMD] Strmor31(14) => /work
0:12:32 | EvoturK(16): bonus görev kalkmýyor diye
0:12:33 | agareis150(8): keþke ahýrdan kaçmasaydým
0:12:36 | EvoturK(16): sen demiyor muydun asfsa
0:12:38 | EvoturK(16): kalkmýyormuþ
0:12:40 | EvoturK(16): demedin mi
0:12:43 | HeRquL(6): kalkar
0:12:46 | EvoturK(16): asfasf
0:12:51 | [CMD] [eN]Overlord(10) => /c konvoyu kapat
0:12:53 | [CMD] huso608(13) => /specoff
0:12:54 | huso608(13) Oduncu olarak spawn oldu.
0:12:54 | [CMD] [eN]Overlord(10) => /C sunucu reslencek
0:12:56 | [CMD] huso608(13) => /work
0:12:57 | [CMD] [eN]Overlord(10) => /C yetiþemeyiz
0:13:0 | [eN]Overlord(10): evo
0:13:1 | agareis150(8): evo baba hapisten çýkaraydýn bari
0:13:4 | [CMD] Konyali42(18) => /gobus
0:13:5 | Fublary3003(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:13:5 | [CMD] ASLANBEY(9) => /convoyiptal
0:13:7 | [eN]Overlord(10): bonus görevi sonraya hallet ya
0:13:11 | agareis150(8): bi konu açtýydýk
0:13:11 | [CMD] EvoturK(16) => /jail 8 1 .
0:13:12 | [CMD] Freezer3543(0) => /tamir
0:13:13 | [CMD] [eN]Overlord(10) => /gobus
0:13:14 | 
0:13:15 | [CMD] Konyali42(18) => /icerigir
0:13:16 | [CMD] [eN]Overlord(10) => /araba
0:13:19 | [CMD] Konyali42(18) => /isyerimenu
0:13:22 | agareis150(8): heh sonunda
0:13:26 | [CMD] Konyali42(18) => /isyerimenu
0:13:26 | [CMD] [eN]Overlord(10) => /kemer
0:13:28 | EvoturK(16): bak hemen þikayet açmýþ foruma
0:13:29 | [CMD] Konyali42(18) => /gobus
0:13:32 | [eN]Overlord(10): who
0:13:33 | [CMD] Konyali42(18) => /icerigir
0:13:34 | [CMD] Konyali42(18) => /isyerimenu
0:13:36 | EvoturK(16): agareixs
0:13:37 | [CMD] Konyali42(18) => /gobus
0:13:38 | [CMD] ASLANBEY(9) => /araba
0:13:40 | agareis150(8): napýyým gerçek sandým
0:13:40 | [CMD] Konyali42(18) => /isyerimenu
0:13:41 | [eN]Overlord(10): reixs
0:13:44 | [eN]Overlord(10): sil onuü
0:13:44 | [CMD] Konyali42(18) => /icerigir
0:13:46 | [CMD] Konyali42(18) => /isyerimenu
0:13:47 | [CMD] ASLANBEY(9) => /gobus
0:13:49 | [CMD] Konyali42(18) => /isyerimenu
0:13:50 | agareis150(8): nasýl siliniyo
0:13:51 | EvoturK(16): þikayet konusunun
0:13:52 | [CMD] Konyali42(18) => /gobus
0:13:52 | EvoturK(16): hakkýný verek
0:13:53 | EvoturK(16): hehehe
0:13:56 | [CMD] ASLANBEY(9) => /rescue
0:13:57 | [eN]Overlord(10): aynen
0:13:58 | [CMD] Freezer3543(0) => /tamir
0:13:58 | EvoturK(16): tekrar banlayam
0:13:59 | [eN]Overlord(10): ver hakkýný
0:14:0 | EvoturK(16): þikayetin sonuçlanýnca
0:14:1 | agareis150(8): hayýr
0:14:2 | EvoturK(16): gelirsin servera
0:14:2 | [eN]Overlord(10): muhahaha
0:14:3 | EvoturK(16): hehehe
0:14:5 | [eN]Overlord(10): muhahahah
0:14:7 | agareis150(8): yapma nolur
0:14:13 | [eN]Overlord(10): yap
0:14:14 | [CMD] ASLANBEY(9) => /srespawncars
0:14:14 | agareis150(8): siliyom hemen
0:14:16 | ScrappeR(7): beyler 1 2m atabilecek varmý
0:14:16 | [eN]Overlord(10): yap diyenler köz yazsýn
0:14:18 | [eN]Overlord(10): köz
0:14:20 | Freezer3543(0): Köz
0:14:21 | [CMD] [eN]Overlord(10) => /kemer
0:14:21 | (BANKA) Konyali42(18) 1447 nolu banka hesabina 5000000$ yatirdi.
0:14:22 | Freezer3543(0): :D
0:14:27 | [CMD] Freezer3543(0) => /tamir
0:14:35 | [eN]Overlord(10): közcü wins
0:14:38 | [CMD] Konyali42(18) => /rescue
0:14:40 | [CMD] ASLANBEY(9) => /sirket
0:14:40 | agareis150(8): siliyom konuyu
0:14:42 | Freezer3543(0): Fatality
0:14:44 | HeRquL(6): yanmayan köz yapmýþlar
0:14:45 | Freezer3543(0): :D
0:14:49 | [CMD] huso608(13) => /work
0:14:56 | EvoturK(16): hay közünüze :D
0:14:59 | [SirketCHT] Freezer3543(0): ! :D
0:15:2 | [CMD] Freezer3543(0) => /tamir
0:15:5 | agareis150(8): sildim evo baba
0:15:6 | [CMD] ASLANBEY(9) => /arba
0:15:9 | agareis150(8): bakabilirsin
0:15:10 | [CMD] ASLANBEY(9) => /araba
