0:0:2 | TunlordBeyWT(6): neyse biter þimdi
0:8:46 | [CMD] nik0tin(13) => /a yük 10 ton 
0:8:52 | Konyali42(11): yuh :D
0:9:5 | [CMD] nik0tin(13) => /a rizeden istanbula araba boþalýp doluyor 
0:9:14 | [CMD] huso608(0) => /a guzel
0:9:18 | ASLANBEY(10): 10k skorda ne oluyor ki
0:9:30 | [CMD] HeRquL(19) => /a týrcýlýkta güzel
0:9:33 | [CMD] nik0tin(13) => /a kendi memlektimin kendi otonüsünde 
0:9:34 | [CMD] HeRquL(19) => /a ama þehir içi
0:9:35 | [TLT]Ahmet(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:9:58 | [CMD] nik0tin(13) => /a týr þehir içinde ne yapsýn 
0:10:2 | [CMD] HeRquL(19) => /fuel
0:10:12 | [CMD] HeRquL(19) => /a petrol tankeri falan
0:10:13 | [CMD] nik0tin(13) => /a iran týrcýlarý iyi para kanýrtýyo 
0:10:21 | [CMD] nik0tin(13) => /a onlar maaþlý 
0:10:23 | sezzer(9): hiçbiþe
0:10:28 | [CMD] HeRquL(19) => /a maaþlý daha iyi
0:10:44 | [CMD] nik0tin(13) => /a volvo 460 çekmiþ basýyo 120 140 bi radarada girse ceza yemiyor 
0:10:44 | [CMD] HeRquL(19) => /a diðer týrcýlara 3k para veriyo ne çýkarabilirsen su yemek mazot senden o k dan
0:10:57 | [CMD] nik0tin(13) => /a depo parasýnýn 2 katý 
0:11:6 | [CMD] nik0tin(13) => /a bizde travego var 2011 
0:11:14 | [CMD] nik0tin(13) => /a bilet 60 tl 
0:11:18 | [CMD] HeRquL(19) => /a hmm
0:11:21 | [CMD] nik0tin(13) => /a 46 paket gitse 
0:11:23 | [CMD] HeRquL(19) => /a kek veriyon mu
0:11:29 | [CMD] nik0tin(13) => /a veriyom :D 
0:11:45 | [CMD] ASLANBEY(10) => /c en geride bilin bakým kim var :d
0:11:47 | [CMD] nik0tin(13) => /a pepsi fanta meyve suyu kek var dilim diye :D 
0:11:53 | [CMD] Konyali42(11) => /c herqul
0:11:53 | [CMD] HeRquL(19) => /a ohh
0:11:56 | [CMD] nik0tin(13) => /a çay nescafe var 
0:11:57 | [CMD] huso608(0) => /fuel
0:11:58 | [CMD] ASLANBEY(10) => /c :d
0:12:1 | [CMD] HeRquL(19) => /c :D
0:12:5 | [CMD] nik0tin(13) => /a ama kaptan beye 
0:12:12 | [CMD] Konyali42(11) => /c bu soruyu bilmeyeni s... :d
0:12:16 | [CMD] nik0tin(13) => /a özel kahve var 
0:12:17 | [CMD] ASLANBEY(10) => /gc burdan konyalýya selam olsun 
0:12:21 | [CMD] HeRquL(19) => /a vaybe
0:12:29 | [CMD] sezzer(9) => /c konyali
0:12:30 | [CMD] nik0tin(13) => /a yapýyom öne geçiyom 
0:12:33 | [CMD] Konyali42(11) => /c ivit
0:12:36 | [CMD] sezzer(9) => /c sana geliþmiþ chatten selam var
0:12:38 | [CMD] HeRquL(19) => /t konyalý konyanýn neresinden sin
0:12:42 | [CMD] nik0tin(13) => /a içeri karanlýk radyo çalýyor damar 
0:12:45 | [CMD] ASLANBEY(10) => /c :D
0:12:51 | [CMD] Konyali42(11) => /t derebucak
0:12:53 | [CMD] nik0tin(13) => /a yolcular 1 2 3 4 uyanýk 
0:12:55 | [CMD] HeRquL(19) => /t bende selçuk
0:12:56 | [CMD] Konyali42(11) => /c gelismis ? :D
0:13:6 | [CMD] nik0tin(13) => /a þerit sayýyoz 
0:13:8 | [CMD] Konyali42(11) => /t espri mi  yaptin sen simdi
0:13:15 | [CMD] HeRquL(19) => /a .D
0:13:16 | [CMD] sezzer(9) => /c 5 k ve üstüler görebiliyo sadece
0:13:18 | [CMD] huso608(0) => /c 5 k skordan sonra konusuyorsun
0:13:20 | [CMD] HeRquL(19) => /t yo ciddiyim
0:13:25 | [CMD] nik0tin(13) => /a gece 2 15 gibi boluya damlarýz tesise girmeden yakarým ýþýðý 
0:13:30 | [CMD] HeRquL(19) => /a bizim köken oraya dayalý
0:13:35 | [CMD] Konyali42(11) => /c ordakinlere selam söyleyin :d
0:13:35 | [CMD] nik0tin(13) => /a mikrofonu aç anons 
0:13:36 | [CMD] HeRquL(19) => /t bizim köken oraya dayalý
0:13:45 | [CMD] HeRquL(19) => /a :D
0:13:49 | [CMD] ASLANBEY(10) => /c as
0:13:51 | [CMD] nik0tin(13) => /a bolu diyorum kaynaþlý 
0:13:52 | [CMD] Konyali42(11) => /t hmm
0:13:56 | [CMD] Konyali42(11) => /c komut ne
0:14:1 | [CMD] nik0tin(13) => /a sonra giriyom tesise 
0:14:3 | [CMD] huso608(0) => /c /gc
0:14:6 | [CMD] Konyali42(11) => /gc
0:14:6 | [CMD] nik0tin(13) => /a balyozu alýyom :D 
0:14:12 | [CMD] HeRquL(19) => /a .SDA:a
0:14:18 | [CMD] nik0tin(13) => /a teker vuruyorum 
0:14:25 | [CMD] nik0tin(13) => /a havaya bakýyom 
0:14:33 | [CMD] nik0tin(13) => /a yada sigara yakýyoz arkada 
0:14:37 | Konyali42(11): ben 5k olunca onu 10k ya yükseltirler :d
0:14:41 | ASLANBEY(10): ÇD
0:14:42 | [CMD] nik0tin(13) => /a yada beleþ at eti yemeye .D 
0:14:43 | ASLANBEY(10): :D
0:14:43 | [CMD] sezzer(9) => /c ben bitirdim
0:14:53 | [CMD] Konyali42(11) => /c sezer face bak
0:14:55 | [CMD] HeRquL(19) => /A .D ama uyku probblemi olmuyomu
0:14:57 | [CMD] nik0tin(13) => /a gitcekken anons gelmeden oturuyom koltuða :D 
0:15:2 | [CMD] sezzer(9) => /c bakýyom
0:15:4 | [CMD] nik0tin(13) => /a marþa basýyorum 
0:15:11 | [CMD] nik0tin(13) => /a harharhar çalýþýyor :D 
0:15:22 | [CMD] nik0tin(13) => /a kýzlar bakýyor :D 
0:15:27 | [CMD] HeRquL(19) => /a :d
0:15:35 | [CMD] Konyali42(11) => /tamir
0:15:37 | [CMD] nik0tin(13) => /a sonra biniyolar direk 
0:15:39 | [CMD] HeRquL(19) => /atamir
0:15:41 | [CMD] nik0tin(13) => /a sonra gel gel 
0:15:45 | [CMD] nik0tin(13) => /a çekiyon 
0:15:50 | [CMD] DarkFlow(15) => /tamir
0:16:4 | [CMD] nik0tin(13) => /a bolu daðýný çýkýyoz arkaya gidiyom hiltona 
0:16:10 | [CMD] HeRquL(19) => /atamir
0:16:27 | [CMD] DarkFlow(15) => /c son anda benzin bitti :D
0:16:30 | [CMD] HeRquL(19) => /a dedeler plaka sormuyomu :Dw
0:16:31 | [CMD] nik0tin(13) => /a kaptan yatýyo bende kapýnýn pencereye yaslanýyom 
0:16:42 | [CMD] huso608(0) => /a soforun en tatlý uyku saati 2 - 3 - 6 dýr
0:16:52 | [CMD] nik0tin(13) => /a 767 diyom :D 
0:16:57 | [CMD] HeRquL(19) => /atamir
0:17:6 | [CMD] nik0tin(13) => /a 3.30 4 sýrasý 
0:17:9 | [CMD] nik0tin(13) => /a uvv 
0:17:11 | [CMD] ASLANBEY(10) => /sirket
0:17:23 | ASLANBEY(10): vip ne güzl biþey
0:17:24 | [CMD] DarkFlow(15) => /motor
0:17:29 | [CMD] nik0tin(13) => /a bi ara sürem dedim 4 30 da benzin alýyoduk :D 
0:17:30 | ASLANBEY(10): demi huso
0:17:43 | huso608(0): aynen
0:17:43 | [CMD] nik0tin(13) => /a cam buðu yaptý sýçtým dedim :D 
0:17:48 | [CMD] HeRquL(19) => /a :d
0:17:49 | ASLANBEY(10): þimdý husoya 1m gelecek Ç:D
0:17:55 | [CMD] huso608(0) => /a bugu onleyicileri acsaydýn
0:17:57 | [CMD] DarkFlow(15) => /sirket
0:17:59 | [CMD] nik0tin(13) => /a çok pis sakt biþey 
0:18:6 | [CMD] ASLANBEY(10) => /vips
0:18:10 | [CMD] ASLANBEY(10) => /výps
0:18:12 | [CMD] HeRquL(19) => /a hele sis varsa
0:18:14 | huso608(0): olsa ne olcak dagýtýyorum parayý
0:18:14 | [CMD] ASLANBEY(10) => /vipler
0:18:18 | [CMD] nik0tin(13) => /a sonradan açtým klimayý vuuv yaptý baya 
0:18:22 | ASLANBEY(10): :D
0:18:26 | [CMD] nik0tin(13) => /a sis etkilemiyoda buðu 
0:18:44 | [CMD] huso608(0) => /a kýragý derler o etkiler
0:18:50 | ASLANBEY(10): kendi zengin gönlü zengin huso
0:18:56 | [CMD] nik0tin(13) => /a sabaha karþý oluyor ya bi soðuk 
0:18:57 | [CMD] ASLANBEY(10) => /work
0:18:59 | [CMD] HeRquL(19) => /convoyayril
0:19:0 | [CMD] DarkFlow(15) => /motor
0:19:4 | [CMD] huso608(0) => /a kýra o
0:19:6 | [CMD] nik0tin(13) => /a bi anda bi daðýn orada bi çakýyo 
0:19:16 | [CMD] ASLANBEY(10) => /tamir
0:19:17 | [CMD] sezzer(9) => /asiriyuk
0:19:19 | [CMD] Konyali42(11) => /asiriyuk
0:19:25 | [CMD] DarkFlow(15) => /asiriyuk
0:19:26 | [CMD] HeRquL(19) => /sirket
0:19:31 | [CMD] huso608(0) => /asiriyuk
0:19:42 | [CMD] ASLANBEY(10) => /asiriyuk
0:19:43 | [CMD] nik0tin(13) => /a otobüs güzelde zor bayaðý 
0:19:44 | [CMD] ASLANBEY(10) => /asiriyuk
0:19:53 | [CMD] huso608(0) => /a manevra olayý zor
0:19:58 | [CMD] HeRquL(19) => /gobus
0:20:5 | [CMD] HeRquL(19) => /icerigir
0:20:10 | [CMD] HeRquL(19) => /isyerimenu
0:20:12 | [CMD] nik0tin(13) => /a heleki otogar :D 
0:20:14 | [CMD] HeRquL(19) => /isyerimenu
0:20:22 | [CMD] HeRquL(19) => /isyerimenu
0:20:25 | [CMD] HeRquL(19) => /gobus
0:20:27 | [CMD] HeRquL(19) => /isyerimenu
0:20:29 | [CMD] HeRquL(19) => /icerigir
0:20:29 | [CMD] huso608(0) => /a 6 ay metro turizm de calýstým
0:20:31 | [CMD] HeRquL(19) => /isyerimenu
0:20:33 | [CMD] HeRquL(19) => /isyerimenu
0:20:39 | [CMD] HeRquL(19) => /gobus
0:20:40 | [CMD] nik0tin(13) => /a nerden nereye 
0:20:44 | [CMD] HeRquL(19) => /icerigir
0:20:48 | [CMD] HeRquL(19) => /isyerimenu
0:20:55 | [CMD] huso608(0) => /a izmir istanbul arasý canakkale
0:20:57 | [CMD] HeRquL(19) => /isyerimenu
0:21:10 | [CMD] nik0tin(13) => /a oranýn yükü olmuyor fazla :D 
0:21:17 | [CMD] HeRquL(19) => /a metro için bi ara biþeyler çýktý ama :D
0:21:18 | [CMD] huso608(0) => /a yolcu fazla
0:21:20 | [CMD] ASLANBEY(10) => /convoykontrol
0:21:31 | [CMD] nik0tin(13) => /a muavin birine attýrmýþ 
0:21:31 | [CMD] huso608(0) => /a cýkarsa cýksýn bana para lazým
0:21:36 | [CMD] HeRquL(19) => /a .D
0:21:38 | [CMD] sezzer(9) => /c benden hýzlýsý mezarda
0:21:38 | [CMD] nik0tin(13) => /a ama düzgünlerde var 
0:21:51 | [CMD] nik0tin(13) => /a hepsi baðlý 
0:21:54 | [CMD] sezzer(9) => /tamir
0:22:9 | [CMD] HeRquL(19) => /a benim anlamadýðým yarrraný mý açmýþ adam kadýnýn üstüne nasýl geliyo
0:22:27 | [CMD] nik0tin(13) => /a kastamonudan çýkýyon bagajda patates peynir turþu ne varsa dolu 
0:22:32 | [CMD] nik0tin(13) => /a /getdorse 
0:22:50 | [CMD] HeRquL(19) => /isyerimenu
0:22:50 | [CMD] huso608(0) => /dorseget 189
0:22:55 | [CMD] huso608(0) => /dorseget 189
0:23:13 | [CMD] HeRquL(19) => /a ben çýkýyom iyi çalýþmalar
0:23:15 | [CMD] HeRquL(19) => /adminol
0:23:16 | [CMD] HeRquL(19) => /adminol
0:23:18 | [CMD] sezzer(9) => /tamir
0:23:18 | HeRquL(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:23:20 | [CMD] nik0tin(13) => /a bb
0:23:20 | ASLANBEY(10): ßß
0:24:45 | [CMD] huso608(0) => /atamir
0:24:46 | [CMD] huso608(0) => /fuel
0:25:54 | memooooo(6) oyuna girdi [IP: 41.45.80.79]
0:25:59 | [CMD] nik0tin(13) => /a aga bende çýkam benim kýz uyu diye baþýmýn etini yedi 
0:26:12 | [CMD] huso608(0) => /a tmm allah rahatlýk versin
0:26:19 | [CMD] nik0tin(13) => /a sana kg iyi bak kendine iyi geceler 
0:26:21 | 
0:26:21 | 
0:26:21 | 
0:26:21 | 
0:26:24 | 
0:26:26 | [CMD] nik0tin(13) => /a saol sanada abi 
0:26:30 | [CMD] nik0tin(13) => /adminol 
0:26:33 | Konyali42(11): bb
0:26:33 | nik0tin(13): ßß
0:26:34 | sezzer(9): bb
0:26:45 | ASLANBEY(10): ßß
0:26:45 | nik0tin(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:26:47 | [KICK] huso608(0), memooooo(6)'i sunucudan attý. Sebep: Nick Degis Gel
0:26:47 | [CMD] huso608(0) => /kick 6 Nick Degis Gel
0:26:47 | memooooo(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:26:58 | memooooo(6) oyuna girdi [IP: 41.45.80.79]
0:27:18 | ASLANBEY(10): bitti mi sezzer
0:27:18 | memooooo(6) oyundan cIktI (Hata/Crash) (IP: 41.45.80.79)
0:27:19 | [CMD] sezzer(9) => /c ben  bitirdim
0:27:20 | ASLANBEY(10): :D
0:27:25 | sezzer(9): nerden anlýyon la
0:27:48 | adri_cheto(6) oyuna girdi [IP: 83.55.149.82]
0:27:52 | sezzer(9): ?
0:28:5 | ASLANBEY(10): hissediyom :d
0:28:22 | {FFCC00}adri_cheto(6) Otobus Soforu olarak spawn oldu.
0:28:24 | adri_cheto(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:28:24 | sezzer(9): harbi knk nerden anlýyon
0:28:32 | ASLANBEY(10): km den
0:28:37 | sezzer(9): haa
0:29:1 | Madness(6) oyuna girdi [IP: 95.10.178.91]
0:29:12 | 
0:29:17 | {FFCC00}Madness(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:29:19 | [CMD] Madness(6) => /sa
0:29:20 | adri_cheto(7) oyuna girdi [IP: 83.55.149.82]
0:29:21 | [CMD] ASLANBEY(10) => /as
0:29:23 | [CMD] sezzer(9) => /as
0:29:24 | [CMD] DarkFlow(15) => /as
0:29:24 | [CMD] huso608(0) => /as
0:29:33 | Konyali42(11): herqul gittiginden en uzak sensin sezer :D
0:29:38 | [CMD] Madness(6) => /convoy
0:29:43 | sezzer(9): :D
0:29:45 | [CMD] Madness(6) => /c convoyn erde geliyom
0:29:47 | [CMD] Madness(6) => /rescue
0:29:51 | [CMD] DarkFlow(15) => /c dock
0:29:56 | 
0:29:56 | [CMD] Konyali42(11) => /c docks
0:29:56 | [CMD] Madness(6) => /c gelürüm
0:30:2 | {FFCC00}adri_cheto(7) Otobus Soforu olarak spawn oldu.
0:30:6 | [CMD] Madness(6) => /kemer
0:30:7 | [CMD] Madness(6) => /modifiye
0:30:15 | [CMD] sezzer(9) => /c dockdayým
0:30:52 | [CMD] sezzer(9) => /c çýkarken haber ver konyali ;)
0:30:58 | [CMD] Konyali42(11) => /c tm
0:30:59 | [CMD] ASLANBEY(10) => /sirket
0:31:10 | adri_cheto(7) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:31:28 | [CMD] Konyali42(11) => /sirket
0:31:45 | [CMD] Konyali42(11) => /c 2 günde yine 5m kasmisim
0:32:13 | [CMD] ASLANBEY(10) => /modifiye
0:32:35 | [CMD] ASLANBEY(10) => /c madnes baþlýyorum arkadan gelirsin basarsýn biraz
0:32:42 | [CMD] Madness(6) => /c okeyy
0:32:42 | [CMD] ASLANBEY(10) => /work
0:32:48 | [CMD] huso608(0) => /atamir
0:32:49 | [CMD] huso608(0) => /fuel
0:32:55 | [CMD] huso608(0) => /kemer
0:32:57 | [CMD] sezzer(9) => /asiriyuk
0:32:57 | [CMD] Konyali42(11) => /asiriyuk
0:32:58 | [CMD] sezzer(9) => /asiriyuk
0:32:59 | [CMD] Konyali42(11) => /asiriyuk
0:33:4 | [CMD] ASLANBEY(10) => /c sezer yetiþtin mi :Dw
0:33:10 | [CMD] huso608(0) => /asiriyuk
0:33:15 | [CMD] DarkFlow(15) => /asiriyuk
0:33:16 | [CMD] ASLANBEY(10) => /asiriyuk
0:33:33 | [CMD] sezzer(9) => /c nereye lo
0:33:40 | [CMD] ASLANBEY(10) => /c harbour :d
0:33:47 | [CMD] DarkFlow(15) => /tamir
0:33:52 | [CMD] sezzer(9) => /c bitirdim :D
0:33:55 | [CMD] Konyali42(11) => /c o coktan  longway yapiyor :D
0:33:56 | [CMD] ASLANBEY(10) => /c :d
0:34:54 | ASLANBEY(10): bu benim son görev
0:35:10 | Konyali42(11): ne ballisin
0:35:12 | Konyali42(11): :d
0:35:17 | ASLANBEY(10): giþe parasý çýktý
0:35:35 | [CMD] Konyali42(11) => /c baskan yanimdan nitroyla olmuyor yani
0:35:46 | [CMD] sezzer(9) => /c :D
0:35:51 | ASLANBEY(10): konvoydan konuþmaya gerek yok
0:35:53 | ASLANBEY(10): :D
