0:0:16 | [CMD] TIRCI(16) => /araba
0:6:28 | {FFCC00}ASLANBEY(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:31 | [CMD] ASLANBEY(12) => /sa
0:6:34 | [CMD] sezzer(19) => /as
0:6:34 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:6:36 | [CMD] ibrahimkk(9) => /asiriyuk
0:6:37 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:6:39 | [CMD] baraodichnl(11) => /as
0:6:41 | [CMD] huso608(7) => /as
0:6:42 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:6:43 | [CMD] sezzer(19) => /work
0:6:46 | [CMD] huso608(7) => /respawncars
0:6:47 | [CMD] huso608(7) => /cantazele
0:6:48 | [LOCAL]baraodichnl(11): sa
0:6:48 | [CMD] baraodichnl(11) => /l sa
0:6:56 | [LOCAL]baraodichnl(11): aga
0:6:56 | [CMD] baraodichnl(11) => /l aga
0:7:22 | [CMD] Yumurta(10) => /goto
0:7:26 | [CMD] Yumurta(10) => /yardim
0:7:26 | {FFCC00}TIRCI(16) {FFFFFF}Pilot olarak spawn oldu.
0:7:26 | [CMD] TIRCI(16) => /admýnol
0:7:26 | Jodor(13) oyuna girdi [IP: 88.244.176.80]
0:7:33 | [CMD] enginaydemir(8) => /yardim
0:7:38 | [CMD] Yumurta(10) => /yardim
0:7:43 | 
0:7:45 | {FFCC00}Jodor(13) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:53 | [CMD] TIRCI(16) => /adminol
0:7:55 | [CMD] TIRCI(16) => /adminol
0:7:56 | huso608(7): ßß
0:7:56 | baraodichnl(11): bb
0:7:56 | ibrahimkk(9): bb
0:7:56 | [CMD] Jodor(13) => /karakol
0:7:56 | [CMD] TIRCI(16) => /adminol
0:7:56 | sezzer(19): bb
0:7:57 | [CMD] TIRCI(16) => /adminol
0:7:57 | [CMD] ASLANBEY(12) => /rapor 11 
0:7:58 | [CMD] TIRCI(16) => /adminolt
0:7:58 | [CMD] TIRCI(16) => /adminolt
0:7:59 | [CMD] TIRCI(16) => /adminolt
0:7:59 | [CMD] TIRCI(16) => /adminolt
0:7:59 | [CMD] TIRCI(16) => /adminolt
0:7:59 | [CMD] TIRCI(16) => /adminoltt
0:8:1 | [CMD] enginaydemir(8) => /yardim
0:8:1 | [CMD] TIRCI(16) => /adminoltt
0:8:2 | [CMD] Jodor(13) => /cezaode
0:8:3 | [CMD] TIRCI(16) => /adminoltt
0:8:9 | [CMD] TIRCI(16) => /adminol
0:8:10 | [CMD] huso608(7) => /uyar 16 Spamlama Yapma
0:8:11 | [CMD] TIRCI(16) => /adminol
0:8:13 | [CMD] baraodichnl(11) => /tamir
0:8:15 | [CMD] ASLANBEY(12) => /rapor 11  þikayetçiyim admin bey bi bak
0:8:16 | ibrahimkk(9): bb
0:8:16 | TIRCI(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:18 | baraodichnl(11): okum cik git
0:8:22 | [CMD] huso608(7) => //spec 11
0:8:26 | [CMD] huso608(7) => /spec 11
0:8:36 | [CMD] enginaydemir(8) => /work
0:8:39 | [CMD] huso608(7) => /pm 11 problem nedir
0:8:43 | [CMD] huso608(7) => /specoff
0:8:43 | {FFCC00}huso608(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:53 | [CMD] baraodichnl(11) => /pm 7 yarim saatir ben ciikiyom diyor cikmiyor
0:8:56 | [CMD] Jodor(13) => /meslek
0:8:59 | Jodor(13) Oduncu olarak spawn oldu.
0:8:59 | [CMD] baraodichnl(11) => /araba
0:9:2 | [CMD] baraodichnl(11) => /banka
0:9:6 | [CMD] Yumurta(10) => /woek
0:9:8 | [CMD] Yumurta(10) => /work
0:9:9 | [CMD] huso608(7) => /pm 11 uyarý yolladým
0:9:15 | [CMD] sametkaan(6) => /meslek
0:9:21 | [CMD] baraodichnl(11) => /pm 7 eee?
0:9:22 | [CMD] Jodor(13) => /balon
0:9:26 | [CMD] sametkaan(6) => /meslek
0:9:29 | [CMD] Jodor(13) => /balon
0:9:30 | ibrahimkk(9): otor calismistir diyo :D
0:9:32 | [CMD] Jodor(13) => /balon
0:9:33 | [CMD] huso608(7) => /pm 11 ee derken
0:9:37 | ibrahimkk(9): bug var
0:9:41 | [CMD] baraodichnl(11) => /pm 7 bana ne ?
0:9:43 | [CMD] sametkaan(6) => /wor
0:9:46 | [CMD] sezzer(19) => /tamir
0:9:47 | [CMD] Jodor(13) => /work
0:9:48 | [CMD] Yumurta(10) => /galeri
0:9:58 | [CMD] ASLANBEY(12) => /basarimlar
0:9:59 | [CMD] sametkaan(6) => /work
0:10:7 | [CMD] huso608(7) => /pm 11 rapor gonderiyorsun sonra bana ne mi diyorsun sen
0:10:9 | [CMD] enginaydemir(8) => /work
0:10:12 | ASLANBEY(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:10:12 | sezzer(19): bara
0:10:18 | [CMD] sezzer(19) => /work
0:10:21 | [CMD] huso608(7) => /pm 11 kiminle konustugunun farkýndasýndýr umarým
0:10:22 | Yumurta(10): admin bakar mýsýn
0:10:23 | [CMD] baraodichnl(11) => /pm 7 ben rapormu gonderdim dikkatli kontrol et
0:10:28 | [CMD] baraodichnl(11) => /pm 7 yoo ?
0:10:39 | sametkaan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:10:48 | enginaydemir(8): kapý açýlmýyor lan
0:10:59 | huso608(7): enter veya f bas
0:11:12 | baraodichnl(11): :DDDD
0:11:12 | sametkaan(6) oyuna girdi [IP: 176.216.234.149]
0:11:22 | [CMD] huso608(7) => /bangr okatar
0:11:24 | baraodichnl(11): wasd le geze bilirsin :D
0:11:26 | [CMD] huso608(7) => /bangor okatar
0:11:33 | [CMD] Jodor(13) => /work
0:11:34 | sezzer(19): aboooo jasghjhgasd
0:11:38 | [CMD] huso608(7) => /bangor KAANSAMET
0:11:39 | [CMD] Jodor(13) => /admins 
0:11:44 | [CMD] baraodichnl(11) => /tamir
0:11:44 | enginaydemir(8): þoförlük yapamýyorum þþu an :D
0:11:48 | 
0:11:52 | enginaydemir(8): giþede kaldým yardým pls
0:11:54 | [CMD] huso608(7) => /spec 8
0:11:56 | {FFCC00}Yumurta(10) Otobus Soforu olarak spawn oldu.
0:11:59 | enginaydemir(8): param yok
0:12:4 | [CMD] huso608(7) => /specoff
0:12:4 | {FFCC00}huso608(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:6 | sezzer(19):  /kurallar yaz kabul et
0:12:7 | baraodichnl(11): ne kadar istersin amcan atsin
0:12:9 | [CMD] Yumurta(10) => /kemer
0:12:9 | huso608(7):   /kurallar
0:12:12 | baraodichnl(11): ne kadar istersin amcan atsin
0:12:13 | [CMD] Yumurta(10) => /work
0:12:21 | [CMD] Yumurta(10) => /kemer
0:12:22 | huso608(7): 30 k para ile 5 skor alýrsýb
0:12:23 | sametkaan(6) oyundan cIktI (Hata/Crash) (IP: 176.216.234.149)
0:12:30 | baraodichnl(11): 8000 parami
0:12:42 | enginaydemir(8): evet
0:12:43 | ibrahimkk(9): 8000m istiyo :D
0:12:44 | baraodichnl(11) enginaydemir(8)'a 154593$ para gönderdi
0:12:44 | [CMD] baraodichnl(11) => /paragonder 8 154593
0:12:56 | baraodichnl(11): 8bin para degil :D
0:12:58 | huso608(7): @8 engin bey /kurallar yazabilirmisiniz
0:13:2 | [KAMYONCU] ibrahimkk, SF Catering LTD'den Las Venturas Mall'e Erzak tasidi. Kazanc: 61525$, 1 Skor ve 5 EXP Sure: 314 Saniye
0:13:7 | baraodichnl(11): para attim
0:13:9 | enginaydemir(8): kardeþim eyvallah zengin oldum asjdhasf
0:13:12 | baraodichnl(11): :D
0:13:13 | thelastsamurai(6) oyuna girdi [IP: 88.230.164.233]
0:13:22 | ibrahimkk(9):  @8 zengin :D
0:13:23 | 
0:13:24 | [CMD] sezzer(19) => /work
0:13:28 | {FFCC00}thelastsamurai(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:13:34 | [CMD] ibrahimkk(9) => /adminol
0:13:35 | [CMD] thelastsamurai(6) => /sa
0:13:36 | enginaydemir(8): espriler falan asdjhasf
0:13:37 | [CMD] ibrahimkk(9) => /adminol
0:13:38 | [CMD] sezzer(19) => /as
0:13:38 | huso608(7): ßß
0:13:40 | [CMD] ibrahimkk(9) => /adminol
0:13:40 | [CMD] huso608(7) => /as
0:13:46 | [CMD] enginaydemir(8) => /kurallar
0:13:47 | ibrahimkk(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:13:51 | [CMD] huso608(7) => /dtemizle
0:13:58 | [CMD] baraodichnl(11) => /pm 6 abi hos geldin
0:14:16 | [CMD] sezzer(19) => /pm 6 kanka 200 k atabilcen mi lazým 
0:14:22 | [CMD] thelastsamurai(6) => /modifiye
0:14:26 | [CMD] Jodor(13) => /work
0:14:30 | baraodichnl(11): Thelastsamurai  serverin en yasli oyuncusu 32 yas  :)
0:14:37 | [CMD] Yumurta(10) => /kemer
0:14:38 | Sarius(9) oyuna girdi [IP: 78.187.56.14]
0:14:46 | baraodichnl(11): :D
0:14:55 | Yumurta(10): Beyler dilenci deðilim yanlýþ anlamayýn yolda kladým varsa bi 100 bin dolar rica edecektim....
0:15:4 | huso608(7): 100 bin mi
0:15:7 | baraodichnl(11): aga atardimda 5 dk var
0:15:14 | huso608(7):  /kurallar yazýn
0:15:16 | Yumurta(10): :D 
0:15:22 | Yumurta(10): Þaka yapýyorum 
0:15:22 | [CMD] enginaydemir(8) => /kurallar
0:15:25 | [CMD] thelastsamurai(6) => /kemer
0:15:33 | huso608(7): @10 /kurallar yazarmýsýn
0:15:40 | [CMD] huso608(7) => /aka 9
0:15:41 | Sarius(9) Yol Iscisi olarak spawn oldu.
0:15:42 | baraodichnl(11): ben saka falan anlamam para istedin parani alacaksin arkades
0:15:43 | Sarius(9) Yol Iscisi olarak spawn oldu.
0:15:43 | [CMD] Yumurta(10) => /kurallar
0:15:56 | sezzer(19): baraod
0:15:59 | sezzer(19): bana at o zaman
0:16:1 | baraodichnl(11): yes :D
0:16:10 | baraodichnl(11): ne kadar:D
0:16:11 | Yumurta(10): madem çok ýsrar ettin :D
0:16:16 | baraodichnl(11): sjsjs:D
0:16:20 | sezzer(19): ne koparsa gönlünden
0:16:22 | [CMD] Jodor(13) => /work
0:16:24 | [CMD] sezzer(19) => /work
0:16:33 | enginaydemir(8): ben hala kapýdan çýkmaya çalýþýyorum :D
0:16:45 | baraodichnl(11): sjsjs
0:16:50 | [CMD] baraodichnl(11) => /paragonder 10 100000
0:16:58 | baraodichnl(11): 5 dakika nie gecmiyor
0:17:3 | sezzer(19): çýk gir yap :D
0:17:7 | [CMD] Yumurta(10) => /kemer
0:17:15 | Yumurta(10): beyler bu antalya otogar nerde ya
0:17:17 | Yumurta(10): :D
0:17:17 | baraodichnl(11): cikip girene kadar zaten 5 dk gecer;D
0:17:22 | sezzer(19): :D
0:17:23 | huso608(7): @10 geliyorum
0:17:28 | sezzer(19): ls de antalya giriþi
0:17:29 | [CMD] huso608(7) => /goreviptal
0:17:34 | [CMD] huso608(7) => /goto 10
0:17:45 | [CMD] huso608(7) => /car bullet 5 5
0:17:45 | baraodichnl(11): piramide tirman yapyom :D
0:17:54 | huso608(7): takip ediniz
0:18:1 | baraodichnl(11): ben kazandim
0:18:5 | [CMD] Jodor(13) => /work
0:18:6 | [CMD] sezzer(19) => /pm 11 þaka maka para lazým kanka az biþeyler atarsýn :D
0:18:13 | [CMD] baraodichnl(11) => /pm 19 tamam bro:D
0:18:18 | [CMD] sezzer(19) => /pm 11 adamsýn
0:18:30 | [CMD] baraodichnl(11) => /paragonder 19 1000000
0:18:36 | sezzer(19): oðlum diyim neden birinci olmadýn diyim
0:18:36 | baraodichnl(11): 5 dk gecse  aticam
0:18:47 | Sancak(12) oyuna girdi [IP: 88.251.31.141]
0:18:48 | sezzer(19): baba diyi baþka çocuklarda vardý okulda diyi
0:18:48 | [CMD] Sarius(9) => /motor
0:18:51 | sezzer(19): aðaðaðaðaaaaa
0:18:53 | baraodichnl(11): :D
0:18:59 | baraodichnl(11): oldum :D
0:19:1 | {FFCC00}baraodichnl(11) {FFFFFF}Kamyoncu olarak spawn oldu.
0:19:3 | 
0:19:21 | baraodichnl(11) sezzer(19)'a 1000000$ para gönderdi
0:19:21 | [CMD] baraodichnl(11) => /paragonder 19 1000000
0:19:31 | [CMD] baraodichnl(11) => /pm 19 hele sukur gecti 5 dk:D
0:19:35 | [CMD] sezzer(19) => /pm 11 adamlýk köþemizde bugün sen varsýn kanka eyw
0:19:44 | [CMD] baraodichnl(11) => /pm 19 ne demek bro :D
0:19:44 | [CMD] sezzer(19) => /work
0:20:0 | [CMD] baraodichnl(11) => /pm 19 instagram varmi
0:20:12 | [CMD] sezzer(19) => /pm 11 sosyal medya yok kanka
0:20:18 | [CMD] sezzer(19) => /pm 11 bi tane çakma face var
0:20:20 | [CMD] baraodichnl(11) => /pm 19 tamam bro
0:20:24 | [CMD] sezzer(19) => /pm 11 o da þirket grubu için
0:20:37 | [CMD] baraodichnl(11) => /pm 19 versene bendede zaten cakma
0:20:39 | [CMD] baraodichnl(11) => /pm 19 :D
0:20:49 | [CMD] sezzer(19) => /pm 11 sezer kadiroðlu pp sinde biþey yok :D
0:20:56 | [CMD] sezzer(19) => /pm 11 bulabilirsen eklersin :D
0:21:10 | enginaydemir(8): ankara nerde
0:21:23 | huso608(7): higway yolu uzerinde
0:21:27 | Yumurta(10): w
0:21:32 | [CMD] Sarius(9) => /motor
0:21:37 | huso608(7): ek mapta
0:21:46 | sezzer(19): oyunda dað varya
0:21:51 | sezzer(19): biliyo musun
0:21:54 | enginaydemir(8): evet
0:22:0 | [CMD] Jodor(13) => /work
0:22:2 | sezzer(19): onun orda sahil varya
0:22:6 | sezzer(19): sarý biyer mapde görürsün
0:22:11 | sezzer(19): orda giriþi
0:22:15 | sezzer(19): tünelin hemen çýkýþýnda
0:22:18 | enginaydemir(8): saðolasýn
0:22:22 | [CMD] huso608(7) => /goto 8
0:22:29 | Sarius(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:22:32 | Yumurta(10): hocam saðolasýn
0:22:33 | sezzer(19): np
0:22:36 | [OTOBUSCU] Yumurta, San Fierro Otogar'den Antalya Otogar'e Yolcu tasidi. Kazanc: 17399$ ve 3 Skor Sure: 497 Saniye
0:22:36 | [CMD] huso608(7) => /atamir
0:22:37 | [CMD] huso608(7) => /fuel
0:22:49 | huso608(7): @10 Rica Ederim
0:22:52 | [CMD] Yumurta(10) => /work
0:23:0 | [CMD] sezzer(19) => /tamir
0:23:14 | [CMD] sezzer(19) => /work
0:23:16 | [CMD] Jodor(13) => /sirket 
0:23:26 | [CMD] sezzer(19) => /tamir
0:23:31 | [CMD] baraodichnl(11) => /pm 19 kanka sen eklsene Kamyoncu Jackson
0:23:41 | [CMD] baraodichnl(11) => /pm 19 isimim bu
0:23:42 | [CMD] Jodor(13) => /myskin 292
0:23:44 | [CMD] Jodor(13) => /araba
0:23:48 | huso608(7): Aracýnýz Arýzalanýr veya  Yakýtý Biterse /tamir veya /asistan Komutunu Kullanabilirsiniz 
0:23:50 | [CMD] sezzer(19) => /pm 11 pp de ne var
0:23:54 | [CMD] baraodichnl(11) => /pm 19 foto yo
0:23:57 | [CMD] baraodichnl(11) => /pm 19 foto yok
0:23:58 | [CMD] enginaydemir(8) => /tamir
0:23:58 | [CMD] Jodor(13) => /kemer
0:24:0 | [CMD] Yumurta(10) => /tamir
0:24:6 | [CMD] Jodor(13) => /odunsat
0:24:9 | [CMD] sezzer(19) => /pm 11 ss aldým kanka oyundan çýkýnca bakarým bulursam eklerim
0:24:18 | [CMD] baraodichnl(11) => /pm 19 tamam bro :) yazarsin bana
0:24:18 | [CMD] Jodor(13) => /work
0:24:24 | [CMD] sezzer(19) => /pm 11 tm
0:24:40 | baraodichnl(11): yumurta helal :D
0:24:52 | Yumurta(10): :D
0:24:58 | baraodichnl(11): daha 5 skordun ne ara 18 oldun 
0:25:7 | sezzer(19): harbi la
0:25:10 | sezzer(19): adam hýzlý
0:25:15 | baraodichnl(11): bizden seri:D
0:25:17 | Yumurta(10): kanka antalya otogara gelmek 128371890247 skor falan herhalde :D
0:25:18 | baraodichnl(11): abi bizede ogret
0:25:20 | baraodichnl(11): :D
0:25:22 | sezzer(19): yakýnda bizi geçer
0:25:56 | baraodichnl(11): her halde sancagin hesabinin bazi rakamlar ustte durdugu icin buna gecmis
0:26:3 | [CMD] Yumurta(10) => /tamir
0:26:8 | sezzer(19): :D
0:26:13 | enginaydemir(8): bi adam varmýþ
0:26:18 | sezzer(19): caný sýkýlan
0:26:21 | Yumurta(10): ölmüþ
0:26:22 | [CMD] Jodor(13) => /meslek
0:26:24 | baraodichnl(11): BEN :D
0:26:26 | {FFCC00}Jodor(13) {FFFFFF}Kamyoncu olarak spawn oldu.
0:26:30 | [CMD] Jodor(13) => /sa
0:26:31 | [CMD] sezzer(19) => /gobus
0:26:33 | [CMD] baraodichnl(11) => /as
0:26:33 | enginaydemir(8): yumurta 10 puan
0:26:36 | [CMD] sezzer(19) => /as
0:26:38 | baraodichnl(11): sen banlanmamismiydin
0:26:38 | [CMD] sezzer(19) => /icerigir
0:26:43 | [CMD] huso608(7) => /uyar 11 Buyuk Harf Yasak
0:26:46 | [CMD] sezzer(19) => /isyerimenu
0:26:47 | [CMD] Jodor(13) => /myskin 292
0:26:48 | [CMD] sezzer(19) => /isyerimenu
0:26:49 | baraodichnl(11): pardon
0:26:52 | Jodor(13): bana mý diyorsun bara
0:26:55 | [CMD] sezzer(19) => /icerigir
0:26:57 | [CMD] sezzer(19) => /isyerimenu
0:26:57 | baraodichnl(11): evet aga
0:26:58 | [CMD] sezzer(19) => /isyerimenu
0:27:1 | Jodor(13): ne alaka
0:27:3 | huso608(7): @8 
0:27:5 | baraodichnl(11): bilmm
0:27:5 | [CMD] sezzer(19) => /icerigir
0:27:5 | baraodichnl(11): :D
0:27:7 | [CMD] sezzer(19) => /isyerimenu
0:27:8 | [CMD] sezzer(19) => /isyerimenu
0:27:12 | {FFCC00}Sancak(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:27:13 | [CMD] Sancak(12) => /admgiris
0:27:14 | Jodor(13): ben hiç banlamadým
0:27:19 | [CMD] Sancak(12) => /sa
0:27:19 | [CMD] sezzer(19) => /rescue
0:27:21 | [CMD] Sancak(12) => /admgiris
0:27:23 | baraodichnl(11): ooo
0:27:25 | baraodichnl(11): as
0:27:25 | sezzer(19): araç res
0:27:26 | Jodor(13): ayrýca sen ban yemiþtin öyle hatýrlýyorum
0:27:26 | [CMD] baraodichnl(11) => /as
0:27:27 | [CMD] huso608(7) => /as
0:27:28 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:27:31 | [CMD] Jodor(13) => /as
0:27:32 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:27:38 | [CMD] Sancak(12) => /duyuru TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:27:41 | [CMD] huso608(7) => /asay Arac Res Geliyor!!! 
0:27:42 | [CMD] huso608(7) => /respawncars
0:27:43 | [CMD] huso608(7) => /cantazele
0:27:47 | [CMD] Sancak(12) => /asay TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:27:48 | enginaydemir(8): eyvallah 
0:27:48 | [CMD] Sancak(12) => /asay TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:27:49 | [CMD] Sancak(12) => /asay TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:27:49 | [CMD] Sancak(12) => /asay TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:27:49 | [CMD] Sancak(12) => /asay TruckSamp Ýnstigram Sayfamýz Açýlmýþtýr Takip Ýçin trucksampp
0:28:3 | [CMD] Jodor(13) => /modifiye
0:28:5 | [CMD] sezzer(19) => /work
0:28:10 | [CMD] Jodor(13) => /kemer
0:28:10 | Sancak(12): az afk
0:28:11 | [CMD] Sancak(12) => /afk
0:28:12 | [CMD] Sancak(12) => /musait
0:28:15 | Yumurta(10): hocam
0:28:21 | enginaydemir(8): instigram
0:28:21 | huso608(7): @10 buyur
0:28:27 | Yumurta(10): instigram olmamýþ
0:28:28 | [CMD] Yumurta(10) => /kemer
0:28:29 | [CMD] Jodor(13) => /bonus
0:28:33 | [CMD] Jodor(13) => /work
0:28:54 | [CMD] sezzer(19) => /stamir
0:29:0 | enginaydemir(8): yumurta
0:29:9 | enginaydemir(8): kamýþtan su geliyor mu
0:29:13 | Yumurta(10): evet
0:29:15 | sezzer(19): haydaaaa
0:29:27 | sezzer(19): muhabbeti kes
0:29:28 | [CMD] huso608(7) => /uyar 19 Harf Uzatma Baskan
0:29:29 | sezzer(19): :D
0:29:42 | thelastsamurai(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:29:52 | [CMD] Jodor(13) => /cevir
0:30:6 | [CMD] huso608(7) => /pm 8 usluplara dikkat etmeni tavvsiye ederim sonuclarýý ahýr oluyor burada
0:30:37 | [CMD] Jodor(13) => /asiriyuk
0:31:7 | enginaydemir(8): konya yolundayým
0:31:7 | Jodor(13) oyundan cIktI (Hata/Crash) (IP: 88.244.176.80)
0:31:7 | Yumurta(10): konya yolundayým
0:31:19 | [CMD] sezzer(19) => /work
0:31:26 | [CMD] sezzer(19) => /work
0:31:31 | baraodichnl(11): param yok paramw
0:31:38 | baraodichnl(11): vereceginiz arabanin
0:31:46 | baraodichnl(11): konya yolundayim konya yolundaa
0:31:56 | [CMD] Yumurta(10) => /tamir
0:31:59 | [CMD] huso608(7) => /cleanupcars
0:32:18 | enginaydemir(8): sana hasanýn selamý var
0:32:22 | Yumurta(10): ulan belediye þu araçlara hiç bakmýyor ha
0:32:25 | [CMD] enginaydemir(8) => /tamir
0:32:26 | Yumurta(10): 2 hasar var
0:32:32 | Yumurta(10): stop ede ede öldü araba
0:32:43 | huso608(7):   /tamir veya /asistan yap
0:33:36 | [CMD] huso608(7) => /rescue
0:33:53 | [CMD] huso608(7) => /kemer
0:34:16 | enginaydemir(8): kayboldum
0:34:23 | [CMD] huso608(7) => /goto 8
0:34:28 | huso608(7): bekle
0:34:30 | [CMD] huso608(7) => /goto 8
0:34:32 | sezzer(19): nerde kayboldun
0:34:34 | [CMD] sezzer(19) => /gobus
0:34:35 | [CMD] huso608(7) => /goto 8
0:34:38 | huso608(7): ankarada
0:34:47 | [CMD] huso608(7) => /car bullet 6 6
0:34:50 | sezzer(19): t/work
0:34:54 | sezzer(19): fail
0:34:57 | [CMD] sezzer(19) => /work
0:35:32 | huso608(7): @8 nereye gideceksin
0:35:43 | enginaydemir(8): hocam ne yalan söyliyim
0:35:47 | enginaydemir(8): unuttum asdhjasf
0:35:54 | enginaydemir(8): las lý biþeydi
0:35:55 | sezzer(19): saðda yazmýyo mu
0:35:58 | Yumurta(10): Ya beyler herþey iyi hoþ güzelde bu ek map olaylarý olmamýþ 
0:36:0 | huso608(7): saf taraffýnda mor yazý nereyi gosteriyor
0:36:7 | sezzer(19): neden yumurta
0:36:9 | huso608(7): @10 neden
0:36:11 | Yumurta(10): nereye gideceðimi bilmiyorum 
0:36:13 | enginaydemir(8): san fierro
0:36:16 | Yumurta(10): sürekli map dýþýnda 
0:36:20 | Yumurta(10): gidilecek yerler
0:36:20 | huso608(7): kýrmýzý bayrak var
0:36:27 | sezzer(19): her serverde ek map vardýr genelde
0:36:29 | enginaydemir(8): tamamdýr
0:36:32 | sezzer(19): ek mapsiz tadý çýkmazki
0:36:41 | huso608(7): oraya gideceksin oradan ucgeni takip ediceksin kýrmýzý olaný
0:36:55 | Yumurta(10): bilindik yerlere koysanýz daha iyi olurdu diye düþünüyorum ben 
