0:0:0 | Kraply(13): -_-
0:1:23 | [CMD] Moskova_Kurdu(14) => /a Kavanoz mu Kavonoz mu 
0:1:28 | [CMD] Moskova_Kurdu(14) => /a bandýl .d
0:1:29 | TIRCI(20): kurt mus 
0:1:35 | [CMD] Emirhan4427(7) => /a kavanoz
0:1:39 | EvoturK(24): söndürüyorum
0:1:41 | [CMD] HeRquL(10) => /duyuru evo kaclik bandil kas yapar
0:1:41 | huso608(8): týrcý ne durumdasýn caným
0:1:43 | EvoturK(24): burasý nükleer reaktör gibi
0:1:44 | Kraply(13): evo
0:1:45 | TIRCI(20): kurt bený balon alma yerýne gotursene
0:1:48 | Mike_(0): s.a
0:1:49 | EvoturK(24): hambýl bandýl
0:1:50 | [CMD] EvoturK(24) => /as
0:1:53 | EvoturK(24): evet
0:1:54 | [CMD] EvoturK(24) => /atamir
0:1:55 | huso608(8): gel gotureyim ahira
0:1:55 | Kraply(13): youtubea ahlayan karý remix yazsana
0:1:55 | Moskova_Kurdu(14): TIRCI
0:2:0 | TIRCI(20): efm
0:2:3 | EvoturK(24): dinledim onu :D
0:2:4 | [CMD] ahmet55(17) => /animkapat
0:2:5 | Moskova_Kurdu(14): arabada mýsýn
0:2:5 | Kraply(13): xd
0:2:6 | HeRquL(10): evo adam doðru diyo kaç kilo bandýl la kol kasý yapýlýr
0:2:9 | TIRCI(20): no
0:2:11 | [CMD] Moskova_Kurdu(14) => /get 20
0:2:14 | [CMD] ahmet55(17) => /dus
0:2:15 | EvoturK(24): ben 2 kgyle baþladým asfsaf
0:2:17 | EvoturK(24): bandýlla
0:2:18 | TIRCI(20): loo
0:2:18 | EvoturK(24): bandýl asfsaf
0:2:18 | efepro0550(18): týrcý
0:2:20 | EvoturK(24): hambýl bandýl
0:2:22 | [CMD] EvoturK(24) => /atamir
0:2:22 | HeRquL(10): dsaSD:aSD:
0:2:24 | Kraply(13): bandýl ne olm
0:2:24 | huso608(8): fazla dayanamadý ahmet
0:2:24 | Kraply(13): xd
0:2:27 | EvoturK(24): dambýl asfsa
0:2:28 | Kraply(13): dambýl
0:2:28 | TIRCI(20): oluyom alha emabnet 
0:2:29 | ahmet55(17): :D
0:2:30 | huso608(8): evo ambulansý ara
0:2:32 | [CMD] EvoturK(24) => /atamir
0:2:34 | TIRCI(20): hhll edýn 
0:2:38 | EvoturK(24): hemen ambulans
0:2:40 | [CMD] Gezegen(15) => /araba
0:2:40 | [CMD] EvoturK(24) => /cleanupcars
0:2:41 | [CMD] HeRquL(10) => /car
0:2:42 | [CMD] Emirhan4427(7) => /aa baþkan gel buraya gazoz ýsmarlarsýn 
0:2:43 | [CMD] Moskova_Kurdu(14) => /get 20
0:2:44 | [CMD] HeRquL(10) => /veh
0:2:45 | [CMD] EvoturK(24) => /car ambulance 31 31
0:2:45 | 
0:2:50 | [CMD] huso608(8) => /goto 7
0:2:50 | [CMD] EvoturK(24) => /kemer
0:2:58 | [CMD] huso608(8) => /goto 7
0:3:0 | [CMD] Emirhan4427(7) => /aa ahýr moteldeyim
0:3:7 | [CMD] ahmet55(17) => /striptiz g
0:3:8 | EvoturK(24): dadi dadi ambulans emre geldi
0:3:8 | efepro0550(18): týrcý
0:3:9 | [CMD] EvoturK(24) => /aa :D:D
0:3:11 | [CMD] huso608(8) => /goto 24
0:3:12 | TIRCI(20): hasta ex oldu x_x
0:3:16 | [CMD] EvoturK(24) => /aa gazoz bitmiþ hocam afsa
0:3:17 | [CMD] EvoturK(24) => /atamir
0:3:18 | Gezegen(15): suni tenefus yapýcam açýlýn
0:3:18 | Kraply(13): yav noli
0:3:21 | Kraply(13): oyundan atýyo
0:3:21 | [CMD] Emirhan4427(7) => /aa gözümle gazoz içiyorum
0:3:21 | Gezegen(15): suni tenefus yapýcam açýlýn..
0:3:28 | [CMD] EvoturK(24) => /aa gözünle içecen zaten :D
0:3:29 | [CMD] Kraply(13) => /yat
0:3:30 | [CMD] Gezegen(15) => /dus
0:3:31 | Moskova_Kurdu(14): Emirhan
0:3:32 | [CMD] EvoturK(24) => /atamir
0:3:32 | [CMD] huso608(8) => /icerigir
0:3:32 | [CMD] ahmet55(17) => /duskalk
0:3:32 | [CMD] Gezegen(15) => /duskalk
0:3:35 | Moskova_Kurdu(14): Üllimemati ? 
0:3:35 | Emirhan4427(7): evet
0:3:38 | EvoturK(24): noluyo lan orada
0:3:39 | Gezegen(15): evo bak :D
0:3:40 | Gezegen(15): evo bak :D
0:3:40 | TIRCI(20): hortumu cýkartýyom acýlýn 
0:3:43 | [CMD] Gezegen(15) => /animkapat
0:3:44 | [CMD] EvoturK(24) => /atamir
0:3:44 | ahmet55(17): krýze gýrdý
0:3:44 | EvoturK(24): asfsaf
0:3:49 | [CMD] Moskova_Kurdu(14) => /goto 24
0:3:50 | [CMD] HeRquL(10) => /a evo ahýra tuvalet koyda içinde sakso çek
0:3:50 | EvoturK(24): gezegen ahmeti þeyyapýyor
0:3:51 | [CMD] Gezegen(15) => /31
0:3:53 | EvoturK(24): huso hocam
0:3:54 | CcCAtakan1907(12) oyuna girdi [IP: 78.190.153.55]
0:3:55 | EvoturK(24): el at duruma
0:3:56 | ahmet55(17): :D
0:4:1 | [CMD] Konyali42(23) => /asay Istek Sarki Olmadigi Için Rastgele Açilmistir...     
0:4:2 | [CMD] Gezegen(15) => /animkapat
0:4:5 | TIRCI(20): balon alma yerý nerde 
0:4:9 | [CMD] Moskova_Kurdu(14) => /car a 1 1
0:4:10 | 
0:4:10 | [CMD] huso608(8) => /ahirjob 17
0:4:10 | Kraply(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:12 | [CMD] huso608(8) => /ahirjob 17
0:4:12 | EvoturK(24): sahilde
0:4:12 | {FFCC00}CcCAtakan1907(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:4:13 | [CMD] EvoturK(24) => /atamir
0:4:15 | [CMD] Moskova_Kurdu(14) => /modifie
0:4:16 | [CMD] Emirhan4427(7) => /get evo
0:4:17 | [CMD] Moskova_Kurdu(14) => /modifiye
0:4:17 | EvoturK(24): ls
0:4:18 | [CMD] huso608(8) => /ahirjob 17
0:4:22 | TIRCI(20): goturun býrýnýz 
0:4:22 | [CMD] huso608(8) => /ahirjob 17
0:4:22 | Gezegen(15): :D
0:4:22 | EvoturK(24): oha asfa
0:4:22 | [CMD] huso608(8) => /ahirjob 17
0:4:22 | [ANTIHACK] Þüpheli Moskova_Kurdu(14) => Airbreak-hack
0:4:22 | [CMD] huso608(8) => /ahirjob 17
0:4:23 | Moskova_Kurdu(14): .
0:4:23 | [CMD] Gezegen(15) => /araba
0:4:27 | [CMD] Emirhan4427(7) => /get evo
0:4:30 | [CMD] EvoturK(24) => /goto gezegen
0:4:31 | TIRCI(20): ahýra goturmeden 
0:4:31 | [CMD] EvoturK(24) => /atamir
0:4:32 | [CMD] Moskova_Kurdu(14) => /cleanupcars
0:4:34 | [CMD] HeRquL(10) => /isteksarki 706
0:4:35 | efepro0550(18): atakan
0:4:36 | [CMD] huso608(8) => /ahirjob 20
0:4:37 | [CMD] Konyali42(23) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
0:4:38 | [CMD] huso608(8) => /ahirjob 20
0:4:38 | Gezegen(15): can ress
0:4:40 | [CMD] huso608(8) => /cantazele
0:4:42 | [CMD] EvoturK(24) => /atamir
0:4:42 | [CMD] ahmet55(17) => /animlist
0:4:44 | TIRCI(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:45 | CcCAtakan1907(12): efm
0:4:46 | [CMD] EvoturK(24) => /atamir
0:4:48 | [CMD] ahmet55(17) => /rescue
0:4:50 | [CMD] huso608(8) => /ahirjob 12
0:4:51 | [CMD] Konyali42(23) => /d ismi ne aramayayim :D
0:4:52 | [CMD] huso608(8) => /ahirjob 12
0:4:52 | [CMD] EvoturK(24) => /atamir
0:4:53 | emre_cool(13) oyuna girdi [IP: 91.93.48.171]
0:4:53 | [CMD] Gezegen(15) => /ise
0:4:53 | [CMD] huso608(8) => /ahirjob 12
0:4:54 | efepro0550(18): las venterus nerde kalýo
0:4:56 | [LOCAL]Gezegen(15): :D
0:4:56 | [CMD] Gezegen(15) => /l :D
0:4:57 | [CMD] EvoturK(24) => /atamir
0:5:1 | [CMD] ahmet55(17) => /araba
0:5:1 | [CMD] Moskova_Kurdu(14) => /slap 15 
0:5:5 | CcCAtakan1907(12): lvde
0:5:6 | [CMD] huso608(8) => /a iceri gozukmuyor 
0:5:7 | [CMD] HeRquL(10) => /car firetruck 0 1
0:5:7 | 
0:5:8 | [CMD] EvoturK(24) => /atamir
0:5:10 | CcCAtakan1907(12): düþüyom
0:5:10 | 
0:5:11 | [CMD] EvoturK(24) => /atamir
0:5:11 | [LOCAL]Emirhan4427(7): kolay gelsin
0:5:11 | [CMD] Emirhan4427(7) => /l kolay gelsin
0:5:12 | CcCAtakan1907(12): noldu öle 
0:5:12 | [CMD] emre_cool(13) => /sa
0:5:14 | [CMD] EvoturK(24) => /as
0:5:15 | [CMD] ahmet55(17) => /araba
0:5:16 | [CMD] Konyali42(23) => /as
0:5:16 | [CMD] CcCAtakan1907(12) => /goto 24
0:5:16 | [LOCAL]huso608(8): sagol
0:5:16 | [CMD] huso608(8) => /l sagol
0:5:19 | efepro0550(18): mapda nerde kalýo
0:5:20 | [CMD] emre_cool(13) => /rescue
0:5:22 | [CMD] Moskova_Kurdu(14) => /slap 12 
0:5:22 | [CMD] EvoturK(24) => /modifiye
0:5:23 | [CMD] Moskova_Kurdu(14) => /slap 12 
0:5:24 | [CMD] Moskova_Kurdu(14) => /slap 12 
0:5:24 | TIRCI(16) oyuna girdi [IP: 95.10.29.207]
0:5:24 | [CMD] Moskova_Kurdu(14) => /slap 12 
0:5:25 | [CMD] emre_cool(13) => /sirket
0:5:25 | [CMD] Moskova_Kurdu(14) => /slap 12 
0:5:26 | Kraply(19) oyuna girdi [IP: 176.240.96.43]
0:5:27 | CcCAtakan1907(12): sað üst
0:5:27 | [CMD] EvoturK(24) => /modifiye
0:5:30 | [CMD] emre_cool(13) => /sirket
0:5:32 | Gezegen(15): Kafalara Dikkat
0:5:34 | [CMD] huso608(8) => /ahirjob 
0:5:36 | 
0:5:38 | [CMD] CcCAtakan1907(12) => /myskin 29
0:5:38 | efepro0550(18): a
0:5:38 | [ANTIHACK] Þüpheli Moskova_Kurdu(14) => Airbreak-hack
0:5:39 | Kraply(19) Itfaiyeci olarak spawn oldu.
0:5:39 | {FFCC00}CcCAtakan1907(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:5:40 | [CMD] Gezegen(15) => /tamir
0:5:42 | [CMD] Mike_(0) => /duzelt
0:5:44 | Kraply(19): yav baþlýyacam ha
0:5:45 | [CMD] huso608(8) => /goto 24
0:5:45 | [CMD] CcCAtakan1907(12) => /araba
0:5:47 | Kraply(19): windows 10 gibi
0:5:47 | Moskova_Kurdu(14): bu ne evo qW:Eq 
0:5:49 | Kraply(19): format attýk
0:5:52 | Kraply(19): virüs bulastýrdý
0:5:52 | HeRquL(10): AME'yi kuruyorum
0:5:52 | EvoturK(24): ambulansrider
0:5:54 | Gezegen(15): Kafalara Dikkat !!
0:5:57 | [CMD] Moskova_Kurdu(14) => /atamir
0:5:58 | Mike_(0): arabam ters döndü
0:6:2 | emre_cool(13): Herqul kargocu olakmý ?
0:6:2 | [CMD] Mike_(0) => /tamir
0:6:4 | huso608(8):   /cevir
0:6:4 | [CMD] emre_cool(13) => /sac
0:6:5 | 
0:6:6 | [CMD] ahmet55(17) => /araba
0:6:6 | HeRquL(10): @0 /cevir yaz
0:6:6 | [CMD] Moskova_Kurdu(14) => /duyuru KALKTI
0:6:6 | [CMD] Kraply(19) => /rescue
0:6:9 | [CMD] emre_cool(13) => /kemer
0:6:11 | [CMD] Mike_(0) => /cevir
0:6:11 | Moskova_Kurdu(14): la sýkýþtým
0:6:12 | [ANTIHACK] Þüpheli EvoturK(24) => Airbreak-hack
0:6:15 | Gezegen(15): kýdadhfýsd ohaa
0:6:15 | {FFCC00}Gezegen(15) {FFFFFF}Pilot olarak spawn oldu.
0:6:15 | emre_cool(13): Herqul kargocu olakmý ?
0:6:15 | [CMD] EvoturK(24) => /atamir
0:6:16 | [CMD] Mike_(0) => /cevir
0:6:16 | [CMD] HeRquL(10) => /duyuru daha da kalkacak
0:6:17 | [CMD] Mike_(0) => /cevir
0:6:17 | EvoturK(24): asfa
0:6:17 | [CMD] Kraply(19) => /rescue
0:6:18 | Gezegen(15): :D
0:6:18 | [CMD] Mike_(0) => /cevir
0:6:19 | [CMD] Mike_(0) => /cevir
0:6:21 | [CMD] Gezegen(15) => /rescue
0:6:21 | [SirketCHT] Konyali42(23): ! geliyonmu
0:6:22 | [CMD] ahmet55(17) => /araba
0:6:24 | [CMD] HeRquL(10) => /goto 13 
0:6:24 | [CMD] Mike_(0) => /cevir
0:6:25 | EvoturK(24): þirketin oraya uçtum
0:6:26 | [CMD] CcCAtakan1907(12) => /araba
0:6:28 | {FFCC00}TIRCI(16) {FFFFFF}Pilot olarak spawn oldu.
0:6:31 | [LOCAL]emre_cool(13): hg
0:6:31 | [CMD] emre_cool(13) => /l hg
0:6:31 | [SirketCHT] Jodor(9): ! köprüdeyim
0:6:31 | [CMD] TIRCI(16) => /sa
0:6:32 | [CMD] Emirhan4427(7) => /isyerimenu
0:6:32 | [CMD] emre_cool(13) => /work
0:6:32 | Gezegen(15): öldunmu
0:6:34 | Mike_(0): araba buga gýrdý
0:6:34 | [CMD] emre_cool(13) => /as
0:6:35 | [LOCAL]HeRquL(10): hb
0:6:35 | [CMD] HeRquL(10) => /l hb
0:6:35 | [CMD] EvoturK(24) => /as
0:6:35 | [SirketCHT] Konyali42(23): ! tmm
0:6:35 | [SirketCHT] Jodor(9): ! çýkacam zaten
0:6:36 | ahmet55(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:37 | EvoturK(24): yo ölmedim
0:6:37 | [CMD] Moskova_Kurdu(14) => /cleanupcars
0:6:38 | TIRCI(16): sen bený ýh ahýra atcan 
0:6:41 | [SirketCHT] Konyali42(23): ! hayda :D
0:6:42 | Mike_(0): aleykum selam
0:6:42 | [CMD] Kraply(19) => /sirket
0:6:46 | [CMD] Moskova_Kurdu(14) => /car voodo
0:6:46 | [SirketCHT] Konyali42(23): ! tmm ozm ben devam ediyorum
0:6:47 | Gezegen(15): ikinci uçak yolda kaflara dikkat .D
0:6:48 | [CMD] Moskova_Kurdu(14) => /car voodo 1 1
0:6:51 | [SirketCHT] Jodor(9): ! tmm
0:6:52 | [CMD] Konyali42(23) => /work
0:6:53 | [CMD] Moskova_Kurdu(14) => /cleanupcars
0:6:57 | [CMD] huso608(8) => /ahirjob 16
0:6:59 | [CMD] huso608(8) => /ahirjob 16
0:6:59 | [CMD] Konyali42(23) => /convoyiptal
0:6:59 | [CMD] Moskova_Kurdu(14) => /car dumper 1 1
0:7:0 | [CMD] huso608(8) => /ahirjob 16
0:7:1 | CcCAtakan1907(12): r
0:7:2 | [CMD] Konyali42(23) => /work
0:7:4 | [CMD] Emirhan4427(7) => /giveweapon 7 heat
0:7:6 | [CMD] CcCAtakan1907(12) => /meslek
0:7:7 | TIRCI(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:7 | [CMD] Emirhan4427(7) => /giveweapon 7 heat 999999
0:7:8 | {FFCC00}CcCAtakan1907(12) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:7:9 | huso608(8): itfaiye selfie si
0:7:9 | [CMD] Kraply(19) => /kemer
0:7:10 | ahmet55(16) oyuna girdi [IP: 88.254.236.168]
0:7:11 | Moskova_Kurdu(14): Demiþler ki kral öldü
0:7:11 | [CMD] emre_cool(13) => /tamir
0:7:12 | [CMD] Emirhan4427(7) => /fly
0:7:18 | [CMD] Mike_(0) => /work
0:7:19 | Moskova_Kurdu(14): Þimdi yazsýnlar kral geri döndü
0:7:24 | [LOCAL]emre_cool(13): can res
0:7:24 | [CMD] emre_cool(13) => /l can res
0:7:27 | [ANTIHACK] Þüpheli EvoturK(24) => Airbreak-hack
0:7:28 | huso608(8): kral mý o da kim
0:7:30 | {FFCC00}Gezegen(15) {FFFFFF}Pilot olarak spawn oldu.
0:7:31 | [CMD] Gezegen(15) => /rescue
0:7:34 | [CMD] Kraply(19) => /akilit
0:7:35 | [CMD] Mike_(0) => /modifiye
0:7:36 | [CMD] Gezegen(15) => /rescue
0:7:37 | [CMD] Kraply(19) => /akilitle
0:7:41 | [LOCAL]emre_cool(13): can res atarmýsýn
0:7:41 | [CMD] emre_cool(13) => /l can res atarmýsýn
0:7:42 | [CMD] HeRquL(10) => /cantazele
0:7:46 | [CMD] emre_cool(13) => /tamir
0:7:47 | Moskova_Kurdu(14): bað ya
0:7:48 | {FFCC00}Moskova_Kurdu(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:50 | [CMD] Moskova_Kurdu(14) => /sac
0:7:51 | EvoturK(24): gg
0:7:52 | [CMD] EvoturK(24) => /atamir
0:7:54 | [CMD] EvoturK(24) => /cleanupcars
0:7:57 | [CMD] Moskova_Kurdu(14) => /meslek
0:7:58 | {FFCC00}Moskova_Kurdu(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:7:59 | 
0:8:0 | [CMD] Moskova_Kurdu(14) => /sac
0:8:1 | Konyali42(23): size bi sorum var
0:8:2 | [CMD] Moskova_Kurdu(14) => /god
0:8:4 | [CMD] Moskova_Kurdu(14) => /god
0:8:5 | huso608(8): buyrun
0:8:6 | {FFCC00}ahmet55(16) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:8 | [CMD] huso608(8) => /spec 23
0:8:9 | [CMD] Moskova_Kurdu(14) => /goto Emirhan
0:8:9 | [CMD] Kraply(19) => /kemer
0:8:10 | Emirhan4427(7): böyle elim tetikte beklþyorum ne çarpýyorsun :D
0:8:10 | [CMD] Kraply(19) => /kemer
0:8:13 | [CMD] huso608(8) => /specoff
0:8:14 | {FFCC00}huso608(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:16 | ahmet55(16): ýyý bayramlar
0:8:20 | [CMD] Moskova_Kurdu(14) => /giveweapon 14 rocket 555555
0:8:21 | emre_cool(13): atakan kg
0:8:24 | [LOCAL]EvoturK(24): atlayýn am bulan sa
0:8:24 | [CMD] EvoturK(24) => /l atlayýn am bulan sa
0:8:24 | emre_cool(13): atakan k.g
0:8:25 | Gezegen(15): Kafalara Dikkat !!
0:8:25 | EvoturK(24): lan
0:8:26 | Moskova_Kurdu(14): Q:WEQe
0:8:26 | [CMD] EvoturK(24) => /afasfaf
0:8:26 | [CMD] emre_cool(13) => /tamir
0:8:27 | {FFCC00}EvoturK(24) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:27 | Kraply(19) Itfaiyeci olarak spawn oldu.
0:8:27 | EvoturK(24): afsafa
0:8:28 | [CMD] huso608(8) => /god
0:8:28 | [CMD] EvoturK(24) => /god
0:8:30 | [CMD] huso608(8) => /cantazele
0:8:30 | Kraply(19): -_-
0:8:30 | [CMD] EvoturK(24) => /god
0:8:31 | CcCAtakan1907(12): sanada
0:8:32 | [CMD] EvoturK(24) => /goto emirhan
0:8:34 | Emirhan4427(7): ben deðilim bu
0:8:34 | Konyali42(23): intel i5 , 8gb ram , 250 hdd , 128 ssd, nvidia gt730 370 mu
0:8:37 | Moskova_Kurdu(14): Kraply ye vurdum ilk evo gitti :QWEQ 
0:8:37 | Konyali42(23): yada
0:8:38 | [CMD] EvoturK(24) => /goto 14
0:8:40 | [CMD] EvoturK(24) => /asilah
0:8:40 | Kraply(19): ne sýkýyon 
0:8:42 | Kraply(19): xd
0:8:43 | Kraply(19): LGRKNMRSKJRS
0:8:45 | Moskova_Kurdu(14): Gaç
0:8:49 | [CMD] EvoturK(24) => /ahirjob 14
0:8:49 | [CMD] ahmet55(16) => /araba
0:8:50 | [CMD] EvoturK(24) => /ahirjob 14
0:8:50 | [CMD] EvoturK(24) => /ahirjob 14
0:8:52 | [CMD] huso608(8) => /ahirjob 19
0:8:52 | [CMD] EvoturK(24) => /hfyerlestir
0:8:52 | [CMD] EvoturK(24) => /hfyerlestir
0:8:53 | [CMD] Moskova_Kurdu(14) => /animkapat
0:8:53 | [CMD] EvoturK(24) => /hfyerlestir
0:8:53 | [CMD] EvoturK(24) => /hfyerlestir
0:8:53 | [CMD] EvoturK(24) => /hfyerlestir
0:8:55 | Kraply(19): a
0:8:55 | [CMD] EvoturK(24) => /hfbaslat
0:8:55 | [CMD] huso608(8) => /ahirjob 19
0:8:56 | [CMD] huso608(8) => /ahirjob 19
0:8:58 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:8:59 | Kraply(19): yiterrr
0:9:3 | [CMD] Emirhan4427(7) => /aa ahýrý bassam kaç yýl kodes
0:9:3 | [CMD] EvoturK(24) => /ahirjob 14
0:9:3 | [CMD] EvoturK(24) => /ahirjob 14
0:9:4 | [CMD] Kraply(19) => /icerigir
0:9:5 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:9:6 | EvoturK(24): al aðzýna al al al
0:9:7 | [CMD] Kraply(19) => /icerigir
0:9:8 | [CMD] EvoturK(24) => /ahirjob 14
0:9:8 | [CMD] EvoturK(24) => /ahirjob 14
0:9:8 | Konyali42(23): intel i5 , 8gb ram, 250 gb ssd, 1tb hdd, nvidia gtx 1050 2gb 430 mu
0:9:9 | [CMD] CcCAtakan1907(12) => /meslek
0:9:9 | [CMD] Moskova_Kurdu(14) => /animkapat
0:9:11 | {FFCC00}CcCAtakan1907(12) {FFFFFF}Pilot olarak spawn oldu.
0:9:11 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:9:12 | [CMD] EvoturK(24) => /ahirjob 14
0:9:12 | [CMD] EvoturK(24) => /ahirjob 14
0:9:13 | [CMD] Emirhan4427(7) => /labelolustur MEVSÝMLERDEN BAHARIM GÜNLERDEN PAZARIM KARPUZ YER AZARIM EVOTURK'E YAZARIM 
0:9:13 | [CMD] Kraply(19) => /otur
0:9:13 | [CMD] huso608(8) => /duyuru ahir bayramda iyi bayramlar evoturk
0:9:14 | [CMD] EvoturK(24) => /ahirjob 14
0:9:15 | [CMD] EvoturK(24) => /ahirjob 14
0:9:16 | [CMD] EvoturK(24) => /ahirjob 14
0:9:16 | [CMD] Kraply(19) => /animkapat
0:9:16 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:9:17 | [CMD] EvoturK(24) => /ahirjob 14
0:9:18 | [CMD] EvoturK(24) => /ahirjob 14
0:9:18 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:9:20 | [CMD] Emirhan4427(7) => /labelsil 40
0:9:24 | [CMD] huso608(8) => /ahirjob 14
0:9:24 | [CMD] Konyali42(23) => /asay Istek Sarkiniz Çaliniyor. Iyi Oyunlar Dileriz...     
0:9:24 | [CMD] CcCAtakan1907(12) => /myskin 29
0:9:24 | [CMD] Kraply(19) => /otur
0:9:25 | [CMD] huso608(8) => /ahirjob 14
0:9:26 | [CMD] Moskova_Kurdu(14) => /dondur 14 1 1
0:9:27 | HeRquL(10): abdullah heemn 1 kasa ondan yola bana
0:9:27 | EvoturK(24): asfasfas
0:9:29 | [CMD] CcCAtakan1907(12) => /myskin 1
0:9:29 | [CMD] Gezegen(15) => /tamir
0:9:29 | EvoturK(24): oha asfaf
0:9:31 | [CMD] Kraply(19) => /Animkapat
0:9:32 | {FFCC00}Gezegen(15) {FFFFFF}Pilot olarak spawn oldu.
0:9:33 | [CMD] Gezegen(15) => /rescue
0:9:35 | [CMD] emre_cool(13) => /isteksarki 1508
0:9:37 | [CMD] Kraply(19) => /rescue
0:9:38 | [CMD] huso608(8) => /ahirjob 19
0:9:38 | [CMD] huso608(8) => /ahirjob 19
0:9:39 | [CMD] Konyali42(23) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
0:9:45 | [CMD] huso608(8) => /ahirjob 19
0:9:46 | Moskova_Kurdu Kraply'i öldürdü. Oldurme Sekli: 51
