0:0:2 | [CMD] huso608(12) => /admins
0:7:43 | Karpuzlupasta(13): ciddiyim
0:7:51 | sezzer(10): buda ben gibi lan asdgjhgasfd
0:7:54 | Karpuzlupasta(13): :D
0:7:56 | sezzer(10): olm benim de 90 tl var
0:7:58 | [CMD] DarkFlow(17) => /pm 9 
0:7:59 | Karpuzlupasta(13): ney ney ney
0:8:2 | sezzer(10): 1 buçuk yýllýk falan
0:8:3 | Karpuzlupasta(13): 42k mý
0:8:8 | Karpuzlupasta(13): 90k falan veriyodu
0:8:20 | [CMD] DarkFlow(17) => /pm 9 yuku býrakamda konusuruz
0:8:26 | [CMD] Madness(7) => /c baya geride kaldýn :D
0:8:26 | [CMD] Jodor(9) => /pm 17 tamam 
0:8:27 | [CMD] Karpuzlupasta(13) => /vip
0:8:29 | [KAMYONCU] huso608, Diver Island Farm'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 559113$, 1 Skor ve 5 EXP Sure: 473 Saniye
0:8:33 | [CMD] huso608(12) => /work
0:8:33 | [CMD] DarkFlow(17) => /c geliyom
0:8:34 | sezzer(10): yanlýz ben parayý nereye koydumu unuttum ondan harcayamýyom
0:8:37 | sezzer(10): ajsdgjgasda
0:8:40 | Karpuzlupasta(13): ýashydbnom
0:8:52 | Karpuzlupasta(13): parayý kaybetmiþ adam
0:8:53 | [CMD] huso608(12) => /asiriyuk
0:8:53 | Karpuzlupasta(13): yazýk be
0:8:56 | sezzer(10): ajsdghagd
0:8:57 | Karpuzlupasta(13): hemde 90 lira
0:9:1 | [CMD] buyukustadbitti(11) => /rescue
0:9:2 | Karpuzlupasta(13): ýahsdbnmasödçþi
0:9:4 | sezzer(10): evde biyerde ama nerde bilmiyom
0:9:7 | [CMD] buyukustadbitti(11) => /goreviptal
0:9:10 | [CMD] buyukustadbitti(11) => /rescue
0:9:15 | Karpuzlupasta(13): ara :D
0:9:17 | thunder(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:9:20 | sezzer(10): üþeniyom :D
0:9:24 | [CMD] Jodor(9) => /pm 17 yazdýðýnýn yazýnýn sonuna boþluk koy adminler okuyamaz 
0:9:28 | [CMD] buyukustadbitti(11) => /work
0:9:28 | Karpuzlupasta(13): o bir para
0:9:31 | Madness(7): lan benim paypalda 10 kuruþum kaldý diye çýldýran insaným
0:9:40 | Karpuzlupasta(13): 10 kuruþ da iyi
0:9:56 | [CMD] Jodor(9) => /pm 17 Huso baba kralsýn :)
0:9:59 | Karpuzlupasta(13): küçükken yere attýðýn 5 kuruþlarý biriktirseydin 1 lira olurdu D:
0:10:11 | [CMD] DarkFlow(17) => /pm 9 :D 
0:10:14 | Madness(7): küçükken hiç yere 5 kuruþ atmadým
0:10:18 | Karpuzlupasta(13): 1 kuruþ
0:10:18 | Madness(7): çünkü 5 kuruþum bile olmadý
0:10:18 | sezzer(10): aynen
0:10:22 | Karpuzlupasta(13): :D
0:10:31 | [CMD] Jodor(9) => /pm 17 bunu görebilir mesela. ama bu yazdýðýmý göremez 
0:10:32 | Madness(7): kaðýt 5 lira görmedim dahga
0:10:38 | Karpuzlupasta(13): oðadarda deðil að
0:10:41 | [CMD] Jodor(9) => /araba
0:10:44 | Madness(7): evet real
0:10:45 | [CMD] Karpuzlupasta(13) => /rescue
0:10:47 | buyukustadbitti(11): ya þu gemici baþarýmý kaçtan sonra
0:10:52 | sezzer(10): 0.000001 kuruþ bile olsa yere atýlmaz üstünde atatürk ün resmi var
0:10:52 | [CMD] DarkFlow(17) => /pm 9 anladým
0:10:54 | huso608(12): sen kas verir
0:10:56 | Sahildeniz(8) oyuna girdi [IP: 176.218.171.146]
0:10:59 | [CMD] Karpuzlupasta(13) => /rescue
0:11:6 | Madness(7): 0,000001 kuruþta atatürkün resmi yok
0:11:9 | [CMD] Karpuzlupasta(13) => /meslek
0:11:18 | sezzer(10): öyle bi kuruþ yok olm
0:11:21 | [CMD] Karpuzlupasta(13) => /ehliyetyeri
0:11:27 | [CMD] Jodor(9) => /pm 17 oyundan crash yersem bi daha gelirim. bu ara yiyorum sürekli 
0:11:29 | Karpuzlupasta(13): olm
0:11:34 | Karpuzlupasta(13): 1 kuruþda 
0:11:37 | huso608(12): sw ye gelmeden once ne tukettiniz siz
0:11:38 | Karpuzlupasta(13): ney vardý lan
0:11:43 | Madness(7): ataturk
0:11:43 | Karpuzlupasta(13): hhe
0:11:45 | [CMD] Jodor(9) => /balon
0:11:48 | Karpuzlupasta(13): heh armut var
0:11:49 | [CMD] DarkFlow(17) => /pm 9 hmm
0:11:54 | Karpuzlupasta(13): bi dal ve üstünde armut
0:12:0 | sezzer(10): saçmalamayýn 
0:12:0 | Madness(7): arkasýnda ataturk
0:12:2 | Karpuzlupasta(13): ciddiyim :D
0:12:11 | Karpuzlupasta(13): dur lan bakayým bende var
0:12:12 | [CMD] sezzer(10) => /stamir
0:12:16 | 
0:12:22 | sezzer(10): huso
0:12:25 | huso608(12): evet
0:12:26 | Madness(7): 1 kuruþunu maliyeti 3 kuruþ
0:12:26 | sezzer(10): hasar veriyosun yapma
0:12:29 | ahmet55(14) oyuna girdi [IP: 88.232.244.86]
0:12:29 | [CMD] DarkFlow(17) => /c k.b senin de beklektik bro
0:12:30 | [CMD] sezzer(10) => /stamir
0:12:31 | Sahildeniz(8) Mafya olarak spawn oldu.
0:12:34 | huso608(12): ben nasýl verecm
0:12:35 | Karpuzlupasta(13): evet
0:12:40 | [CMD] Madness(7) => /c yok est
0:12:41 | 
0:12:41 | Karpuzlupasta(13): arkasýnda ATATÜRK varmýþ
0:12:44 | ahmet55(14) Bankaci olarak spawn oldu.
0:12:46 | [CMD] ahmet55(14) => /sa
0:12:50 | Karpuzlupasta(13): ama önünde armut var :D
0:12:53 | [CMD] Sahildeniz(8) => /yardim
0:12:57 | huso608(12): jodorun balonuna takýlýyorsun
0:13:6 | Madness(7): ýsýr 
0:13:12 | Karpuzlupasta(13): parayýmý
0:13:15 | Madness(7): armutu
0:13:17 | sezzer(10): pardon jodor muþ o
0:13:18 | [CMD] ahmet55(14) => /modifiye
0:13:23 | Jodor(9): benim o 
0:13:24 | Karpuzlupasta(13): abi zaten öyle bi eskimiþ ki kahverengi
0:13:28 | huso608(12): sezer iyi degilsin sen
0:13:29 | [CMD] ahmet55(14) => /work
0:13:38 | Jodor(9): ben de diyorum ne diyor :D
0:13:40 | sezzer(10): çayý fazla kaçýrýdm
0:13:48 | [CMD] Karpuzlupasta(13) => /araba
0:13:54 | Madness(7): ben çaya limon attým
0:13:58 | sezzer(10): off
0:13:59 | Jodor(9): husonun kýrmýzýsý gözüküyor bana
0:14:4 | Jodor(9): ceza mý var
0:14:11 | Sahildeniz(8): bende pazardan ak47 aldým temiz 2. el mal
0:14:12 | huso608(12): asiriyuk var
0:14:13 | sezzer(10): hiç çaya kolonya döküo içtiniz mi
0:14:14 | Sahildeniz(8): almak isteyen varmý
0:14:16 | sezzer(10): bikaç damla
0:14:17 | Jodor(9): he
0:14:19 | sezzer(10): süper oluyo
0:14:20 | Madness(7): ekmek bandým
0:14:20 | Jodor(9): mafya bugu
0:14:21 | Karpuzlupasta(13): abiyey baya 1m atcak vaymý
0:14:25 | [CMD] Jodor(9) => /sirket
0:14:38 | Karpuzlupasta(13): boyçuz ha
0:14:38 | Madness(7): çaya ekmek banýn güzel oluyo
0:14:41 | [CMD] Sahildeniz(8) => /cevir
0:14:42 | Karpuzlupasta(13): neyy
0:14:43 | sezzer(10): onu yaptým
0:14:46 | Karpuzlupasta(13): çaya ekmek bi
0:14:48 | sezzer(10): küçükken çok yapardým
0:14:51 | huso608(12): @8 gercek istrsen arabamla tanýstýrayým
0:14:52 | sezzer(10): evet güzel oluyo
0:14:59 | huso608(12): pompalý cift patlar var
0:15:4 | Karpuzlupasta(13): abi size dünyanýn en sinir bozucu þeyini söyleyeyimmi
0:15:10 | sezzer(10): söle
0:15:12 | Karpuzlupasta(13): çaya bisküvi banarken kýrýlýyo
0:15:14 | Karpuzlupasta(13): deli oluyom
0:15:19 | Karpuzlupasta(13): içine batýyo
0:15:21 | Madness(7): içine kaçýyo
0:15:21 | huso608(12): kasýkla ye
0:15:25 | [CMD] Sahildeniz(8) => /vtamir
0:15:27 | Karpuzlupasta(13): öyle yapýyom :D
0:15:28 | [CMD] Sahildeniz(8) => /tamir
0:15:29 | Madness(7): sonra onu kasýkla alýrken daðýlýyo
0:15:31 | huso608(12): hic kafa da mý basmýyor
0:15:35 | [CMD] DarkFlow(17) => /c sen dnm et
0:15:35 | Karpuzlupasta(13): W:QEQW:E
0:15:40 | [CMD] DarkFlow(17) => /convoyayril
0:15:41 | [CMD] Madness(7) => /work
0:15:44 | [CMD] DarkFlow(17) => /rescue
0:15:45 | [CMD] Madness(7) => /goreviptal
0:15:51 | [CMD] Madness(7) => /convoy
0:15:54 | Karpuzlupasta(13): bana 1m atcak yüreklþ varmý bisiklete karavan takcam aþýrý merak ettim :D
0:15:55 | [CMD] Madness(7) => /convoykapat
0:15:58 | [CMD] Madness(7) => /convoyayril
0:16:0 | [CMD] Madness(7) => /work
0:16:10 | huso608(12): gecen sen bisikkleti ne yaptýn
0:16:16 | buyukustadbitti(11): oyundaki en kötü meslek sizce ne bence gemici
0:16:16 | Sahildeniz(8): Sezeear
0:16:19 | Karpuzlupasta(13): aldým
0:16:25 | huso608(12): ee
0:16:27 | Jodor(9): en zevkli gemici de neyse
0:16:27 | Karpuzlupasta(13): ee
0:16:28 | sezzer(10): efendim
0:16:31 | [CMD] Jodor(9) => /araba
0:16:33 | Sahildeniz(8): haritaya baksana bi
0:16:36 | buyukustadbitti(11): bitmiyo lan
0:16:36 | huso608(12): bisiklet ne oldu
0:16:40 | sezzer(10): neden
0:16:44 | [LOCAL]DarkFlow(17): adý ne olucak sirketin
0:16:44 | [CMD] DarkFlow(17) => /l adý ne olucak sirketin
0:16:46 | Sahildeniz(8): bak bi
0:16:49 | [CMD] Jodor(9) => /kemer
0:16:50 | Karpuzlupasta(13): duruyo
0:16:56 | huso608(12): taksana arkayas
0:16:58 | [LOCAL]Jodor(9): ART NAKLÝYAT 
0:16:58 | [CMD] Jodor(9) => /l ART NAKLÝYAT 
0:17:1 | Karpuzlupasta(13): karavan yok
0:17:3 | [CMD] Sahildeniz(8) => /cevir
0:17:10 | huso608(12): aldým dedin ya aksam
0:17:10 | [LOCAL]DarkFlow(17): acýlýmý
0:17:10 | [CMD] DarkFlow(17) => /l acýlýmý
0:17:10 | [CMD] sezzer(10) => /araba
0:17:15 | Karpuzlupasta(13): hga
0:17:20 | [LOCAL]Jodor(9): Sanat demek Art 
0:17:20 | [CMD] Jodor(9) => /l Sanat demek Art 
0:17:22 | Karpuzlupasta(13): sattým onu binilmiyo diye :D
0:17:29 | [LOCAL]DarkFlow(17): tmm
0:17:29 | [CMD] DarkFlow(17) => /l tmm
0:17:30 | Sahildeniz(8): of yav
0:17:30 | huso608(12): sen degisikmisin
0:17:39 | Karpuzlupasta(13): bisikleti geri ald
0:17:42 | Karpuzlupasta(13): bisikleti geri aldým
0:17:43 | Sahildeniz(8): sezeer
0:17:45 | [LOCAL]Jodor(9): ust taraf fena deðil 
0:17:45 | [CMD] Jodor(9) => /l ust taraf fena deðil 
0:17:46 | [CMD] buyukustadbitti(11) => /work
0:17:48 | [LOCAL]DarkFlow(17): nezaman acýcan
0:17:48 | [CMD] DarkFlow(17) => /l nezaman acýcan
0:17:50 | sezzer(10): he
0:17:52 | Sahildeniz(8): dön bida gel
0:17:53 | [CMD] Sahildeniz(8) => /tamir
0:17:58 | sezzer(10): baþka suçlu var
0:18:3 | [LOCAL]Jodor(9): 2-3 güne açýlýr galiba 
0:18:3 | [CMD] Jodor(9) => /l 2-3 güne açýlýr galiba 
0:18:9 | [CMD] HeRquL(6) => /adminol
0:18:10 | [CMD] HeRquL(6) => /adminol
0:18:11 | HeRquL(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:18:13 | [LOCAL]DarkFlow(17): yer  burasýmý
0:18:13 | [CMD] DarkFlow(17) => /l yer  burasýmý
0:18:14 | huso608(12): ßß
0:18:15 | Madness(7): nereye
0:18:21 | [LOCAL]Jodor(9): burasý nasýl
0:18:21 | [CMD] Jodor(9) => /l burasý nasýl
0:18:28 | Karpuzlupasta(13): 1m atýn pls
0:18:29 | [LOCAL]Jodor(9): ya burasý ya da harbour un yaný 
0:18:29 | [CMD] Jodor(9) => /l ya burasý ya da harbour un yaný 
0:18:36 | huso608(12): calýs biraz calýs
0:18:36 | Karpuzlupasta(13): 1m atýn pls çýkcam þimdi :D
0:18:37 | Madness(7): 1m satýlýr 10tl
0:18:41 | huso608(12): pas tuttun iyice
0:18:45 | Karpuzlupasta(13): :D
0:18:47 | [LOCAL]Jodor(9): inme
0:18:47 | [CMD] Jodor(9) => /l inme
0:18:49 | [LOCAL]DarkFlow(17): harbourun oraya bakalým
0:18:49 | [CMD] DarkFlow(17) => /l harbourun oraya bakalým
0:18:50 | [CMD] Jodor(9) => /rescue
0:18:52 | Karpuzlupasta(13): ýdi sonü
0:18:56 | Karpuzlupasta(13): ýdi son ýdi be ya
0:19:0 | [CMD] Karpuzlupasta(13) => /pcc
0:19:15 | [CMD] Karpuzlupasta(13) => /pcc
0:19:18 | [CMD] Jodor(9) => /araba
0:19:21 | Jodor(9): l
0:19:22 | [CMD] buyukustadbitti(11) => /basarimlar
0:19:25 | Jodor(9): lag
0:19:49 | Jodor(9): lag
0:19:52 | [CMD] Jodor(9) => /araba
0:19:59 | Jodor(9): lag mý var
0:20:3 | huso608(12): yok
0:20:6 | hotlig(36) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:20:7 | Jodor(9): ben de sýkýntý var ya
0:20:9 | Madness(7): sabah sýnav var ben burda hala týr sürüyom
0:20:11 | Jodor(9): dark bekle geliyorum
0:20:12 | DarkFlow(17): yok suan
0:20:12 | sezzer(10): ben meslek deðiþiyom
0:20:14 | Jodor(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:20:18 | [CMD] sezzer(10) => /meslek
0:20:21 | [KAMYONCU] huso608, Longway Warehouse'den Harbour Island Warehouse'e Elektronik Esyalar tasidi. Kazanc: 539817$, 1 Skor ve 5 EXP Sure: 554 Saniye
0:20:25 | sezzer(10) Itfaiyeci olarak spawn oldu.
0:20:29 | [CMD] huso608(12) => /work
0:20:36 | sezzer(10): araç res
0:20:40 | Jodor(6) oyuna girdi [IP: 78.168.26.18]
0:20:40 | [CMD] sezzer(10) => /araba
0:20:41 | [CMD] huso608(12) => /asiriyuk
0:20:44 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
0:20:47 | [CMD] Madness(7) => /saat 0
0:20:47 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
0:20:49 | [CMD] Madness(7) => /tamir
0:20:49 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
0:20:50 | 
0:20:51 | [CMD] huso608(12) => /respawncars
0:20:51 | [CMD] huso608(12) => /cantazele
0:20:53 | {FFCC00}Jodor(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:20:57 | [CMD] huso608(12) => /asiriyuk
0:20:57 | [CMD] Jodor(6) => /rescue
0:21:1 | Jodor(6): lv
0:21:11 | [CMD] DarkFlow(17) => /rescue
0:21:18 | [CMD] Jodor(6) => /myskin 294
0:21:24 | [CMD] Jodor(6) => /araba
0:21:31 | Madness(7): sabah matematýk sýnavý var ayol
0:21:38 | huso608(12): @7 calýs
0:21:44 | Madness(7): zekicee
0:21:44 | Jodor(6): 2+2 kaç eder
0:21:47 | buyukustadbitti(11): aynn bnmde
0:21:47 | [LOCAL]DarkFlow(17): araba aldým
0:21:47 | [CMD] DarkFlow(17) => /l araba aldým
0:21:52 | [LOCAL]DarkFlow(17): inf
0:21:52 | [CMD] DarkFlow(17) => /l inf
0:21:55 | [LOCAL]Jodor(6): hangisini
0:21:55 | [CMD] Jodor(6) => /l hangisini
0:21:57 | [LOCAL]Jodor(6): ooo
0:21:57 | [CMD] Jodor(6) => /l ooo
0:21:59 | Madness(7): bildimmi
0:22:3 | [LOCAL]Jodor(6): yarýþalým
0:22:3 | [CMD] Jodor(6) => /l yarýþalým
0:22:7 | Jodor(6): bildin
0:22:7 | [LOCAL]DarkFlow(17): tmm
0:22:7 | [CMD] DarkFlow(17) => /l tmm
0:22:15 | sezzer(10): ulan adam 2+2 nin 7 olduðunu bile bilmiyo
0:22:16 | [CMD] Jodor(6) => /kemer
0:22:16 | Madness(7): yes be
0:22:18 | sezzer(10): nasý geççen sýnavý
0:22:25 | Karpuzlupasta(13) oyundan cIktI (Hata/Crash) (IP: 195.155.124.186)
0:22:31 | Madness(7): kaldýk
0:22:48 | [CMD] Sahildeniz(8) => /work
0:22:49 | Madness(7): full trigonometri
0:22:51 | buyukustadbitti(11): bn boþ kaðýt veriom
0:22:53 | Madness(7): klasik 10 soru
0:22:56 | [LOCAL]Jodor(6): çok feci lag var
0:22:56 | [CMD] Jodor(6) => /l çok feci lag var
0:22:57 | sezzer(10): ulan oyunda sentinel kadar karizmatik 4 kapýlý baþka araç yok
0:23:1 | [CMD] Sahildeniz(8) => /tamir
0:23:2 | ahmet55(14): beným matematýk lýse býtýme kadar 1 dý :D
0:23:4 | sezzer(10): tipe bak þunun
0:23:6 | sezzer(10): yalarým
0:23:15 | [LOCAL]DarkFlow(17): biraz var 
0:23:15 | [CMD] DarkFlow(17) => /l biraz var 
0:23:26 | [LOCAL]Jodor(6): düzeldi 
0:23:26 | [CMD] Jodor(6) => /l düzeldi 
0:23:26 | Madness(7): @14 simdi ne okuyon
0:23:32 | ahmet55(14): ise
0:23:34 | ahmet55(14): is
0:23:36 | huso608(12): o da bilmiyor
0:23:39 | Madness(7): :D
0:23:41 | [LOCAL]Jodor(6): burasý nasýl
0:23:41 | [CMD] Jodor(6) => /l burasý nasýl
0:23:42 | [LOCAL]DarkFlow(17): madness lagger :D
0:23:42 | [CMD] DarkFlow(17) => /l madness lagger :D
0:23:44 | ahmet55(14): :D
0:23:52 | Madness(7): üni mezunumusun
0:23:52 | Jodor(6): madness çýk
0:23:56 | [CMD] nik0tin(16) => /musait 
0:23:57 | ahmet55(14): universte okumadým
0:23:57 | huso608(12): evet
0:24:0 | [CMD] Sahildeniz(8) => /tamir
0:24:3 | Jodor(6): 546 ping
0:24:6 | Jodor(6): ne
0:24:7 | [CMD] buyukustadbitti(11) => /basarimlar
0:24:9 | Madness(7): niye çýkym jodor
0:24:14 | Jodor(6): matematiðime mi çalýþýyorsun
0:24:17 | Madness(7): dur görev bitsin çýkýcam
0:24:17 | DarkFlow(17): modem resle madness
0:24:22 | [CMD] sezzer(10) => /stamir
0:24:28 | buyukustadbitti(11): aranizda ucuza ev satan varmý
0:24:33 | Madness(7): 80 yazýyo
0:24:37 | Madness(7): aha 337 oldu
0:24:45 | [LOCAL]Jodor(6): nasýl burasý 
0:24:45 | [CMD] Jodor(6) => /l nasýl burasý 
0:24:47 | Madness(7): dur býtsýn cýkyýom
0:24:48 | [LOCAL]DarkFlow(17): iyi gibi
0:24:48 | [CMD] DarkFlow(17) => /l iyi gibi
0:24:48 | [LOCAL]Jodor(6): bura olur ya
0:24:48 | [CMD] Jodor(6) => /l bura olur ya
0:24:52 | [CMD] nik0tin(16) => /spec 7 
0:24:54 | [CMD] huso608(12) => /fuel
0:24:55 | [LOCAL]DarkFlow(17): tmm
0:24:55 | [CMD] DarkFlow(17) => /l tmm
0:24:59 | [LOCAL]Jodor(6): avrasayayý silerse alacam
0:24:59 | [CMD] Jodor(6) => /l avrasayayý silerse alacam
0:25:1 | huso608(12): nereye
0:25:2 | Madness(7): matematýk calýsýyodm :D
0:25:15 | Madness(7): calýsmaya gýtcem sabaha kadar
0:25:21 | huso608(12): calýs calýs calýsan demir isýldar
0:25:24 | nik0tin(16): ne çalýþýyosun 
0:25:26 | [LOCAL]DarkFlow(17): surekli týr kasmak gerekir :D
0:25:26 | [CMD] DarkFlow(17) => /l surekli týr kasmak gerekir :D
0:25:26 | Jodor(6): kaçtasýn
0:25:28 | Madness(7): matematýk
0:25:31 | buyukustadbitti(11): Aranýzda ev satan varmý
0:25:31 | nik0tin(16): konu
0:25:33 | [CMD] Sahildeniz(8) => /asiriyuk
0:25:36 | [CMD] Sahildeniz(8) => /asiriyuk
0:25:36 | Madness(7): trigonometri
0:25:36 | [LOCAL]Jodor(6): kasarýz baba :) 
0:25:36 | [CMD] Jodor(6) => /l kasarýz baba :) 
0:25:50 | nik0tin(16): bende sandýmki türev integral çalýþýyor :D 
0:25:52 | [CMD] buyukustadbitti(11) => /WORK
0:25:53 | [LOCAL]DarkFlow(17): eskisi gibi kasamayabilirim
