0:0:4 | [CMD] GeneralRookie(8) => /work
0:3:23 | [CMD] GeneralRookie(8) => /l sen tek baþýna devam et hacý
0:3:24 | [CMD] [S]eas(19) => /vtamir
0:3:25 | [CMD] DarkFlow(11) => /work
0:3:26 | [CMD] CemalAdiyaman(15) => /karakol
0:3:27 | [CMD] ahmut(10) => /saat 12
0:3:27 | [CMD] Gezegen(9) => /adminol
0:3:29 | [CMD] Gezegen(9) => /bb
0:3:30 | [CMD] Gezegen(9) => /adminol
0:3:30 | [CMD] Gezegen(9) => /bb
0:3:31 | GeneralRookie(8): bb
0:3:32 | Gezegen(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:3:33 | [CMD] ahmut(10) => /tamir
0:3:33 | [CMD] DarkFlow(11) => /bb
0:3:36 | [CMD] huso608(7) => /isyeriolustur
0:3:37 | [CMD] CemalAdiyaman(15) => /karakol
0:3:39 | [CMD] DarkFlow(11) => /asiriyuk
0:3:41 | [S]eas(19): general
0:3:42 | [CMD] GeneralRookie(8) => /convoyat 19
0:3:44 | [CMD] GeneralRookie(8) => /convoyayril
0:3:47 | [CMD] CemalAdiyaman(15) => /cezaode
0:3:49 | [CMD] GeneralRookie(8) => /Meslek
0:3:50 | [S]eas(19): yarýn gene yapak
0:3:51 | [CMD] CemalAdiyaman(15) => /meslke
0:3:51 | [CMD] GeneralRookie(8) => /Meslek
0:3:53 | [CMD] GeneralRookie(8) => /Meslek
0:3:54 | [CMD] CemalAdiyaman(15) => /meslek
0:4:3 | CemalAdiyaman(15) Pizzaci olarak spawn oldu.
0:4:11 | [CMD] CemalAdiyaman(15) => /kemer
0:4:12 | [CMD] huso608(7) => /fly
0:4:12 | [CMD] CemalAdiyaman(15) => /work
0:4:19 | [CMD] GeneralRookie(8) => /work
0:4:19 | [CMD] [S]eas(19) => /vtamir
0:4:26 | [S]eas(19): polis
0:4:46 | huso608(7): @19 /karakol /cezaode
0:4:57 | [CMD] ahmut(10) => /pcc
0:5:8 | [CMD] [S]eas(19) => /vtamir
0:5:22 | [S]eas(19): general
0:5:33 | [CMD] huso608(7) => /evolustur
0:5:36 | [S]eas(19): general
0:5:38 | [CMD] huso608(7) => /eviolustur
0:5:38 | [CMD] GeneralRookie(8) => /work
0:5:39 | [CMD] ahmut(10) => /tamir
0:5:41 | GeneralRookie(8): efendim
0:5:42 | [S]eas(19): general sizi takip edim
0:5:46 | GeneralRookie(8): niye?
0:5:50 | [CMD] CemalAdiyaman(15) => /work
0:5:51 | [S]eas(19): öylesine
0:6:5 | [CMD] GeneralRookie(8) => /work
0:6:14 | [CMD] huso608(7) => /dtemizle
0:6:27 | [CMD] [S]eas(19) => /vtamir
0:6:34 | GeneralRookie(8): seas hacý
0:6:34 | [CMD] ahmut(10) => /kemer
0:6:38 | [S]eas(19): he
0:6:41 | GeneralRookie(8): sen skor kas.
0:6:44 | [CMD] GeneralRookie(8) => /work
0:6:48 | [S]eas(19): kasýlmýyorký
0:6:54 | GeneralRookie(8): 9 skor veriyor.
0:6:55 | [CMD] ahmut(10) => /cevir
0:6:56 | [CMD] ahmut(10) => /tamir
0:6:59 | [CMD] [S]eas(19) => /vtamir
0:7:0 | GeneralRookie(8): ayný mesafe yap.
0:7:2 | [CMD] huso608(7) => /evisil
0:7:3 | [CMD] GeneralRookie(8) => /work
0:7:25 | [CMD] huso608(7) => /evisil 16
0:7:46 | [CMD] GeneralRookie(8) => /work
0:8:11 | [CMD] CemalAdiyaman(15) => /work
0:8:11 | [CMD] [S]eas(19) => /vtamir
0:8:27 | [CMD] ahmut(10) => /meslek
0:8:31 | [CMD] GeneralRookie(8) => /work
0:8:35 | {FFCC00}ahmut(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:8:57 | [CMD] ahmut(10) => /modifiye
0:9:18 | [CMD] ahmut(10) => /sirketdorse
0:9:20 | GeneralRookie(8): seas gorev yapýyorum hacý.
0:9:22 | GeneralRookie(8): engel olma lütfen.
0:9:25 | [CMD] huso608(7) => /isyeriolustur
0:9:28 | [CMD] CemalAdiyaman(15) => /bb
0:9:28 | [CMD] ahmut(10) => /work
0:9:31 | [S]eas(19): nasýl yapýcam dýyom
0:9:33 | [CMD] GeneralRookie(8) => /bb
0:9:34 | CemalAdiyaman(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:9:40 | [CMD] ahmut(10) => /pcc
0:9:44 | [S]eas(19): nasýl yapýcam dýyom
0:9:49 | GeneralRookie(8): neyi hacý?
0:9:55 | [CMD] huso608(7) => /isyerisil 632
0:9:56 | [S]eas(19): daha demýn yaptýgýmýzý
0:10:8 | [CMD] huso608(7) => /isyeriolustur
0:10:17 | [CMD] huso608(7) => /isyeriolustur
0:10:23 | [S]eas(19): daha demýn yaptýgýmýzý sole da
0:10:30 | [CMD] huso608(7) => /isyerisil 632
0:10:31 | [CMD] huso608(7) => /isyerisil 632
0:10:37 | [CMD] [S]eas(19) => /vtamir
0:10:37 | [CMD] huso608(7) => /isyeriolustur
0:10:39 | [CMD] GeneralRookie(8) => /rapor 19 meslek yapmama engel oluyor.
0:10:41 | [CMD] [S]eas(19) => /vtamir
0:10:45 | [CMD] huso608(7) => /isyerisil 632
0:10:54 | [CMD] huso608(7) => /spec 8
0:11:1 | GeneralRookie(8): hacý verirmisin 
0:11:7 | GeneralRookie(8): görev gidecek
0:11:9 | [S]eas(19): sole da
0:11:20 | [S]eas(19): sole lutfen
0:11:20 | GeneralRookie(8): sf-lv yapacaksýn diyorum.
0:11:25 | [CMD] huso608(7) => /jail 19 300 Gorev Engelleme
0:11:39 | [CMD] ahmut(10) => /asiriyuk
0:11:44 | [CMD] huso608(7) => /spec 19
0:11:46 | [CMD] huso608(7) => /spec 19
0:11:49 | [CMD] huso608(7) => /cantazele
0:11:51 | [CMD] huso608(7) => /specoff
0:11:52 | {FFCC00}huso608(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:1 | [CMD] huso608(7) => /isyeriolustur
0:12:2 | [CMD] GeneralRookie(8) => /work
0:12:9 | [CMD] huso608(7) => /isyeriolustur
0:12:25 | [CMD] huso608(7) => /isyerisil 632
0:12:26 | [CMD] huso608(7) => /isyerisil 632
0:12:29 | [CMD] GeneralRookie(8) => /work
0:12:33 | [CMD] huso608(7) => /isyeriolustur
0:12:41 | [CMD] huso608(7) => /isyeriolustur
0:12:48 | [CMD] huso608(7) => /isyerisil 632
0:12:50 | [CMD] GeneralRookie(8) => /work
0:12:51 | [CMD] huso608(7) => /isyerisil 632
0:12:55 | [CMD] huso608(7) => /isyerisil 633
0:12:55 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 539817$, 1 Skor ve 5 EXP Sure: 446 Saniye
0:13:5 | [CMD] DarkFlow(11) => /sirket
0:13:7 | [S]eas(19): general sole affetsýn
0:13:10 | [CMD] huso608(7) => /fly
0:13:13 | [S]eas(19): huso affet da
0:13:14 | [CMD] DarkFlow(11) => /vbenzin
0:13:22 | [S]eas(19): çýkar skor kasýcam
0:13:32 | huso608(7): zamanýnýz dolunca cýkarsýnýz
0:13:33 | [KAMYONCU] ahmut, LV Farm'den Las Venturas Mall'e Icecek tasidi. Kazanc: 19167$, 2 Skor ve 5 EXP Sure: 92 Saniye
0:13:42 | [CMD] ahmut(10) => /bira
0:13:49 | [CMD] huso608(7) => /isyeriolustur
0:13:52 | [CMD] ahmut(10) => /elsalla
0:13:58 | [CMD] ahmut(10) => /elsalla
0:14:6 | ahmut(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:14:7 | [CMD] huso608(7) => /isyeriolustur
0:14:13 | [CMD] huso608(7) => /isyeriolustur
0:14:23 | [CMD] huso608(7) => /isyeriolustur
0:14:29 | [CMD] huso608(7) => /isyeriolustur
0:14:30 | [CMD] GeneralRookie(8) => /adminol
0:14:38 | GeneralRookie(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:14:40 | [CMD] huso608(7) => /isyeriolustur
0:14:41 | [CMD] DarkFlow(11) => /bb
0:14:50 | [CMD] huso608(7) => /isyerisil 633
0:14:54 | [CMD] huso608(7) => /isyerisil 633
0:14:55 | [CMD] huso608(7) => /isyerisil 633
0:14:58 | [CMD] huso608(7) => /isyerisil 633
0:14:59 | [CMD] huso608(7) => /isyerisil 633
0:15:0 | [CMD] huso608(7) => /isyerisil 633
0:15:2 | [CMD] huso608(7) => /isyerisil 633
0:15:11 | [CMD] DarkFlow(11) => /pm 7 playerda kalmadý docka bekliyom :d
0:15:22 | [CMD] huso608(7) => /pm 11 anlasýldý tmm
0:15:26 | [CMD] huso608(7) => /goto 11
0:15:29 | [CMD] DarkFlow(11) => /convoy
0:15:42 | [CMD] huso608(7) => /fly
0:15:55 | [CMD] huso608(7) => /goto 11
0:16:6 | [CMD] huso608(7) => /goto 11
0:16:19 | [CMD] huso608(7) => /car roadtrain 5 5
0:16:30 | [CMD] huso608(7) => /trailer
0:16:34 | [CMD] DarkFlow(11) => /sirket
0:16:56 | [CMD] huso608(7) => /convoy
0:17:1 | [CMD] DarkFlow(11) => /work
0:17:14 | [CMD] huso608(7) => /asiriyuk
0:17:14 | [CMD] DarkFlow(11) => /asiriyuk
0:17:15 | [CMD] DarkFlow(11) => /asiriyuk
0:17:33 | [CMD] DarkFlow(11) => /c slot bugu duzeldi
0:17:37 | {FFCC00}[S]eas(19) Otobus Soforu olarak spawn oldu.
0:17:42 | [CMD] huso608(7) => /c benim isim bu
0:17:53 | [CMD] DarkFlow(11) => /c aslan demiþ evo halletmiþ 
0:18:1 | [S]eas(19): general
0:18:6 | [CMD] [S]eas(19) => /karakol
0:18:8 | huso608(7): gitti
0:18:16 | [CMD] [S]eas(19) => /cezaode
0:18:21 | [CMD] [S]eas(19) => /rescue
0:18:33 | [CMD] DarkFlow(11) => /c bakan yoktu yoksa 
0:18:34 | [CMD] [S]eas(19) => /work
0:18:35 | [CMD] [S]eas(19) => /rescue
0:18:37 | [CMD] [S]eas(19) => /work
0:18:45 | [CMD] huso608(7) => /c ben sancagý aradým
0:18:53 | [CMD] DarkFlow(11) => /c laylay lom 
0:19:3 | [CMD] DarkFlow(11) => /c :D
0:19:31 | [CMD] DarkFlow(11) => /c adam saniyesinde düzeltmiþ la :D
0:19:46 | [S]eas(19): huso
0:19:47 | [CMD] huso608(7) => /c evoturk yapar
0:19:53 | huso608(7): buyrun
0:19:58 | [S]eas(19): vip yizya
0:20:2 | huso608(7): evet
0:20:3 | DarkFlow(11): evet
0:20:5 | [S]eas(19): fazla skor verýyor demý
0:20:8 | DarkFlow(11): he
0:20:15 | huso608(7): meslege gore degisir
0:20:20 | [S]eas(19): ne kadar fazka
0:20:28 | DarkFlow(11): normalde otobus 3 skor
0:20:44 | [S]eas(19): týr
0:20:52 | [CMD] huso608(7) => /sac
0:20:54 | DarkFlow(11): 2 skor
0:21:9 | DarkFlow(11): viple kaç skor huso
0:21:9 | [S]eas(19): polis
0:21:18 | huso608(7): 6 skor galiba
0:21:23 | DarkFlow(11): hmm
0:21:24 | huso608(7): 3 katý
0:21:38 | [S]eas(19): polis
0:21:41 | DarkFlow(11): polis meslegi 1000skor
0:21:43 | huso608(7):   /karakol
0:22:4 | [S]eas(19): polis kaç skor verýyor 1 suclu yakalarsak
0:22:13 | DarkFlow(11): yýldýzýa göre
0:22:13 | [OTOBUSCU] [S]eas, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 39714$ ve 9 Skor Sure: 3139 Saniye
0:22:15 | huso608(7): suclunun yýldýzýna gore verir
0:22:18 | DarkFlow(11): degisiyor
0:22:18 | [CMD] [S]eas(19) => /warp
0:22:22 | [CMD] [S]eas(19) => /work
0:22:42 | [S]eas(19): 2 yýldýz dýyelým 2 mý oluyor
0:22:48 | huso608(7): 2 skor
0:23:7 | [CMD] [S]eas(19) => /warp/vtamir
0:23:11 | [CMD] [S]eas(19) => /vtamir
0:23:15 | [S]eas(19): teþekkur ederim
0:23:18 | DarkFlow(11): senin onlara çok yolun var 
0:23:44 | huso608(7): her seyin ilacý zaman
0:23:44 | DarkFlow(11): otobus kas
0:23:53 | DarkFlow(11): skor için
0:24:8 | [S]eas(19): suan ole yapýyom
0:24:26 | [CMD] DarkFlow(11) => /c konu açmýþmý foruma 
0:24:31 | [CMD] DarkFlow(11) => /c sezzer 
0:24:35 | [CMD] huso608(7) => /c yok bea
0:24:42 | [S]eas(19): siz 31k skoru nasýl kastýnýz
0:24:42 | [CMD] huso608(7) => /c biliyor hatasýný
0:24:47 | [CMD] DarkFlow(11) => /c hmm
0:24:52 | huso608(7): emek vererek + zaman
0:25:5 | [S]eas(19): ne kadar
0:25:10 | DarkFlow(11): 240 saat oynayarak
0:25:12 | huso608(7): 8 ay oldu
0:25:22 | [S]eas(19): oynama saati nerde
0:25:28 | DarkFlow(11):  /basarimlar
0:25:34 | [CMD] huso608(7) => /istatislik
0:25:39 | [CMD] huso608(7) => /istatistik
0:25:40 | [CMD] [S]eas(19) => /basarimlar
0:25:43 | [CMD] huso608(7) => /stats
0:25:47 | huso608(7):   /stats
0:25:58 | DarkFlow(11): ordanda bakarsýn
0:26:3 | [S]eas(19): 13 saat
0:26:15 | huso608(7):   /stats
0:26:19 | [CMD] [S]eas(19) => /stats
0:26:20 | [CMD] huso608(7) => /stats
0:26:30 | [CMD] DarkFlow(11) => /stats
0:26:36 | [S]eas(19): þey
0:26:45 | [S]eas(19): bu çaylak sofor nasýl artar
0:26:49 | DarkFlow(11): 50 gun bnm
0:26:50 | huso608(7):   /ranklar
0:26:56 | DarkFlow(11): :D
0:27:0 | [CMD] [S]eas(19) => /ranklar
0:27:3 | huso608(7): meslekleri yapýnca skorlarýn artar
0:27:9 | [CMD] [S]eas(19) => /vtamir
0:27:12 | DarkFlow(11): senin kaç huso
0:27:16 | DarkFlow(11): onlinen
0:27:19 | [CMD] huso608(7) => /stats
0:27:26 | huso608(7): 42 gun
0:27:29 | DarkFlow(11): :D
0:27:29 | [CMD] [S]eas(19) => /ranklar
0:27:30 | huso608(7): :D
0:27:35 | DarkFlow(11): i,yi
0:27:49 | huso608(7): bugun cok yoruldum murat
0:27:56 | huso608(7): dun internet yoktu
0:27:58 | huso608(7): giremedim
0:27:59 | [OTOBUSCU] [S]eas, Las Venturas Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 39714$ ve 9 Skor Sure: 3404 Saniye
0:28:0 | DarkFlow(11): hmm
0:28:4 | [CMD] [S]eas(19) => /work
0:28:6 | huso608(7): sabah gelir gelmez sw de idim
0:28:12 | DarkFlow(11): kaç gibi
0:28:23 | huso608(7): yanlýs olmasýn 9 gibi idi
0:28:31 | huso608(7): 12 de cýktým
0:28:34 | DarkFlow(11): 12 de benmi girmiþtim
0:28:37 | huso608(7): cagýrdýkca girdim
0:28:43 | huso608(7): aynen o civarlarda
0:28:56 | DarkFlow(11): çýk gir yapmýþtýn sen :D
0:29:7 | huso608(7): delirttiler beni
0:29:22 | huso608(7): diger adminler yok islerim var diyor dakika basý ben
0:29:24 | DarkFlow(11): delirtirler valla
0:29:41 | huso608(7): hatunun evinden giriyordum
0:29:45 | DarkFlow(11): :D
0:29:51 | [S]eas(19): huso sen admýnsýn demý
0:29:58 | huso608(7): evet
0:30:2 | [CMD] DarkFlow(11) => /sirket
0:30:2 | huso608(7):   /admins
0:30:8 | [S]eas(19): foruma giriyom sýmdý
0:30:15 | [S]eas(19): olumlu yorum yapýcam
0:30:19 | [S]eas(19): olumlu yorum yapýcam nasýl olucak
0:30:52 | huso608(7): olumlu yorum bizde olmuyor sadece sikayet bug gibi olaylarý paylasabiliyorsunuz
0:30:55 | [CMD] huso608(7) => /asay VIP-PARA-SKOR-SIRKET-GISE Vb.Urunlerden Satin Almak Isteyenler Forumdan Alabilirsiniz http://www.trucksamp.com... 
0:31:7 | [S]eas(19): tüh
0:31:10 | [OTOBUSCU] [S]eas, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 39714$ ve 9 Skor Sure: 3548 Saniye
0:31:15 | [S]eas(19): neyse bb
0:31:21 | huso608(7): alýstým artýk sikayet yemekten
0:31:28 | huso608(7): iyilik yaparým sikayet yerim
0:31:29 | huso608(7): :D
0:31:34 | DarkFlow(11): :/
0:31:35 | [S]eas(19): :D
0:31:39 | [CMD] DarkFlow(11) => /bb
0:31:39 | [S]eas(19): kolay gelsýn sýze
0:31:42 | [CMD] [S]eas(19) => /gg
0:31:43 | huso608(7): ßß
0:31:46 | [CMD] [S]eas(19) => /g
0:31:51 | [CMD] DarkFlow(11) => /c dvmmý
0:31:52 | [S]eas(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:31:53 | [CMD] DarkFlow(11) => /work
0:31:58 | [CMD] huso608(7) => /c kimse var mý
0:32:0 | [CMD] huso608(7) => /c :D
0:32:8 | [CMD] huso608(7) => /asiriyuk
0:32:8 | [CMD] DarkFlow(11) => /asiriyuk
0:32:10 | [CMD] DarkFlow(11) => /asiriyuk
0:32:11 | [CMD] DarkFlow(11) => /asiriyuk
0:32:20 | DarkFlow(11): biz varýz
0:32:22 | DarkFlow(11): :D
0:32:24 | huso608(7): :D
0:33:12 | DarkFlow(11): iyi kaydýrdýn
0:33:25 | huso608(7): senden ogrendik sonucta
0:33:29 | DarkFlow(11): :D
0:33:49 | DarkFlow(11): eskisi gibi süremýyom
0:33:55 | huso608(7): ne oldu
0:33:58 | DarkFlow(11): bilmem
0:34:24 | huso608(7): sýkýlmaya mý basladýn
0:34:29 | DarkFlow(11): olabilir
0:34:42 | huso608(7): bir de gereksiz banlar
0:34:46 | DarkFlow(11): evet
0:34:53 | DarkFlow(11): anladýn
0:35:30 | huso608(7): seviyesiz userler de var ya onlarýn hep etksi
0:35:35 | [CMD] huso608(7) => /vtamir
0:35:38 | DarkFlow(11): ayn
0:36:42 | DarkFlow(11): disco renk hoþuma gitti :D
0:36:47 | huso608(7): :D
0:36:53 | DarkFlow(11): çözumu var ama
0:36:57 | DarkFlow(11): gerek yok
0:37:10 | huso608(7): modifiye mi
0:37:14 | DarkFlow(11): hayýr
0:37:39 | DarkFlow(11): renkleri durdurmak için modem+ pc rest gerekiyo
0:38:4 | huso608(7): :D
0:38:7 | DarkFlow(11): :D
0:38:35 | [CMD] huso608(7) => /cevir
0:39:2 | DarkFlow(11): :/
0:39:9 | huso608(7): asirihýz
0:39:17 | DarkFlow(11): vip araçlarýda gitmiyo resleyince :D
0:39:32 | huso608(7): aynen
0:40:10 | DarkFlow(11): normal araçlarda öyle yapsalar tadýndan yenmez :D
0:40:33 | DarkFlow(11): þirket araçalrý gibi
0:40:34 | huso608(7): bunlar bile mucizedir
0:40:46 | DarkFlow(11): :D
0:40:50 | [CMD] huso608(7) => /vtamir
0:41:6 | DarkFlow(11): yeni þeyler gelir gibi
0:41:27 | huso608(7): evoturk ile matite yaparsa gelir
0:41:33 | DarkFlow(11): ayn
0:41:50 | huso608(7): digerleri isi geyige alýyorlar
0:41:56 | DarkFlow(11): new maplarda gelsin bi hayýrlýsýyla
0:42:1 | DarkFlow(11): evey
0:42:3 | DarkFlow(11): ayn
0:42:10 | huso608(7): bi tane var galiba yeni harbour
0:42:19 | DarkFlow(11): evet
0:42:42 | DarkFlow(11): saðlam gibi map
0:43:11 | DarkFlow(11): kazançda artsa iyi olucak
0:43:18 | huso608(7): ben de dusundm sýfýr bilgi ile geldim buraya bi seyler yapayým diye
0:43:27 | huso608(7): hep ayagýma tas bagladýlar
0:43:28 | DarkFlow(11): hmm
0:43:31 | huso608(7): o yuzden býraktýmaw
0:43:55 | [CMD] huso608(7) => /saat 0
0:44:0 | [CMD] huso608(7) => /vipneon
0:44:19 | DarkFlow(11): herþey olacagýna varýr
0:44:29 | [CMD] DarkFlow(11) => /sirket
0:44:40 | huso608(7): aynen
0:45:3 | [CMD] DarkFlow(11) => /vbenzin
0:45:6 | [CMD] DarkFlow(11) => /vtamir
0:45:37 | DarkFlow(11): jolly joker askerdemi hala :D
0:45:49 | huso608(7): geldi pek fazla sw ye gelmiyor
0:46:1 | DarkFlow(11): ayn
0:47:24 | [CMD] DarkFlow(11) => /work
0:47:37 | [CMD] DarkFlow(11) => /asiriyuk
0:47:38 | [CMD] huso608(7) => /asiriyuk
0:47:38 | [CMD] DarkFlow(11) => /asiriyuk
0:47:40 | [CMD] DarkFlow(11) => /asiriyuk
0:47:50 | DarkFlow(11): hamido
0:48:2 | DarkFlow(11): hamidolandýn
0:48:4 | DarkFlow(11): :D
0:48:10 | huso608(7): :D
0:48:24 | huso608(7): sezzerlendin
0:48:40 | DarkFlow(11): sezeryanlandýn
0:48:50 | DarkFlow(11): :D
0:48:59 | [CMD] huso608(7) => /vfuel
0:49:5 | [CMD] huso608(7) => /vbenzin
0:49:21 | DarkFlow(11): hamido þabanýn filminde vardý
0:49:26 | huso608(7): :D
0:49:27 | DarkFlow(11): :/
0:49:33 | DarkFlow(11): biliyonmu
0:49:39 | huso608(7): salako da
0:49:42 | DarkFlow(11): :D
0:49:50 | DarkFlow(11): ayn
0:50:47 | DarkFlow(11): hanzoda bi anime deki karakter ismi :Dw
0:51:5 | huso608(7): hülya mi
0:51:14 | DarkFlow(11): naruto daki galiba
0:51:18 | DarkFlow(11): hanzo
0:54:6 | DarkFlow(11): fena göt atýyo dorse la :D
0:54:21 | huso608(7): :D
0:54:33 | DarkFlow(11): :/
0:54:42 | [CMD] huso608(7) => /vtamir
0:55:2 | DarkFlow(11): huseyin girmiyo 
0:55:6 | DarkFlow(11): bu aralar
0:55:12 | huso608(7): calýsýyor o da
0:55:23 | DarkFlow(11): sürekli snucudaydý
0:55:28 | DarkFlow(11): ozaman
0:55:43 | huso608(7): forumda terletiyorum onlarý
0:55:50 | DarkFlow(11): yenimi baþladý
0:56:5 | huso608(7): forum vardý fakat bu kadar aktiflik yoktu
0:56:17 | DarkFlow(11): forumamý giriyo
0:56:40 | huso608(7): aynen
0:56:49 | huso608(7): telefon ile de girebiliyor 
0:56:55 | DarkFlow(11): girer
0:57:26 | huso608(7): hem dukkaný isletiyor hem de telefonla forumu cozuyor
0:57:32 | DarkFlow(11): :D
0:57:45 | DarkFlow(11): ne tukkaný 
0:57:59 | huso608(7): kahve galiba tam emin degilim
0:58:7 | DarkFlow(11): hmm
0:59:2 | huso608(7): ayýp olmazsa musadeni istiyecem
0:59:6 | huso608(7): biseyler yiyeyim
0:59:13 | DarkFlow(11): musade senin
0:59:16 | huso608(7): eve gelir gelmez acil admin lazým dediler
0:59:25 | huso608(7): yemegi bile unuttum
0:59:26 | DarkFlow(11): sýkýntý yok afiyet olsun
0:59:36 | DarkFlow(11): okadarda kapýlma la
0:59:39 | DarkFlow(11): :D
0:59:47 | [CMD] huso608(7) => /odul 11
0:59:51 | DarkFlow(11): son tur yapayým
0:59:54 | [CMD] huso608(7) => /cleanupcars
1:0:3 | DarkFlow(11): eyw
1:0:4 | [CMD] huso608(7) => /asay Araç Res Geliyor !!! 
1:0:5 | [CMD] DarkFlow(11) => /work
1:0:6 | [CMD] huso608(7) => /respawncars
1:0:6 | [CMD] huso608(7) => /cantazele
1:0:10 | [CMD] huso608(7) => /cc
1:0:16 | [CMD] huso608(7) => /dtemizle
1:0:21 | [CMD] huso608(7) => /asay2 . 
1:0:21 | [CMD] huso608(7) => /asay2 . 
1:0:22 | [CMD] huso608(7) => /asay2 . 
1:0:23 | [CMD] huso608(7) => /asay2 . 
1:0:24 | [CMD] DarkFlow(11) => /asiriyuk
1:0:24 | [CMD] huso608(7) => /asay2 . 
1:0:25 | [CMD] huso608(7) => /asay2 . 
1:0:26 | [CMD] huso608(7) => /asay2 . 
1:0:26 | [CMD] huso608(7) => /asay2 . 
1:0:27 | [CMD] huso608(7) => /asay2 . 
1:0:28 | [CMD] huso608(7) => /asay2 . 
