0:0:5 | [CMD] Freezer3543(6) => /tamir
0:9:47 | sezzer(0): kanka ahýr yoluna vurdun hayýrdýr :D
0:10:4 | sezzer(0): asdasd
0:10:4 | [CMD] Freezer3543(6) => /cevir
0:10:6 | [CMD] Freezer3543(6) => /tamir
0:10:12 | Freezer3543(6): :D
0:10:44 | [CMD] Freezer3543(6) => /cevir
0:10:46 | [CMD] Freezer3543(6) => /tamir
0:11:19 | [LOCAL]sezzer(0): sen bu nitroyu nasý yapýyosun anlat bakalým
0:11:19 | [CMD] sezzer(0) => /l sen bu nitroyu nasý yapýyosun anlat bakalým
0:11:27 | [LOCAL]Freezer3543(6): Aga aractan kaynaklý
0:11:27 | [CMD] Freezer3543(6) => /l Aga aractan kaynaklý
0:11:35 | [LOCAL]sezzer(0): tabi caným
0:11:35 | [CMD] sezzer(0) => /l tabi caným
0:11:45 | [LOCAL]Freezer3543(6): En hýzlý arac bu o nedenle kendiliginden nitrosu var allah carpsýn höçk yok
0:11:45 | [CMD] Freezer3543(6) => /l En hýzlý arac bu o nedenle kendiliginden nitrosu var allah carpsýn höçk yok
0:11:45 | [CMD] huso608(8) => /vipler
0:11:48 | [CMD] DarkFlow(9) => /araba
0:11:58 | [LOCAL]sezzer(0): yaaaa býrrak bu iþleri asgdjhgasd
0:11:58 | [CMD] sezzer(0) => /l yaaaa býrrak bu iþleri asgdjhgasd
0:12:0 | [CMD] DarkFlow(9) => /araba
0:12:1 | [CMD] huso608(8) => /spec 6
0:12:8 | [LOCAL]Freezer3543(6): Allah carpsýn diyorum la imam hatipliyim
0:12:8 | [CMD] Freezer3543(6) => /l Allah carpsýn diyorum la imam hatipliyim
0:12:14 | [LOCAL]sezzer(0): aksghdjgha
0:12:14 | [CMD] sezzer(0) => /l aksghdjgha
0:12:17 | [CMD] DarkFlow(9) => /srespawncars
0:12:20 | [LOCAL]sezzer(0): imamhatipli olman ne alak olm :D
0:12:20 | [CMD] sezzer(0) => /l imamhatipli olman ne alak olm :D
0:12:21 | [CMD] DarkFlow(9) => /araba
0:12:26 | [LOCAL]Freezer3543(6): Ne bilim aslkdmalskmdök
0:12:26 | [CMD] Freezer3543(6) => /l Ne bilim aslkdmalskmdök
0:12:29 | [CMD] DarkFlow(9) => /araba
0:12:34 | [CMD] huso608(8) => /cleanupcars
0:12:50 | [LOCAL]sezzer(0): neyse knk ben iþyerinde biþi denicem sen bulursun beni
0:12:50 | [CMD] sezzer(0) => /l neyse knk ben iþyerinde biþi denicem sen bulursun beni
0:12:56 | [LOCAL]sezzer(0): atlýyom
0:12:56 | [CMD] sezzer(0) => /l atlýyom
0:12:56 | [LOCAL]Freezer3543(6): Tamam knk
0:12:56 | [CMD] Freezer3543(6) => /l Tamam knk
0:13:3 | [CMD] sezzer(0) => /gobus
0:13:9 | [CMD] sezzer(0) => /icerigir
0:13:12 | [CMD] sezzer(0) => /isyerimenu
0:13:25 | [CMD] sezzer(0) => /isyerimenu
0:13:32 | [CMD] sezzer(0) => /isyerimenu
0:13:43 | sezzer(0): iþyerlerimde sorun var ya
0:13:44 | [CMD] Freezer3543(6) => /tamir
0:13:49 | sezzer(0): isim deðiþmiyo
0:14:1 | sezzer(0): konu açmaya üþeniyorum
0:14:5 | Freezer3543(6): :D
0:14:9 | [CMD] sezzer(0) => /araba
0:14:22 | huso608(8): www.trucksamp.com a konu acarsanýz sizlere daha iyi yardým edebilirler
0:14:27 | [CMD] huso608(8) => /cleanupcars
0:14:29 | [CMD] Freezer3543(6) => /cezaode
0:14:30 | sezzer(0): ciddi olamazsýn
0:15:10 | huso608(8): @0 bana mý iletmek istedin
0:15:19 | [CMD] Freezer3543(6) => /tamir
0:15:39 | [CMD] Freezer3543(6) => /tamir
0:15:40 | [CMD] Freezer3543(6) => /kemer
0:15:41 | sezzer(0): nerdesin la
0:15:45 | Freezer3543(6): Art
0:15:47 | Freezer3543(6): C res
0:15:50 | [CMD] huso608(8) => /cantazele
0:16:45 | Freezer3543(6): :Dw
0:17:0 | sezzer(0): elegy olsa da 0 çizsem
0:17:8 | Freezer3543(6): Super gt daha iyi
0:17:9 | [CMD] huso608(8) => /specoff
0:17:9 | {FFCC00}huso608(8) Otobus Soforu olarak spawn oldu.
0:17:17 | sezzer(0): elegy daha iyi knk gel bak kiralayalým
0:17:31 | [CMD] huso608(8) => /fly
0:17:44 | [CMD] Freezer3543(6) => /tamir
0:17:48 | [CMD] huso608(8) => /slap 8
0:17:53 | {FFCC00}huso608(8) Otobus Soforu olarak spawn oldu.
0:18:4 | [CMD] huso608(8) => /asay Araç Res Geliyor !!! 
0:18:6 | sezzer(0): burda rentcar yok la
0:18:8 | [CMD] huso608(8) => /asay Araç Res Geliyor !!! 
0:18:11 | Freezer3543(6): Aynen sf var
0:18:14 | [CMD] huso608(8) => /asay Araç Res Geliyor !!! 
0:18:17 | sezzer(0): gidelim mi
0:18:18 | [CMD] huso608(8) => /respawncars
0:18:19 | [CMD] huso608(8) => /cantazele
0:18:22 | Freezer3543(6): Whetstone git cek arabaný
0:18:29 | [CMD] sezzer(0) => /rescue
0:18:33 | [CMD] sezzer(0) => /araba
0:18:35 | [ANTIHACK] Þüpheli Freezer3543(6) => Airbreak-hack
0:18:35 | [CMD] huso608(8) => /spec 0
0:18:37 | [LOCAL]Freezer3543(6): atla
0:18:37 | [CMD] Freezer3543(6) => /l atla
0:18:51 | sezzer(0): knk birini böyle çekerken adam airbörek yedi ajkshdhgad
0:18:51 | [CMD] huso608(8) => /admins
0:18:56 | sezzer(0): geldi sövüyodu hjasgdad
0:19:4 | [CMD] huso608(8) => /rehberler
0:19:9 | Freezer3543(6): :D
0:19:14 | [CMD] Freezer3543(6) => /tamir
0:19:30 | [CMD] Freezer3543(6) => /tamir
0:19:36 | [CMD] sezzer(0) => /kemer
0:20:34 | Freezer3543(6): Sezzer
0:20:35 | [CMD] sezzer(0) => /rentca
0:20:37 | sezzer(0): he
0:20:38 | [CMD] sezzer(0) => /rentcar
0:20:40 | Freezer3543(6): Ozel sofor olýyým mý knk sana :D
0:20:53 | sezzer(0): yok kanak saðol
0:20:59 | sezzer(0): elegy hangi kategoride la
0:21:1 | [CMD] sezzer(0) => /rentcar
0:21:5 | Freezer3543(6): Bilmem
0:21:18 | sezzer(0): gel knk
0:21:51 | Freezer3543(6): Ohho iyiymis
0:21:55 | sezzer(0): asdhasgd
0:22:4 | [CMD] DarkFlow(9) => /tamir
0:22:37 | [CMD] Freezer3543(6) => /cezaode
0:22:39 | [CMD] sezzer(0) => /tamir
0:22:43 | [CMD] Freezer3543(6) => /kemer
0:22:48 | [CMD] Freezer3543(6) => /tamir
0:23:31 | [CMD] Freezer3543(6) => /tamir
0:23:35 | [CMD] sezzer(0) => /tamir
0:23:51 | Freezer3543(6): :D
0:23:54 | sezzer(0): :D 
0:23:58 | sezzer(0): ilk aldýðým kasa :D
0:24:1 | Freezer3543(6): :D
0:24:7 | sezzer(0): 2015 den beri orda o :D
0:24:38 | [CMD] Freezer3543(6) => /tamir
0:25:9 | Freezer3543(6): Mountdan atlýyalým :D
0:25:24 | huso608(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:25:48 | sezzer(0): ulaaa kjasghdjhagd
0:25:55 | huso608(7) oyuna girdi [IP: 88.230.236.73]
0:26:7 | 
0:26:9 | Freezer3543(6): Cekemiyon mu
0:26:10 | huso608(7) Oduncu olarak spawn oldu.
0:26:12 | [CMD] Freezer3543(6) => /tamir
0:26:17 | [CMD] huso608(7) => /admgiris
0:26:20 | sezzer(0): kiralýk çekilmiyo knk
0:26:21 | [CMD] sezzer(0) => /tamir
0:26:24 | [CMD] sezzer(0) => /tamir
0:26:26 | Freezer3543(6): Bitti knk onun is :D
0:26:35 | sezzer(0): tamir yazýyom olmuyo la
0:26:42 | [CMD] sezzer(0) => /tamir
0:26:52 | [CMD] sezzer(0) => /rescue
0:26:57 | sezzer(0): yok lan bende lag var
0:27:0 | [CMD] Freezer3543(6) => /kemer
0:27:1 | sezzer(0): hiçbi komut çalýþmýyo
0:27:10 | Freezer3543(6): 60 knk
0:27:19 | sezzer(0): ping e bakma knk
0:27:42 | sezzer(0): hoop
0:27:44 | [CMD] Freezer3543(6) => /tamir
0:27:58 | [CMD] huso608(7) => /work
0:28:2 | Freezer3543(6): Chiliad atlayýsý :D
0:28:8 | sezzer(0): en bi sevdiðim
0:28:9 | [CMD] sezzer(0) => /kemer
0:28:17 | [CMD] huso608(7) => /spec 6
0:28:24 | [CMD] huso608(7) => /specoff
0:28:25 | huso608(7) Oduncu olarak spawn oldu.
0:29:14 | [CMD] DarkFlow(9) => /araba
0:30:9 | sezzer(0): þuna bak dað bomboþ
0:30:9 | [CMD] huso608(7) => /work
0:30:10 | [CMD] Freezer3543(6) => /tamir
0:30:12 | Freezer3543(6): Aynen
0:30:14 | sezzer(0): hiçbiþey yüklenmiyo asghdjghasd
0:30:16 | Freezer3543(6): Kanka say :D
0:30:27 | sezzer(0): go go
0:30:32 | [CMD] sezzer(0) => /modifiye
0:30:36 | sezzer(0): asdjkhasdhg
0:30:52 | Freezer3543(6): Efsanee
0:30:53 | sezzer(0): asgd
0:30:58 | sezzer(0): bi relog atam knk
0:31:2 | sezzer(0): lagdan ölüyo
0:31:4 | Freezer3543(6): Knk dur
0:31:9 | [CMD] Freezer3543(6) => /adminol
0:31:16 | Freezer3543(6): Maalesef knk
0:31:16 | sezzer(0): noldu
0:31:22 | sezzer(0): gelmicen mi
0:31:23 | Freezer3543(6): Kýzdýlar :D
0:31:28 | sezzer(0): tmm knk iyi geceler
0:31:29 | sezzer(0): :D
0:31:34 | Freezer3543(6): Sana da knk inf icin saol
0:31:38 | sezzer(0): np knk 
0:31:41 | sezzer(0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:31:44 | Freezer3543(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:31:47 | DarkFlow(9): can res
0:31:49 | [CMD] huso608(7) => /cantazele
0:32:7 | sezzer(0) oyuna girdi [IP: 85.104.96.238]
0:32:16 | 
0:32:16 | [CMD] huso608(7) => /work
0:32:21 | sezzer(0) Itfaiyeci olarak spawn oldu.
0:32:25 | [CMD] sezzer(0) => /sa
0:32:26 | [CMD] DarkFlow(9) => /tamir
0:32:28 | [CMD] DarkFlow(9) => /as
0:32:49 | [CMD] sezzer(0) => /araba
0:34:11 | [CMD] huso608(7) => /work
0:36:3 | [CMD] huso608(7) => /work
0:36:9 | [CMD] DarkFlow(9) => /tamir
0:36:50 | [CMD] sezzer(0) => /tamir
0:37:53 | sezzer(0): dark
0:37:58 | sezzer(0): ajsdgh arabayý yamultumuþun
0:37:59 | DarkFlow(9): evet
0:38:3 | sezzer(0): antalya yoluna atmýþýn
0:38:10 | DarkFlow(9): :D zr350 mi
0:38:15 | sezzer(0): aynen :D
0:38:16 | [CMD] huso608(7) => /work
0:38:18 | DarkFlow(9): :D
0:38:35 | DarkFlow(9): turismoyuda þimdi suya attým mazi dagýndaký  :D
0:38:45 | sezzer(0): ahsgdjhad
0:39:5 | [CMD] DarkFlow(9) => /rescue
0:39:16 | [CMD] DarkFlow(9) => /gobus
0:39:42 | [CMD] DarkFlow(9) => /adminol
0:39:46 | sezzer(0): bb
0:39:47 | DarkFlow(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:40:4 | [CMD] huso608(7) => /work
0:40:21 | sezzer(0): ulan benzinlik nerdeee benzin ikonu nerde
0:40:24 | sezzer(0): püü
0:40:33 | [CMD] huso608(7) => /spec 0
0:40:54 | [CMD] huso608(7) => /specoff
0:40:54 | huso608(7) Oduncu olarak spawn oldu.
0:41:0 | [CMD] huso608(7) => /spec 0
0:43:18 | huso608(7): t/cantazele
0:43:21 | [CMD] huso608(7) => /cc
0:43:23 | [CMD] huso608(7) => /cantazele
0:43:28 | [CMD] huso608(7) => /specoff
0:43:28 | huso608(7) Oduncu olarak spawn oldu.
0:43:32 | [CMD] huso608(7) => /work
0:43:36 | [CMD] huso608(7) => /dtemizle
0:44:6 | [CMD] sezzer(0) => /rescue
0:44:10 | [CMD] sezzer(0) => /rescue
0:44:19 | [CMD] sezzer(0) => /meslek
0:44:23 | {FFCC00}sezzer(0) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:44:30 | [CMD] sezzer(0) => /araba
0:44:40 | [CMD] sezzer(0) => /tamir
0:45:24 | [CMD] huso608(7) => /work
0:45:26 | [CMD] huso608(7) => /sac
0:47:18 | [CMD] huso608(7) => /work
0:47:25 | Jodor(6) oyuna girdi [IP: 88.231.253.162]
0:47:38 | 
0:47:41 | {FFCC00}Jodor(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:47:45 | [CMD] Jodor(6) => /sa
0:47:47 | [CMD] sezzer(0) => /as
0:48:1 | [CMD] huso608(7) => /as
0:48:2 | Jodor(6): yine gececi tayfa :D
0:48:4 | huso608(7): hosgeldin
0:48:10 | [CMD] Jodor(6) => /myskin 292
0:48:14 | Jodor(6): hoþbulduk
0:48:20 | huso608(7): nasýlsýn
0:48:20 | Jodor(6): anca iþim bitti huso baþkan
0:48:25 | Jodor(6): iyidir seni sormalý
0:48:28 | Jodor(6): sen nasýlsýn
0:48:28 | huso608(7) oyundan cIktI (Hata/Crash) (IP: 88.230.236.73)
0:48:39 | Jodor(6): huso gg
0:48:49 | Jodor(6): sezzer bana küfretmiþ bozok face grubunda
0:48:59 | sezzer(0): kim la
0:49:1 | Jodor(6): gördün mü younaponu yazdýklarýný
0:49:12 | Jodor(6): merak etme gereken cevap misliyle verildi :)
0:49:15 | sezzer(0): haa söylüyodu da bakmadým daha knk
0:49:22 | Jodor(6): hüseyin gelsin kulaklarýný çeksin
0:49:28 | Jodor(6): çete olmuþ bunlar çete
0:49:37 | huso608(7) oyuna girdi [IP: 88.230.236.73]
0:49:42 | Jodor(6): convoyda bana saldýran kendisi. maðduru oynayan kendisi
0:50:0 | 
0:50:4 | huso608(7) Oduncu olarak spawn oldu.
0:50:11 | [CMD] huso608(7) => /admgiris
0:50:13 | sezzer(0): amaan boþver knk gücü anca konvoya saldýrmaya yeter
0:50:17 | Jodor(6): ne diyordu
0:50:27 | Lucifer(8) oyuna girdi [IP: 94.123.235.182]
0:50:40 | 
0:50:42 | {FFCC00}Lucifer(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:50:42 | [CMD] Jodor(6) => /rescue
0:50:44 | sezzer(0): ne diyordu ?
0:50:46 | [CMD] Lucifer(8) => /sa
0:50:47 | [CMD] huso608(7) => /as
0:50:49 | [CMD] sezzer(0) => /as
0:50:51 | [CMD] Lucifer(8) => /admgiris
0:50:52 | [CMD] huso608(7) => /work
0:50:54 | [CMD] Jodor(6) => /as
0:51:7 | Jodor(6): luci yeni map tarihi belli oldu mu
0:51:27 | Lucifer(8): bell, deðil bitince ne bakýlacak
0:51:32 | Jodor(6): ok
0:51:37 | Jodor(6): güzel biþeye benziyor
0:51:40 | Jodor(6): eline saðlýk
0:51:45 | sezzer(0): knk bu sv de sormaman gereken tek þey tarih :D
0:51:54 | sezzer(0): hiçbiþeyin tarihine belli denmedi þuana kadar :D
0:52:2 | Lucifer(8): ankette yarý yarýya býr ýstatýstýk cýkmýs
0:52:11 | Jodor(6): nerede anket
0:52:18 | Jodor(6): forum
0:52:22 | Jodor(6): ?
0:52:26 | [CMD] huso608(7) => /a bu sezzere dikkat et basladý gene dangalak cevaplara haberin olsun
0:52:28 | Lucifer(8): yený eský býr karýsým gýdýyor eskýden alýntýlar olacak
0:52:31 | [CMD] huso608(7) => /sac
0:52:44 | Lucifer(8): serbest snumda en ustte
0:52:49 | [CMD] huso608(7) => /work
0:52:50 | Jodor(6): tamam ben oylarým
0:52:59 | [CMD] Lucifer(8) => /a he dýyýp gececegýz :D
0:53:3 | [CMD] Jodor(6) => /work
0:53:15 | [CMD] Lucifer(8) => /a cýddý adamlar lazým býze
0:53:15 | [CMD] Jodor(6) => /sirket
0:53:31 | [CMD] huso608(7) => /a anlýyorum bilgin olsun da seni severim hicbirimize zarar gelmesini istemem
0:53:33 | [CMD] Jodor(6) => /asiriyuk
0:53:36 | sezzer(0): þöyle sürerken azap çekecemiz mapler gelse keþke
0:53:42 | sezzer(0): engeller tepeler fln
0:53:47 | Jodor(6): en kötü map
0:53:49 | Jodor(6): antalya
0:53:54 | Jodor(6): mazý daðý
0:54:5 | sezzer(0): ondan daha beter olcak iþte knk
0:54:8 | sezzer(0): süper olur
0:54:12 | [CMD] Lucifer(8) => /a anladým eyvallah kardesým
0:54:16 | Jodor(6): gerek yok bence :)
0:54:23 | Jodor(6): virajlý tepeli olsun yeter
0:54:25 | sezzer(0): böyle basýyoz gidiyoz
0:54:29 | sezzer(0): sýkýyo bi yerden sonra
0:54:33 | Jodor(6): aðaçlý yollar þehirli
0:54:42 | [CMD] huso608(7) => /work
0:54:57 | [CMD] huso608(7) => /a baskan kral fm acýk bilgin olsun sevmezsen degistirirsin
0:55:13 | [CMD] huso608(7) => /a dun internet gitti mahallede kusuruma bakmayýn
0:55:15 | Lucifer(8): harbour gelýnce dýger maplerý yadýrgamayýn
0:55:25 | [CMD] Lucifer(8) => /a estagfurullah kardesým
0:55:29 | sezzer(0): ne açýdan knk
0:55:30 | Jodor(6): niye þahane mi gelecek :)
0:55:34 | [CMD] Lucifer(8) => /a sana uyan bnm ýcýn tmmdýr
0:55:36 | [CMD] Jodor(6) => /kemer
0:56:0 | [CMD] Lucifer(8) => /a ýnsanlýk halý elýnde degýl ký olur onlar
0:56:2 | [CMD] huso608(7) => /a tesekkur ederim ilgin icin
0:56:35 | [CMD] Lucifer(8) => /a moralýn mý bozuk senýn bu aksam durgun gýbýsýn
0:56:51 | [CMD] Lucifer(8) => /a sanký tartýsmýs gýbý býr hava var
0:56:54 | [CMD] huso608(7) => /work
0:56:58 | [CMD] huso608(7) => /a yok baba 
0:57:2 | [CMD] huso608(7) => /a ne gibi olacak 
0:57:8 | [CMD] Lucifer(8) => /sirket
0:57:10 | [CMD] huso608(7) => /a 11 den beri burdayým ayný hava
0:57:12 | tavsanpaladin55(9) oyuna girdi [IP: 88.240.211.252]
0:57:13 | [CMD] Lucifer(8) => /sirketdorse
0:57:18 | [CMD] huso608(7) => /a bilirsin is yogun
0:57:29 | [CMD] huso608(7) => /a oglenden sabaha kadar is
0:57:32 | 
0:57:36 | [CMD] Lucifer(8) => /a anladým yorgunluktan o zaman
0:57:39 | {FFCC00}tavsanpaladin55(9) {FFFFFF}Pilot olarak spawn oldu.
0:57:44 | [CMD] huso608(7) => /a farklý meslek yapýyorum ya
0:57:45 | [CMD] tavsanpaladin55(9) => /sa
0:57:47 | [CMD] tavsanpaladin55(9) => /rescue
0:57:48 | [CMD] Lucifer(8) => /as
0:57:48 | [CMD] sezzer(0) => /as
0:57:49 | [CMD] Jodor(6) => /as
0:57:49 | [CMD] huso608(7) => /a bunye zorluyor
0:57:51 | [CMD] huso608(7) => /as
0:57:58 | [CMD] tavsanpaladin55(9) => /gobus
0:58:5 | [CMD] Lucifer(8) => /a fazla kasma oyundayým ben sen dýnlen ýstersen
0:58:13 | [CMD] huso608(7) => /a gunduz mesela bugun dolap isleri imaltý ugrasýyorum aksam
0:58:21 | [CMD] huso608(7) => /a guvenlik 
0:58:32 | sezzer(0): hoppalaaaaaa glu glu glu glu
0:58:34 | [CMD] huso608(7) => /a sagol su an bi problem yok baba biliyorum
0:58:46 | [CMD] Lucifer(8) => /a kolay degýl ordan oraya bunye de býr yere kadar
0:58:53 | tavsanpaladin55(9): benim iþyerleri daha 
0:58:54 | [CMD] huso608(7) => /work
0:58:54 | tavsanpaladin55(9): gidik knk
0:59:1 | [CMD] huso608(7) => /a anlattýmmý bilmiyorum sana 
0:59:4 | [CMD] tavsanpaladin55(9) => /buybus
0:59:8 | Jodor(6): sen foruma nasýl kaydoldun
0:59:10 | sezzer(0): düzeltilir knk
0:59:11 | [CMD] huso608(7) => /a 650 bin odemistim
0:59:23 | tavsanpaladin55(9): Nasýl yani jodor
0:59:29 | [CMD] Lucifer(8) => /a soylemedýn 
0:59:36 | [CMD] Lucifer(8) => /a nye odedn o kadar
0:59:41 | Jodor(6): matite forum ile sw adý ayný olacakmýþ dedi
0:59:41 | [CMD] huso608(7) => /a 350+150+150 bin
0:59:48 | tavsanpaladin55(9): tamam öyle
0:59:48 | Jodor(6): yoksa envanterler gidermiþ
0:59:54 | Jodor(6): senin deðil galiba
0:59:57 | tavsanpaladin55(9): forumla sw nicki
0:59:58 | tavsanpaladin55(9): ayný
0:59:59 | Jodor(6): yoksa skorda giderdi
1:0:11 | Jodor(6): büyük ihtimalle aldýðý iþyerleri bugluymýþ
1:0:14 | [CMD] huso608(7) => /a dostlarým icin 500 bin odedim 2 defa beni kaldýrdýlar daga
1:0:21 | Jodor(6): düzeltiliri umarým bi an öcne
1:0:23 | [CMD] huso608(7) => /a 150 bin ise evlilik masrafý
1:0:42 | sezzer(0): benim iþyerleri de buglu mesela
1:0:42 | tavsanpaladin55(9): Benim anlamadýðým ben hiçbir iþyerini alamýyorum
1:0:42 | [CMD] huso608(7) => /a bu yuzdem uyku bozuklugu yasadým 5 sene
1:0:44 | [CMD] huso608(7) => /work
1:0:56 | tavsanpaladin55(9): para var komutu yazýyorum týk yok
1:0:58 | Jodor(6): slot dolu gözüküyor demekki bugdan dolayý
1:1:8 | sezzer(0): para gidiyo mu peki
1:1:12 | tavsanpaladin55(9): gitmiyor
1:1:18 | [CMD] Lucifer(8) => /a valla buyuk meblalar + stress
1:1:19 | tavsanpaladin55(9): bizi bulur ya
1:1:33 | sezzer(0): benim iþyerlerinin de ismini deðiþtiremiyom
1:1:35 | Jodor(6): buglarý öðrene öðrene sw bug uzmaný olduk :D
1:1:37 | sezzer(0): yazýyorum
1:1:38 | [CMD] huso608(7) => /a aynen bu yuzden meslek buldum devamlý gece gunduz basladým
1:1:40 | psychosociaL_(10) oyuna girdi [IP: 85.101.148.101]
1:1:41 | sezzer(0): deðiþtirildi diyo
1:1:43 | sezzer(0): ayný
1:1:54 | [CMD] huso608(7) => /a taksi minibus ozel soforluk ilk sýrada
1:2:0 | [CMD] Lucifer(8) => /a o kadar para nasýl odenýr calýsarak býlmýyorum valla 
1:2:0 | tavsanpaladin55(9): böyle olunca insanýn oyun zevki kalmýyor
1:2:5 | [CMD] huso608(7) => /a sonrasý koruma isleri 
1:2:15 | sezzer(0): ya tmm aðlama
1:2:16 | [CMD] huso608(7) => /a guvenlige bu yuzden bulastým
1:2:25 | {FFCC00}psychosociaL_(10) {FFFFFF}Kamyoncu olarak spawn oldu.
1:2:33 | [CMD] huso608(7) => /spec 10
1:2:35 | [CMD] tavsanpaladin55(9) => /meslek
1:2:40 | {FFCC00}tavsanpaladin55(9) {FFFFFF}Kamyoncu olarak spawn oldu.
1:2:42 | [CMD] Lucifer(8) => /a guvenlýkte en azýndan dýnlenme sansýn olur arada yerý ýyýyse
1:2:48 | [CMD] Lucifer(8) => /work
1:2:49 | psychosociaL_(10): s.aleyküm
